,Pancreas_22,Pancreas_9,unassigned,Pancreas_11,Pancreas_4,Pancreas_10,Pancreas_7,Pancreas_12,Pancreas_3,Pancreas_14,Pancreas_6,Pancreas_2,Pancreas_5,Pancreas_8,Pancreas_16,Pancreas_1,Pancreas_17,Pancreas_20,Pancreas_18,Pancreas_19,Pancreas_15,Pancreas_13,Pancreas_21
Pyy,0.107036489552961,0,0,0,0,4.21841407739941,0,0.368525482780934,0,0,0,0,0,0,0,1.39462790098947,0,0,0,0,0,0,1.19228185902146
Ramp2,0,0,0,0,0,0,0,0,0,0,0,0.771579616016402,0,0.976421413767251,1.24596865935292,0,0,0,0,0,0,0,0
Ramp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rarres2,0,0,0,1.19068276491952,0,0,0.917437935409825,0,1.13646160857333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40894721342339
Rasip1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp4,0,0,0,0,0,1.42321090148738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728005215440466,0,0,0,0,0,0,0,0,0
Rcn3,0,0,0,1.01515817685558,0,0,0.446870000592099,0,0.764384285035284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rdx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg1,0,0,0,0,0,0,0,0,0,0,4.0228175644596,0,0,0,0,1.06906271070677,0,0,0,0,0,0,0
Reg2,0,0,0,0,0,0,0,0,0,0,1.13357784403134,0,0,0,0,0,0,0,0,0,0,0,0
Reg3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resp18,0,0.673072190897309,0,0,0,1.60589804608956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retnla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rflnb,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83628248558359,0,0,0,0,0,0,0,0,0
Rgcc,0,0,0,0,0,0,0,0,0,0,0,1.41200493542314,0,0,0,0,0,0,0,0,0,0,0
Rgs5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10516520006809,0,0,0,1.54793267613395,0,0
Rhob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase1,0,0,0,0,0,0,0,0,0,0,4.16745160773446,0,0,0,0,1.2717189893788,0,0,0,0,0,0,0
Rnase4,0,0,0,0.946435496045351,0,0,1.48991189009168,0,1.39387886678515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robo4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl10,1.35734113133907,1.03630949912584,0,1.26927565656665,1.46790260373686,1.70971774653217,1.23093302867655,0,1.02594472018919,1.87702215003445,0,0.931449608521156,1.17029896738899,0.975709638747582,1.52339875058994,0,1.19980470681486,1.70512466305822,0,1.7335666866601,0.881566814948325,1.43064356193699,0
Rpl23a,0.791035823657296,0,0,1.22946193630761,1.1973757301186,0.950755307578845,1.27632712936009,0,0.93956989087242,1.86061835625026,0,0.935066252798949,0.951403475549146,0.846778116104912,1.13261545676058,0,1.1064389498264,1.06636911187736,0,1.09115565502318,0.966815234196041,1.71341408248023,0
Rpl35a,0.830797106333948,0.296297825576729,0,0.658035295332198,1.01249832614875,0.931808430445461,0.84535776454129,0,0,1.10061257585811,0,0,0,0,1.09382049305976,0,0,1.08200254803534,0,1.01098491372439,0,1.32344151965377,0
Rpl9,0.744696080256921,0.374433659782672,0,1.03737128605988,1.00722189706392,1.16325458812497,0.969591694737657,0,0.670788467492935,0.939472502335868,0,0,0,1.04622430567317,1.14130809354637,0,0.671765271493683,1.0615060962989,0,0.991730174075013,0,1.43064356193699,0
Rplp0,1.11512670713559,0.696987696436335,0,1.41047339352376,1.3733562581454,1.17376184939902,1.26230915642208,0,1.03896822743438,2.03660601998449,0.787777196639378,0.953743448209566,0.958112133213168,0.980257292682733,1.46873598289282,0,1.33148942274174,1.26115642909116,0,1.57392549820126,0,1.74567077609855,0
Rps16,0.718385034617625,0,0,1.00089119476125,1.03313769052052,0.819908065667099,0.832241777004338,0,0.749818266982545,1.2874023116839,0,0.790777404541184,0.76269035548251,0.724363115402289,1.31483946953354,0,0,1.16549102961811,0,1.36856523422437,0,1.3968647094557,0.905226001991838
Rps18,0.67688040758375,0.295798481807996,0,0.902231930255041,1.12784605911775,0.813467030578908,0.950698930333342,0,0.506532038376079,1.20295260334353,0,0,0,0,1.23609097604909,0,0,1.32304191411691,0,1.59959054378056,0,1.94861787909572,0
Rps2,0.868729455760918,0.629778394014204,0,1.44982411272139,1.25126618094057,0.979302800472912,1.41416443869807,0,1.01325680211837,1.47719251245264,0,0.952070442385456,0.994642682351397,0.64256913681797,1.46226271207626,0,0,0.834244450780856,0,1.09115565502318,0.835883722995616,1.53248664927651,0
Rps23,0.685822684340875,0.576810253348245,0,1.26805788679086,1.2859626581035,1.15275174946626,1.29083353787557,0,1.0240010730583,1.70851706899887,0,1.03104000598084,1.17132637509946,1.0707718514626,1.75920585510537,0,1.15611209812509,1.24536188753526,0,1.53248664927651,0,2.04630474612854,0
Rps27,1.42756281728255,1.13094135373031,0.91617675100896,1.73021107408114,1.98050847775332,1.88434867979582,1.78797511321826,0,1.44203204795294,2.62248462691407,0,1.71928687295087,1.44016476032735,1.96389363318891,2.30093502511499,1.22187265053538,1.52114512127947,2.25315879787811,1.38451366059495,2.3837818344162,1.12071753691123,3.10199669410423,1.37047732928361
