,unassigned,Fetal-Liver_1,Fetal-Liver_3,Fetal-Liver_8,Fetal-Liver_2,Fetal-Liver_11,Fetal-Liver_10,Fetal-Liver_7,Fetal-Liver_4,Fetal-Liver_5,Fetal-Liver_9,Fetal-Liver_6
Edf1,0,0,0,0,0,0.597698833643709,0,0,0,0,0,0
Eef1a1,0.974579177579455,0.989876613594735,1.0825295625243,0.901240241235281,0.888599893236255,0.949464941288788,1.25238513910819,0,0.814088330578508,0,0.330328992379861,0.697855440579828
Eef1b2,0,0.751133471181314,0.69548062712671,0,0,0,0.223065443083193,0,0,0,0,0
Eef1d,0.586273435257415,0.738159044546418,0.734387102487719,0,0,0,0,0,0,0.902819079040238,0,0
Eef1g,1.18880432997312,1.19289273470926,1.21806225400422,0,0.766217015266086,1.00798237792941,1.25996655462043,0,0.880737046476084,0,0.362670774558933,0.748880754356055
Eef2,0,0,0,0,0,0.597698833643709,0,0,0,0,0,0
Eif1ax,0,0,0,0,0,0,0,0,0,0,0,0
Eif2s1,0,0.730057399550713,0,0,0,0,0,0,0,0,0,0
Eif3e,0,0,0,0,0,0,0,0,0,0,0,0
Eif3g,0.827910413050876,0.892167164602289,0.870143283297894,0,0,0.707083878329021,0,0,0,0,0,0
Eif3h,0,0,0,0,0,0,0,0,0,0,0,0
Eif3k,0.979442415529437,0.989876613594735,0.603646082603918,0,0.903507911635216,0.939391874056522,0,0,0.581555112174724,0.855710375145842,0.758389714878765,0
Eif3m,0,0,0.270551173597898,0,0,0,0,0,0,0,0,0
Eif4g2,0,0.669738616202026,0.831050471234726,0,0,0.642769679141707,0,0,0,0,0,0
Eif5,0.598291865518852,0.768846392556539,0.678231722407863,0,0,0,1.16310149549713,0,0.599359563590696,0.637773783361766,0,0
Eif5b,0,0,0,0,0,0,0,0,0,0,0,0
Elane,0,0,0,0,3.68945299525465,0,0,0,0,0,0,0
Eloc,0,0,0,0,0,0,0,0,0,0,0,0
Emb,0,0,0,0,0,0,0,0,1.06415589879522,0,0.768356350414327,0
Emp3,0,0,0,0,0,0.590288990341883,0,0,0.933748256203798,0,1.26767371856844,0
Eno1,0.820681942250289,0.529880921462038,0.993938367506689,0.692261349734449,1.09400971233843,1.21891995869548,1.08754124798277,0,1.14232667312986,0,1.19896709120457,1.1514856582731
Erh,1.00339165240561,1.02559417238678,1.08186732410506,0,0.525127678353068,0.590288990341883,1.0667335959596,0,0.664357505895069,0,0.334744927075585,0
Erp29,0,0,0,0,0,0,0,0,0,0,0,0.759093202707646
Etfb,0,0,0,0.724233739020332,0.853252461560261,0.949464941288788,0,0,0,0,0,0
Exosc7,0,0,0,0,0,0,0,0,0,0,0,0
Fabp5,0,1.03281978221615,0,2.37036483747066,0,0,0,0,0,0,0,0
Fam132a,0,0,0,0,0,0,0,0,0,0,0,0
Fam162a,0,0,0,0,0,0,0,0,0,0,0,0
Fam210b,0,0,0,0,0,0,0,0,0,1.11708355532544,0,0
Fam96a,0,0.557405325645506,0,0,0,0.590288990341883,0,0,1.31303542407926,0,0.811333062721656,0.796201885764526
Fbl,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,0,0,0,0,0,1.38521896154329,1.34795803008745,0,1.75028843966823,1.8215960518319
Fcgr3,0,0,0,0,0.539332444597225,0,0,0,0,0,1.34876093740342,0.901476351485039
Fcnb,0,0,0,0,0.786398350152966,0,0,2.27814339114104,0,0,0,0
Fech,0,0.879591615500708,0,0,0,0,0,0,0,1.77776635920609,0,0
Fgb,0,0,0,3.02339317886807,0,0,0,0,0,0,0,0
Fis1,0,0,0,0,0,0,0.796542066055726,0,0,0,0,0
Fkbp1a,0,0,0,0,0,0.590288990341883,0,0,0.550598262913752,0,0,0
Fkbp3,0,0,0.996868883391868,0,0,0,1.00916471766344,0,0,0,0,0
Fkbp4,0,0,0,0,0,0,0.588688524956454,0,0,0,0,0
G3bp1,0,0,0.207986665973748,0,0,0,0.468701874118119,0,0,0,0,0
Gabarap,0,0,0,0,0,0,0,0,0,0,0,0.886830906907702
Gadd45gip1,0,0,0,0.638915608469012,0,0,0,0,0,0,0,0
Gas5,1.3270255126126,1.30379560561243,1.08441177096333,0.724233739020332,0.859839448648108,0.452789311133031,1.0434460359075,0,0.542941955412616,0,0,0
Gclm,0,0,0,0,0,0,0,0,0,0.754291659495451,0,0
Ghitm,0,0,0,0,0,0.590288990341883,0,0,0,0,0,0
Glrx5,1.67322129365547,2.00380192309343,0.896895776684867,0.828864484060688,0.706251023246357,1.100202949205,0.392509550146387,0,0.285735146281755,2.28977087218632,0.363551342618168,0.880324558176302
Gm5483,0,0,0,0,0,0,0,4.68809261664899,0,0,0,0
Gmfg,0,0,0,0,0.644146034574947,0,1.1286806715556,0,0,0,0.760418169970478,0
Gmpr,0,0,0,0,0,0,0,0,0,1.2564718254991,0,0
Gnas,0,0.607128883977736,0.735899339347517,1.13770312309357,0.888599893236255,1.33150166211049,0.365623081873261,0,0.903523472277067,0,1.31175114376224,0
Gng5,0,0,0.547394661992723,1.07455450859024,0.803706495307688,0,1.06884916707355,0,1.09539091454467,0,1.13914996653299,0.570499968539497
Gps2,0,0,0,0,0,0,0,0,0,0,0,0
Gpx4,0,0.793721681419203,0,0,0,0,0,0,0,0.949464941288788,0,0
Grina,0,0,0,0,0,0,0,0,0,0,0,0
Gstm1,0,0,0,1.64731034205973,0.899846624557108,0,0,0,0,0,0,0
Gstm5,0,0,0,0,0,0,0,0,0,0,0,0
Gypa,0,0,0,0,0,0,0,0,0,1.92351771983321,0,0
Gypc,0,0,0,0,0,0,0,0,0,0.578591012155919,0,0
H1f0,0,0,0,0,0,0.642769679141707,0,0,0,0,0.362670774558933,0
H2afv,0,0,0,0,0,0,0,0,0,0,0,0
H2afx,0,0,0,0,0,0,0,0,0,0,0,0
Hba-a1,2.45502888398427,3.85343812856335,1.96940698526252,1.7619209936347,1.84703592263179,1.90810545974688,1.50907475462338,2.28277733861439,1.99467281322699,6.93870322030108,2.18268018588186,2.15166873824919
Hba-a2,1.54808924620797,2.41848766969941,1.07025596428023,0.832974415232651,1.04572342313629,1.47454733222543,0.857724400959541,1.42596891799453,1.07884398313271,6.12176479103199,1.38594037263444,1.38811836344773
Hbb-bs,2.35324531132787,3.20426481017822,2.12508991728221,1.84973078309081,1.99360918551182,2.65784477760672,2.03781446751479,2.54506590224959,2.17989721517473,6.80736469926508,2.49817594717281,2.39324925233429
Hbb-bt,1.9150059255188,3.12441802817054,1.45079054617271,1.35824459616935,1.33219317000485,2.05745201068767,1.95635605484196,1.82431070283936,1.56040389128274,6.35960889644613,1.76999862840665,1.79628271986468
Hebp1,0,1.16566255996174,0,0.534333669998183,0,0,0,0,0,1.44671196816147,0,0
Hemgn,0,0,0,0,0,0,0,0,0,1.07191225207451,0,0
Higd1a,0,0,0,0,0,0,0,0,0,0,0,0
Hmbs,1.03479501943213,1.54379363825257,0,0,0,0,0,0,0,2.3255276235437,0,0
Hmgb1,0.663331353427717,0.788476562002687,0.993227961941406,0,0.695872080656669,0,1.3532694891656,0,0.719051573456542,0.696410582484612,0.96509267474379,0
Hmgb2,0,0,0,0,0,0,0,0,0,0,0.377145829747725,0
Hmgb3,0,0.939391874056522,0,0,0,0,0,0,0,0,0,0
Hmgn1,0.770168020383149,0.619827826855974,1.05461617976438,0.875054803527158,0,0,1.26253328466329,0,0,0,0,0
Hmgn2,0,0,1.10264523175012,0,1.63500824065377,0.707083878329021,1.40879708396182,1.72251307586873,0.869584777911541,0,1.11997370565006,0
Hmox1,0,0,0,0,0,0,0,0,0,0,0,2.33439371450194
Hn1,0,0,0,0,0,0.893063604342811,0,0,0.638366979055957,0,0.273241643171331,0
Hnrnpab,0,0,0,0,0,0,0.588688524956454,0,0,0,0,0
Hnrnpc,0.681904651307368,0.751133471181314,0.742609897665301,0,0,1.0745408897022,0,0,0,0,0,0
Hnrnpf,0,0,0.533057102502478,0,0,1.08586474822154,0.933227100001177,0,0,0,0,0
Hnrnpm,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpu,0,0,0,0,0,0,0.818949734373694,0,0,0,0,0
Hp,0,0,0,0,0,0,0,0.972969215709718,0,0,0,0
Hsp90aa1,0.805516677304469,0.87247662513238,0.640669240071465,0,0,0,0.392509550146387,0,0,0,0,0
Hsp90ab1,1.1483510754051,1.05705460522375,1.37430931307163,0.701023361435872,1.11923193674568,0.949464941288788,1.27704867639994,0,1.02919412910076,0,1.1185538808322,0
Hsp90b1,0,0,0.23348286555561,1.13715334216512,1.0097151879277,0.646916801160494,0,0,0,0,1.32083224855396,0.926141221507483
Hspa5,0,0,0.772876746052692,1.28110670754208,1.18555484797355,1.40237212785988,0,0,0.659765422554819,0,1.2148922584571,1.01447159793778
Hspa9,0,0,0,0,0,0,0,0,0,0,0,0
Hspd1,1.04759431711255,0.999977042266882,0.800681470990933,0.302043328929463,0,0.590288990341883,0.808116393540838,0,0,0,0,0
Hspe1,1.74464621154314,1.70365377944902,1.62695640691072,1.8552151131395,0.96028543427119,1.43159882385722,1.75880314954851,0,0.934719832923878,0,0.686239409309201,0.932211435717049
Icam4,0,0,0,0,0,0,0,0,0,0.95458587326734,0,0
Id2,0,0,0,0,0,0,0,0,0.792308712019107,0,0,0.914751326291751
Ifitm1,0,0,0,0,0,0,0,0,0,0,2.47088954776153,0
Ifitm2,0,0,0,0,0,0.597698833643709,0,0,0,0,0.972319891436299,0
Ifitm3,0,0,0,0,0,0,0,0,1.97261809755189,0,0,0
Itm2b,0,0,0.279217919464987,1.28701664403511,1.21039370621675,0.769176364060987,0,1.54379363825257,1.04759431711255,0,1.91681203574234,2.32272976636521
Josd2,0,0,0,0,0,0,0,0,0,0.696410582484612,0,0
Kcnn4,0,0,0,0,0,0,0,0,0,0,0,0
Klf1,0.841971623271065,1.29787762474813,0,0,0,0,0,0,0,1.60408617908456,0,0
Krtcap2,0,0,0.530100484448282,0.812563509535355,0.786398350152966,0.769176364060987,0,0,0,0,0,0
Lamp1,0,0,0,0,0,0,0,0,0,0,0,1.51582993352898
Laptm5,0,0,0,0,0,0,0,0,0.66825119684427,0,0,0
Lbr,0,0,0,0,0,0,0,0,0,0,0,0
Lcn2,0,0,0,0,0,0,0,2.73950049718926,0,0,0,0
Lcp1,0,0,0,0,0,0,0,0,0.669241374034284,0,0.939698539381092,0
Ldha,1.68785052649295,1.52547638523091,1.86895564781942,1.84144830870672,1.46270346587074,2.02850024310084,2.01973272030954,0,1.89924162109256,0,2.33295333606563,1.61273731624395
Lgals1,1.64233218209058,1.57890816674053,1.23967434152034,0,1.41170909644477,0,1.20651273243693,0,1.47369016707848,1.07718304644041,2.88928644335799,1.10031981074554
Lgals3,0,0,0,0,0,0,0,0,1.45200089191417,0,0,1.5677484164625
Lgals9,0,0,0,0,0,0,0,0,0,0,0,0
