,Thymus_7,unassigned,Thymus_1,Thymus_4,Thymus_2,Thymus_3,Thymus_5,Thymus_6,Thymus_8
Desi1,0,0,0,0,0,0,0,0,0
Dgka,0,0,0,0,0,0,0,0,0
Dgkeos,0,0,0,0,0,0,0,0,0
Dnajc15,0,0,0,0,0,0,0,0,0
Dnajc7,0,0,0,0,0,0,0,0,0
Dntt,0.373872800484621,1.13577006959202,1.36623086044536,0,1.43469762027906,1.38940533874409,0,1.50610850548642,0
Drg1,0,0,0,0,0,0,0,0,0
Dusp2,0,0,0,0,0,0,0,0,0
Dut,0,0,0,0,0,0.588584467757323,0,0,0
Dynll1,0,0,0,0,0,0.713679717235511,0,0,0
Dynlrb1,0,0,0,0,0,0,0,0,0
Edem1,0,0,0,0,0,0,0,0,0
Edf1,0,0,0,0,0,0,0,0,0
Eef1a1,0.39456142322236,1.41018604386535,0,1.10781311755589,0,1.03743659244454,1.43670255575081,1.20214352179757,1.42423714760058
Eef1b2,0.147261468469425,0.711723554398614,0,0,0,0,0.674424130155625,0.771910796178863,0.743116324242406
Eef1g,0,0,0,0,0,0,0,0.705153647281927,0.21214465426986
Eef2,0.39456142322236,0.454347251090466,0,0,0,0.475395270199319,0,0,0.375870071781947
Eif1,1.18898477298506,1.33514470202607,1.26301034319731,1.30278736706423,1.14351253655002,1.22033779294752,1.13748102363449,1.12461199561243,1.25868813171755
Eif3f,0.246723047850965,0,0,0,0,0,0,0.657061830676231,0
Eif3h,0.147261468469425,0,0,0,0,0.36837811020022,0,0.473424123221542,0.212556018761268
Eif3k,0,0,0,0,0,0,0,0,0
Eif4a1,0,0,0,0.802087694473299,0,0.639015042814526,0,0.749565294760685,0.719678523952954
Eif4g2,0.43283725054954,0,0,0,0,0,0,0,0
Eif5a,0.186114202698575,0.987115566324218,1.25283524354069,1.04041325213787,0,1.00741952965763,0.912422542184005,1.28489461792877,0.448984801036166
Elob,0.186114202698575,0,0.343158018099929,0,0,0.893045043477171,0.624329228146924,0.657061830676231,0.778318214202539
Emg1,0,0,0,0,0,0,0,0,0
Endou,0,0,0,0,0.88154966163206,0.781235731828439,0,0,0
Erdr1,0,0,0,0,0,0,0,0.711723554398614,0
Ets1,0,0,0,0,0,0,0,0,0
Ezr,0,0,0,0,0,0.624329228146924,0,0,0
Fbxl12,0,0,0,0,0,0,0,0,0
Fis1,0,0,0,0,0,0,0,0,0
Fkbp1a,0,0,0,0,0,0,0,0,0.804378408849961
Ftl1,1.02544822764823,0.34441278065934,0,0.948248037624301,0,0,0.454661664619465,0.492150527348299,0
Fus,0,0,0,0,0,0,0,0,0
Fxyd5,0.921779084474685,0,0,0,0,0,0.718817471288272,0.378538357759654,1.07491566703337
Gabarap,0.8867623643394,0,0,0,0,0,0,0,0
Gapdh,0.81539519091432,1.05162721845657,0,0.900882989454623,0,1.01384292476385,0.670255373310858,0.839684948369966,0
Gas5,0.336601399533508,0.408229442629818,0,0,0,0,0.680065313879896,0.931670905604746,0
Gimap6,0,0,0,0,0,0,0,0,0
Gimap9,0,0,0,0,0,0,0,0,0
Gm10736,0,0.522130997110774,0,0,0,0,0,0.718817471288272,0.804378408849961
Gm14303,0,0,0,0,0,0,0.818881683170955,0.711723554398614,0.819402210611816
Gm15340,0,0,0,0,0,0,0,0,0
Gm15427,1.16507385219157,0.627936031721063,0,0,0,0.857012949108451,1.11862224309687,1.22392684920946,1.43506038569177
Gm2000,0,0,0,0,0,0,0.597194080552152,0.614334693070832,0
Gm4149,0,0,0,0,0,0,0,0,0
Gm9843,0.759025826192453,0,0,0,0,0,0.620616612095106,0,0.90643594344174
Gmfg,0,0,0,0,1.03616631075893,0.515356439090539,0,0.518311129149035,0
Gnai2,1.17418704709896,0,0,0,0,0.657061830676231,0.656730478589744,0,0.378949480864329
Gnas,0.774883725261138,0,0,0.65540846265262,0,0.774220598287585,0.343426121891117,0.705153647281927,0.811753954000549
Gnb2,0,0,0,0,0,0.422382023974875,0,0,0
Gpsm3,0,0,0,0,0,0,0,0,0
Gpx1,0.909743117725476,0,0,0,0,0,0,0.67811534843319,0
Grap,0,0,0,0,0,0,0,0,0
Gtf2h4,0,0,0,0,0,0,0,0,0
Gzma,0,0,0,0,0,0,0,0,0
H13,0,0,0,0,0,0,0,0,0
H2-Ab1,0,0,0,0,0,0,0,0,0
H2-D1,1.31148769977294,0,0,0,0,0,1.44864589541401,0.520678967025951,1.82414789860621
H2-K1,1.25863610588019,0,0,0,0,0,1.50986530175544,0.780999796738605,1.4840265458706
H2afv,0,0.593665802129618,0.978779009549397,0,0,1.54759581500514,0,0,0.580648598937312
H2afx,0,0,0,0,0,1.32939434767631,0,0,0
H2afy,0,0,0,0,0,0,0,0.546074180592265,0
H2afz,0,1.03701280452428,0,0,0,1.71368461213748,0,0,0
H3f3a,0.407887369487079,0.962536588034391,0,1.09436865563293,1.02902903000631,1.32796502834488,0.946843309862106,0.903421217673712,0
Hcls1,0,0,0,0,0,0,0,0,0
Hint1,0,0,0,0,0,0.625226978301045,0,0,0
