,unassigned,MammaryGland.Virgin_5,MammaryGland.Virgin_7,MammaryGland.Virgin_18,MammaryGland.Virgin_10,MammaryGland.Virgin_8,MammaryGland.Virgin_13,MammaryGland.Virgin_15,MammaryGland.Virgin_3,MammaryGland.Virgin_12,MammaryGland.Virgin_17,MammaryGland.Virgin_16,MammaryGland.Virgin_4,MammaryGland.Virgin_1,MammaryGland.Virgin_11,MammaryGland.Virgin_2,MammaryGland.Virgin_6,MammaryGland.Virgin_9,MammaryGland.Virgin_14
Ctsl,1.83826568559981,0,0,0,0,0,0.681474478864482,1.52641473924513,1.59842401882674,0,0,1.759299698807,0,0,0,0,0,0,0
Ctss,0,0,1.23659887011508,1.22723337773785,0,1.62193000521797,1.1541799761757,0,0,0.7007235972952,0,1.31018741106406,0,0,0,0,0,0,0
Ctsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911873973543064
Cxcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl12,0.581242242698003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyba,0,0,1.21546668966051,0.751325867194472,0,1.27160967747086,1.01405577291433,0,0,0,0,1.10528442984144,0,0,0,0,0,0,0.695015386563374
Cygb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0,0,0,0.586786117596853,0,0,0,0,0,0,0,0,0,0,0
Cytip,0,0,0,0.751325867194472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcn,4.37321614591848,0,0,0,0,0,0,3.74220016769189,4.31830274167114,0,0,0,0,0,0,0,0,0,0
Dgka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnajb1,0,0,0,0.751325867194472,0.306380282243614,0,0,0,0,0,0,1.43429320530291,0.941564354154221,0,0,0,0.929108978152734,0,0
Dnajc15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dpep1,1.25794255958708,0,0,0,0,0,0,0.586786117596853,0.666401911968192,0,0,0,0,0,0,0,0,0,0
Dpt,1.49790735778529,0,0,0,0,0,0,1.95793111692394,1.27522836440589,0,0,0,0,0,0,0,0,0,0
Dusp1,0.872336505109748,0,0.812142638447733,0,0,0.885668197719785,1.08793866056336,0.903523550919703,0.559569312351031,0.600233432776707,0,0,0,0,0,0,0,0,0
Dusp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecm1,0.927692378550484,0,0,0,0,0,0,0.652665877879595,0,0,0,0,0,0,0,0,0,0,0
Eef1a1,0.904111914567807,2.17417652728093,2.11252834600701,1.11476808489738,2.1552290953663,1.89396524178447,1.48102633012422,1.77985862465477,1.55489851439343,1.99000075536131,2.27828258620645,1.55258234440949,2.50840288428785,2.46472508678301,2.19153520973524,2.20545610119367,2.27429356315342,2.4214147391057,2.16382471256694
Eef1b2,0,1.28991890174037,0.851436452508456,0.595933084633266,1.08754228764141,0.789432522009218,0,0.9669035545392,0.668767588728909,1.67210189641153,1.08327484741407,0.905887351490152,1.40685886910158,1.39649288183995,0.850492759920035,0,1.33359272981249,1.09423487774419,0.962933882181575
Efemp1,1.09598886623637,0,0,0,0,0,0,0.908252721334388,0.979827235895802,0,0,0,0,0,0,0,0,0,0
Egr1,0,0,0,0,0,0,0,0,1.12815039953523,0,0.49745383529409,0,0,0,0,0,0,0,0
Elf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enpp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epcam,0,0,0,0,0.824049776244336,0,0,0,0,0,1.2173647854963,0,0,0,0,0,0,0,0
Epsti1,0,0,1.1534561997402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ets1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam25c,0,0,0,0,1.30933317990902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam49b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbln1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbn1,0,0,0,0,0,0,0,0.843799735511688,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,0,0,0,1.51522145550138,1.58671259648838,0,0,0,0,1.0474051533359,0,0,0,0,0,0,1.32589284742728
Fcer2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcmr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30752231881357,0,0,0
Fn1,1.48268844283927,0,0,0,0,0,0,1.60522750905549,0.43925558189544,0,0,0,0,0,0,0,0,0,0
Fos,2.08180346114393,0,0,0.921525689277331,1.74177437498661,0.990132572651381,1.45243565670228,1.54873920565452,2.0632565529808,0.998738143644401,2.25418918871429,0,0,0,0,0,0,0,0
Fosb,0,0,0,0,0,0,0,0,0,0,0.398417090271777,0,0,0,0,0,0,0,0
Foxp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fscn1,0,0,2.13723345154884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fstl1,2.03924284122064,0,0,0,0,0,0,1.91733942494715,1.52449875917448,0,0,0,0,0,0,0,0,0,0
Fxyd1,0.570927006867367,0,0,0,0,0,0,0.442755017625936,0,0,0,0,0,0,0,0,0,0,0
Fxyd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd3,0,0,0,0,0.506092858182795,0,0,0,0,0,1.49298620515091,0,0,0,0,0,0,0,0
Fxyd5,0,0.464942175398816,0,0,0,0.990132572651381,0,0,0,0.798901265903295,0,0,0.825817852121991,1.02000461212101,0.835209015800583,0,0,0.607716486109515,0.935552014564643
Fyb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,1.40686057645673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,1.30969491968621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas6,0,0,0,0,0,0,0,0,0,0,0.157870176050269,0,0,0,0,0,0,0,0
Gdf10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gltscr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glul,0,0,0,0,1.41587702082266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10076,0,0.308048267654697,0,0,0.16456304935375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10736,0,1.25853028772434,1.14577023129274,1.57226592748469,1.18909506998928,0.729077058797947,0,0.868525625331986,0,0.809074065414139,1.20090338402446,0,1.40910177593223,1.37269729089953,1.22872174195927,1.28559949987576,1.03675364354998,1.39064296068148,1.25679238815562
Gm11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14303,0,0,0,0,0,0,0,0,0,0,0,0,0.903523550919703,0.714674557959908,0,0,0,0,0
Gm14586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15427,0,0.820479335343309,0,0.578628181231039,0.796988927696881,0,0,0,0,0,0.338400111006569,0,1.3719893998708,1.37909985287093,0.836711936649393,1.31976305720469,1.03731846842559,1.09569612584722,1.07705745687236
Gm15536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2000,0,0.631629624218477,0,0,0,0,0,0,0,0,0.467845381793062,0,1.02781405344139,0,0,0,0,0.676475145988798,0
Gm3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4149,0,0,0,0,0,0,0,0,0,0,0.566023082008081,0,0,0,0,0,0,0,0
Gm5805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876026228423038,0,0
Gm8430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9843,0,0.222100897231908,0.752976957344083,0,0,0,0,0,0,0,0,0,0.945422486272101,0,0,1.10220155517569,0,0.589475612468107,0
Gmfg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx3,2.8089212412808,0,0,0,2.60171051893368,0,0,1.48101816481993,0.575820286854194,0,0,0,0,0,0,0,0,0,0
Gramd1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsn,3.62795156917429,0,0,0,0,0,0,3.64636323575157,3.40791468658947,0,0,0,0,0,0,0,0,0,0
Gstm1,1.17336850438927,0,0,0,0,0,0,0.855978953622258,0,0,0,0,0,0,0,0,0,0,0
Gzma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18206903562372
H19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Aa,0,0,1.84112404002228,0,0,3.74958399992395,3.03983425780457,0,0,3.90041058811842,0,2.62516196817887,0,0,0,3.01787744877151,2.05185495465531,0,0
H2-Ab1,0,0.51214762883836,1.07830598121779,1.35249235054456,0.339103881583662,4.01003340043546,3.24240605769759,0,0,4.13020202854984,0.572206521621775,2.68140186837019,0,0,0.929870936118859,3.31985279850053,2.29579621534663,0,0
