,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
Gas5,1.46903514362147,0.83489978617369,1.55903954823063,0.728131020196272,1.4007993726832,0,1.14325818370479,1.63925083490624,1.52443589769222,1.59891603297259,0,1.62640475726779,1.2667430030848,1.42543243947909,0
Gas6,0,0,0,0,0,0,0,0,1.30890894012838,1.00696776094718,0,0,0,0,0
Ggh,0,0,0,0,0,0,0,0,0.780097373438004,0,0,0,0,0,0
Gja1,0.260397365304787,0,0,1.07447766409193,0,0,0,0,0,0,0,0,1.1844032779876,0,0
Gm10076,1.02269506962859,0.7775243719142,0,0,0.718519434515153,0,0,0,0,0,0,0,0,0,0
Gm10288,0.986512409164999,0,0,0,0.159200094998744,0,0,0,0,0,0,0,0,0,0
Gm10736,1.6225945345433,1.81139952672064,0,1.29316642763119,1.21306612900851,0.688128124428614,0.947407480449667,1.20178626748932,0.689529682599064,0,0,0.859381872054703,1.32255144442861,1.5212807747928,0
Gm11361,1.10364749822885,0,0,0,0.639571536308472,0,0,0,0,0,0,0,0,0,0
Gm11478,1.11596653088225,0,0,0,0.738712176581253,0,0,0,0,0,0,0,0,0,0
Gm14303,1.64069584481473,1.35664499256319,0,0,1.48870925926949,1.84778156168651,0,1.47173746954322,0,0,0,0,0,1.49146738084782,0
Gm14586,1.00023876340632,0,0,0,0.641363831061312,0,0,0,0,0,0,0,0,0,0
Gm15427,1.52347733052705,0.942675714058598,0,0.645798525050761,1.11226432769408,1.324287346245,0,0.932908830606503,0,1.11650869109889,0,0,1.24656947422313,0,0
Gm15536,1.08174474967736,0,0,0,0.796858899717562,0,0,0,0,0,0,0,0,0,0
Gm2000,1.41050399139704,1.29836887435266,0,0,1.10896838221837,0.935677303585557,0,0,0,0,0,0,0,0,0
Gm2a,2.1815387912084,0,0,0,2.61528581816459,0,0,0,0,0,0,0,0,1.71061001206974,0
Gm5805,1.00828104158064,0,0,0,0.751641138035191,0,0,0,0,0,0,0,0,0,0
Gm8430,1.00784288557085,0,0,0,0.455971509992432,0,0,0,0,0,0,0,0,0,0
Gm9794,1.35113480129116,1.06048885117654,0,0,0.999808278030502,0.915491633875916,0,0.746181210762111,0,0,0,0,0,0,0
Gm9843,1.14835430019077,0,0,0,0.991334005549991,1.03116546465535,0,0,0,0,0,0,0,0,0
Gnai2,0,0.930452258927315,0,0,0,0,0,0,0,0,0,0,0,0,0
Gng11,0,1.11326399566928,0,0,0,0,0,0,0,0,0,0,0,0,0
Gng5,1.11705140443018,1.28654249792938,0,0.937558139468592,1.33371077515392,0.91909453554501,0.272563159781612,0,0,0,0,0.78011271672478,0,0,0
Gpx1,1.15162503645699,1.0399704021959,0.693240860627828,0.420802139650213,1.01104753841371,2.2657358806564,0,0.737063945876263,1.53936599320644,0,0,0,0,0,2.11595506798287
Gpx3,1.01246338046619,0,0,0,1.95732198544669,0,0,0,0.989791167279111,0,0,1.00229726940304,0,0,0
Gpx4,1.07231325274741,0,0,0.87770162168928,0.696325265270612,0,0.709046469740622,0,0,0,0,0,0,0,0
Gpx7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grb14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsta4,0,0,0,0,0,0,0,0,0,0,0,0,1.19621817981455,0,0
Gstm1,0,0,1.44889768946728,0,0.638680157153428,0,0,0.92767107630508,2.34287442696436,1.69913062501479,0,0,0,0,0
Gstm2,0,0,0.642484187823122,0,0,0,0,0.91201456289429,1.47851132423531,1.79912045159889,0,0,0,0,0
H1f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Aa,0,0,0,0,0,3.20575367743678,0,0,0,0,0,0,0,0,3.49791176481274
H2-Ab1,0,0,0,0,0,3.33778212440472,0,0,0,0,0,0,0,0,3.54804574542526
H2-D1,0,1.20400317148525,0,0,0,2.31646535155446,0,0,0,0,0,0,0,0,1.75181820052393
H2-Eb1,0,0,0,0,0,2.98580357746913,0,0,0,0,0,0,0,0,3.22166471368467
H2-K1,0.384585108490737,1.00294078577019,0,0,0,1.86742981305719,0,0,0,0,0,0,0,0,1.30512372488303
H2afv,0,0,0,1.11977329886174,0,0,0.549519812952287,0,0,0,0,0,0,0,0
H2afz,0.599557811323952,1.13654259724663,0,2.04309735383487,0.769687642917978,0.76541197449455,1.47983272380664,0,0,0,0,0,0,0,0
H3f3a,1.07481146176919,0,0,0.869556989108001,1.3939992214912,1.12250915479817,0,0,0,0,0,0,0.882623967839593,0,0
Hao2,0,0,0,0,0,0,0,0,1.79759873659075,0,0,0,0,0,0
Hdgf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hes1,0,1.46657348209704,0.922590167330277,0,0,0,0,2.12122648574107,0,0.952501819228067,0,0,0,0,0
Hint1,1.55866937129082,1.52813870721734,1.46919898477153,1.64110929620175,1.45180399399872,0.76541197449455,1.56810273886273,0,1.13191702405898,1.21491673340079,1.2785440759865,1.20987432117489,1.11069501467649,1.65951711303412,0
Hjurp,0,0,0,1.08288820952061,0,0,0,0,0,0,0,0,0,0,0
Hmgcs2,0,0,0,0,0,0,0,0,1.40916808871646,0.681598203093963,0,0,0,0,0
Hmgn1,1.14720458495723,0.397447931060939,1.13901803441293,1.35828691267881,1.25159756879675,0,1.2715446910775,0.737063945876263,0,0,0.84148150825089,0,0.25493326283373,0,0
Hmgn2,0,0,0,1.23993606925016,0,0,0,0,0,0,0,0,0,0,0
Hmox1,0.273871161701723,0,0,0,0,1.44406346702626,0,0,0,0,0,0,0,0,0
Hnrnpa2b1,0.992328739258186,0.796986995376021,0,1.30011296001075,0.951601440911192,0,1.05004546743086,0,0,0,0,0,0,0,0
Hnrnpab,0.497143838576212,0,0,0.752478563486126,0,0,0.808687150213761,0,0,0,0,0,0,0,0
Hsd11b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsd17b1,0,0,0,0.848170822603742,0,0,0,0,0,0,0,0,0.880678615232066,0,0
Hsd3b1,4.58639320548779,1.13654259724663,0.948260910059424,3.14570915475364,4.45680877810626,1.48346510070824,2.39311852011494,1.67270816869623,5.06081845849934,2.03565907629957,2.07068745685457,1.53141750675365,4.33691882716181,4.49617922203333,0
Hsp90aa1,0.706181464682131,0,0,0.97321238370571,0.641363831061312,0,0.842434507792967,0,0,0.682186611671769,0,0,0,0,0
Hsp90ab1,2.1006102348656,2.02123421828395,1.79129126975598,1.90888623659623,1.99233222989656,1.08697441751169,2.03330866625657,1.91080521643372,1.65614867191647,2.09483286170257,1.66250560024763,2.04481148783469,1.9981065855605,1.9060176975333,0
Hsp90b1,0.507054423133527,0.770663288095646,0,1.56292809111366,0.578423773456316,0,1.50135214173339,0,0,0,0,0,1.52788205575516,0,0
Hspa1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa5,1.0648909346367,1.12581076981309,0.865549612754337,1.90818968151806,1.05686607394807,0.76541197449455,1.92845075706151,0.888104505610535,0,1.57927072932058,0,1.19527007448667,1.86785266397107,0,0
Hspb1,0,0.705550118116264,0,0,0,0,0,2.11518196943323,0,0,0,0,0,0,0
Hspd1,1.59168930361391,0,0,0.727906870675762,0.674841080457991,0,0.671217818661496,0,1.16175255737007,0,0,0,0,0,0
Hspe1,2.19441439379035,1.02898845389508,1.52483379692528,1.48222327827113,1.32997948460167,0.557481036324545,1.71881343530348,0.967549480522028,2.09411330267615,1.5919213027069,1.00740512554526,1.46548042195718,1.49202324520377,2.01076676569955,0
Htra1,0.902294739591711,0,0,1.70721391248555,0.437411374776709,0,1.52338870213847,0,0,0,0,0,1.61473271713703,0,0
Id1,0,1.84133578491443,0,0,0,0,0,0,0,0,0,0,0,0,0
Id2,1.2832575661205,0,0,0,1.37540406746095,1.01180061225083,0,0,0,0,0,0.857699431451002,0,0,1.03300619772895
Id3,0.568511852649401,2.0876631853025,1.92934425150006,1.37452213268539,1.51089010891504,0,1.25333814596052,1.63832817878152,0,0.929710747482738,0,1.9938265282295,1.2230835889368,0,0
Idh1,2.28721053553387,0,0,0,1.87950603701445,0,0,0,1.11111183397868,0,0,0,0,1.81683167952091,0
Idh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ier2,0.863046596755896,0.949589828867656,1.39552306992246,1.10153410031244,0.851868750798553,0,0.67506059704884,1.83395738575609,0.803241374311062,1.15588698318826,0,1.17481014046375,0.994458474707478,0,0
Ier3,0,1.63863203726743,0,0,0.630496895814689,1.01891704765493,0,1.91080521643372,0,1.68848441877039,0,1.18309422142618,0,0,1.75181820052393
Ifi27,0.393086648498458,0,0,0,0,0,0,1.0441311315067,0.803241374311062,0,0,0,0,0,0
Ifi27l2a,0,0,0,0,0,0.76541197449455,0,0,0,0,0,0,0,0,0
Ifitm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm2,0.538850174215023,1.18156229683286,0.53508111436926,0,0.531391991311032,0.961945855406582,0,0,0,0,0,0,0,0,0
Ifitm3,0,1.69980097690229,1.18288255880488,0,0,1.46628256199724,0,0,0,0,0,0,0,0,1.72502539369053
Igf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp5,0,0,0,0,0,0,0,1.50239462372362,0,0,0,0,0,0,0
Igfbp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp7,0,3.85369884333106,3.48742373445026,0,0,0,0,0,1.15297751752687,0,0,0,0,0,0
Inha,1.27184007422953,0.942675714058598,0.907057939107827,4.49264640919625,1.58224613852115,0,4.28990703095682,1.50239462372362,1.79335331133667,3.3065581787675,1.50827021021856,3.57363384856278,4.86858636548092,1.69980127142565,1.8160530846534
Inhba,0,0,0,0.559573610318663,0,0,0,0,0,0,0,0,1.62823148424093,0,0
Isyna1,0.174528281297524,0,0,0,0,0,0,0,0,1.54477596951303,0,0,0,0,0
Itm2b,0.832237659557479,1.29836887435266,1.40584027446377,0.947466062911945,1.41700053036767,2.85529148609395,1.21979924580719,1.7557875678051,1.5942453904223,1.71675344918262,0.481241736081922,2.21473449310335,1.20083827153114,0,3.22166471368467
Ivns1abp,0.419513932243855,0,0,0.869556989108001,0.651281139149766,0,0.637772672867298,0,0,1.08035061444948,0,1.67408663260775,0.765667060457059,0,0
Jun,0.774205339711596,0.312120721987544,0,0.726118734672793,0.754824171259154,0,0,2.17923548795901,0,0,0,1.24409957067942,0.799326430919657,0,0
Junb,0.53618772301016,1.50775495251615,1.3061371076468,0.525105234528607,0.483527476948638,1.006530791221,0,1.9455708287672,0.711487850384813,0,0,0,0.708655847275013,0,0
