,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
Papss2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53899687444054,0,0,0,0,0,0,0,0,0
Pepd,0,0,0,0,0.493078246713149,0,0,1.04082828905591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phgr1,0,0,0,0,1.54862935738948,1.53364358122272,0,2.0995973081843,0,0,0.558682249131418,0,0.862238032468603,0.769639386523079,0,0,0,0,0,0,0,0,0.840704155147668,0,0,0,0,0,0
Pigr,0.516445858447977,1.37677514649444,0,0,2.39562845507395,1.56314595243475,0,1.98407842549739,0,0,0.716658237817295,0,1.59973675317027,1.79938584604317,0,0,0,0,0,2.92189421072432,0,0,2.95435111694958,0,0,0,0,0,2.93332399973188
Pim2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla2g2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla2g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69960906173789,0,0,0,0,0,0,0.323582204669735,0,1.24009873171429,0
Plac8,0,1.06820807182234,0,0,2.75789672502368,1.1602341798857,0,1.77624628677756,0,0,1.37816254917595,0.800400672484459,1.66003096867601,1.22115573035781,1.1832927068903,1.65605915312599,1.63126823097612,0,0,1.4158517048824,1.30337804316109,0,1.12579321621908,1.26467776933112,2.28104116297675,1.18175285741364,0,0,1.33721548240102
Pls1,0,0,0,0,0.715879575140005,0,0,1.01172403283464,0,0,0,0,0,0,0,0,0,0,0,1.07672215223475,0,0,1.30195201725301,0,0,0,0,0,0
Pnliprp2,0.356383966773697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,0,0,0.866216165929261,1.63475948393647,0,0,1.48731679373021,0,0,1.74074608237404,0,1.68918920875015,0.814589419539532,1.08211004380352,0,0,0,1.48874402066832,0,0,1.47115360541967,1.32590893146452,0,0.941232607070536,1.64507513347753,1.2517538286567,0,0,0
Ppp1r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704152739548217,0,0,0,0,0,0,0,0
Prap1,0,0,0,0,2.64343421874614,0,0,2.06329055272768,0,0,0.50139531273568,0,0,1.16403842871419,0,0,0,0,0,4.11985467032617,0,0,2.25097608297343,0,0,0,1.12828040259866,0,1.32646461940167
Prdx1,0,0.867354639077152,0.55331884261543,1.13370229410194,1.94213593280545,0.7118327090073,0,1.67752135616971,0,0,0.898006703719897,0.680144651354801,1.1427813417286,1.55109388707771,0.631267195736021,0,0,0,0,0,0.647445365987783,0,0,0,0,0.546162624494832,0,0,0
Prg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptma,0,0,0.642068928070467,2.09088624927743,0,0,1.02251641259377,0,0,1.29960702226317,1.03782943749834,1.74782002817224,0.925300254146853,1.63548961269944,0.731561157015704,0.997490500255527,1.35897003303523,0,0,0,0,1.08609852502528,0,0.961118143977732,1.01007444810087,1.14715778145444,0,0,0
Ptpn18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14051744382708,0,0,0,0,0.983816718474729,0,0,0,0,0.743506547392044,0,0,0
Ptprc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58671771044299,0,0,0,0,0,0,0,0,0,0
Ptprcap,0,0,0.533248477852712,0.855970488563435,0,0,1.08319393998875,0,0,1.01360996717887,0,0.691433808343353,0,0,0,0,0,0,0,0,1.39539972882952,0.982485465058187,0,0,0.748946954830268,0,0,0,0
