,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
Cldn5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36349935059175,0,0,0
Clec3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804456776289821,0,0
Clec4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4d,0,0,0,0,0,0,0.316579369213469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cma1,0,0,0,5.96820863658551,1.01712461667452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnmd,0,0,0,0,0,0,0,0,0,2.14627225907917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741114993301989,0,0,0,0,0,0,0
Cnn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886215810726098,0,0,0,0,0,0,0
Col11a1,0,0,0,0,0,0,0,0,0,1.16271592314716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col14a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col15a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,0.975914041161036,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16986812110888,0,0,0,2.26346835303266,1.01936910145831,1.27354079953313,1.97863016932228,0,3.57471569267749,0,2.44237380421472,0,0.744298085827217
Col1a2,1.99244367503555,0.406132451774543,0.389671212650157,0,0,0,0,0.92883021658922,1.10634865514145,0.961479682059415,0.669030267817796,0.849283477371157,0,0.917016576922911,4.38785050436934,0.779052265452518,1.28029276421306,1.5101007829979,4.23333285054643,2.61710136051905,2.69437605348273,3.89849757391643,1.01036029795515,5.52382419479741,1.11213471438364,4.40200172805934,0.55909969400925,1.06705881479064
Col2a1,0,0,0,0,0,0,0,0,0,4.34069689913847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col3a1,1.0388550904367,0,0,0,0,0,0,0,0,0.716247672836082,0,0,0,0,0.871601545546931,0,0,0,2.78198408484662,1.2959244908863,1.17647543614958,2.56809794872308,0,1.98510141161044,0,3.3148210218507,0,0
Col4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721083946035875,0,0,0,1.04739295311341,0,0,0
Col4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812490432321909,0,0,0,1.14798296391665,0,0,0
Col5a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730189898830489,0,0
Col6a1,0,0,0,0,0,0,0,0,0,0.515929677635553,0,0,0,0,0,0,0,0,0.843885707451354,0,0,0.630012901759281,0,1.09914363079461,0,0.661055363704701,0,0
Col6a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808449681837397,0,0,0.803974772159966,0,0.745098230519721,0,0.585147428615922,0,0
Col6a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,0,0,0,0,0,0,0,0,0,2.16861968398414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
