,unassigned,Embryonic-Mesenchyme_6,Embryonic-Mesenchyme_9,Embryonic-Mesenchyme_15,Embryonic-Mesenchyme_21,Embryonic-Mesenchyme_3,Embryonic-Mesenchyme_2,Embryonic-Mesenchyme_11,Embryonic-Mesenchyme_8,Embryonic-Mesenchyme_17,Embryonic-Mesenchyme_1,Embryonic-Mesenchyme_23,Embryonic-Mesenchyme_13,Embryonic-Mesenchyme_5,Embryonic-Mesenchyme_10,Embryonic-Mesenchyme_22,Embryonic-Mesenchyme_4,Embryonic-Mesenchyme_25,Embryonic-Mesenchyme_24,Embryonic-Mesenchyme_16,Embryonic-Mesenchyme_7,Embryonic-Mesenchyme_14,Embryonic-Mesenchyme_12,Embryonic-Mesenchyme_20,Embryonic-Mesenchyme_19,Embryonic-Mesenchyme_18
Eif2s2,0,0,0,0.648692596924545,1.04280556937715,0.993279891059289,0,0,0.799700096084761,0.85061184783488,0,0.904635316194702,0,0,0,0.942942002525883,0,1.19403764030429,0,0.840877038775889,0.84373945149352,0.359266983721361,0,0.788173324491468,0,0
Eif3h,0,0,0,0,0.398217239019469,0,0,0,0,0,0,0,0,0,0,0,0,0.754419920732399,0,0,0,0,0,0,0,0
Eif3k,0,0,0,0.542947055548541,0.653940526835291,0,0,0,0,0.637675785909681,0,0.623702023845816,0,0,0,0,0,0.726961032067469,0,0,0,0.692195376509832,0,0.573355043002793,0,0
Eif4a1,0,0,0,0,1.10226846790823,0.787659112854839,0,0.619421179424402,0,0.457618968723652,0,0.82642713804322,0,0,0.767212141550317,0.856575971978545,0.750516715513845,0.6707485606805,0,1.10377102351961,0.733306786848645,0,1.02473383683107,0.737718419053535,0,0
Eif4g2,0,0,0,0,0.363709372859473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608585582295257,0,0,0,0,0,0,0,0,0,0
Eif5a,0,0,1.03977448246664,1.12820161041984,1.84018931845382,1.10203991037219,0.858953201290685,1.02898411994207,0.917650284614235,1.55786176322073,0,0.972162898621996,0.792754598983826,0,0,0,0,1.75262244024593,0.461197997359392,1.12736055921369,0.867381576471523,0.96828191836753,1.15590316248231,0.920788301988185,0,1.0253446344382
Elavl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296958088347948,0,0
Elob,0,0,0.945135755586213,0.610954976376547,0.685063701836462,0.943303587359079,0.481587119697186,0.88983896841519,0.738515647058211,0.671806083404218,0.963634732251545,0.473649159574918,1.03141017657724,1.09481953311307,1.09248210518987,0.856575971978545,0.953172019444533,0.6707485606805,0,0.99569462641966,1.11800488431795,0,1.03708725914055,0.866672788713653,1.08796169240234,1.23361227405279
Elp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp3,0,0,0,0.609324511070112,0,0,0,0,0,0.529019093520588,0,0,0,0,0,0.608585582295257,0,0,0,0,0,0,0,0,0,0
Erp29,0,0,0,0.609619646186049,0,0,0.74158921697602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp5,0,0,0,0,0.516463199665095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927496118934467,1.00303603847329,0,0
Fau,0,0,0.939703163787246,1.3273942653675,1.31724597811239,1.21125095403169,1.03616931985578,0.763598836605229,0.817598114194196,1.30065700708132,0.997315342825229,0.778643841252181,0,0.555869349123185,0,1.12474530485105,0,0.316569738163383,0,0.458355298293232,0.880035240396985,1.2153197180471,0.822409772880713,0.795588946735334,0.968192031808816,1.11140263159154
Fcer1g,0,0,0,0.854507919335544,0,0,1.87064129218875,0,0,0.98032999283065,0,0,0,0,0,0,0,0,1.07261918772891,0,0,0,0,0,0,0
Fcrls,0,0,0,0,0,0,1.10276884310658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp1a,0,0,0,0,0,0,0,0,0,0,0,1.30124715629594,0,0,0,0,0,0.6707485606805,0,0,0,0,0,0.688078646573798,0,0
Fkbp3,0,0,0,0,0.393761697435728,0.748716162940354,0,0,0,0.187225065962419,0,0,0,0,0,0,0,0.810632392119368,0,0.930118330440748,0.711575570244232,0,0,0.570664806306851,0,0
Fos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fscn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725948946656555,0.7977253096858,0,0
Fstl1,0,0,0,0,0,0,0,0,0,0,0.803318980464992,0,0,1.16424201379812,0,0,0,0,0,0,0.880976077396088,0,0,0,0,1.35147164524794
Fth1,2.55501065171537,3.65851502488974,1.27624265489374,2.01582220327503,2.0552228042474,1.09903047915617,2.75238980426743,1.39220430276683,2.864087599402,1.58755417403557,1.54547678609708,1.52935231990991,1.35658086774718,1.3662741480339,1.20501326398433,1.62317503731055,1.37261333421802,1.16131018216889,1.23468243085817,1.08893587163607,1.55899245138235,1.44458202930125,1.38494201287424,1.34978288324177,1.39640845731469,2.07430332747726
Fus,0,0,0,0,0.393761697435728,0,0,0,0,0,0,0,0,0,0,0,0,0.215731441171836,0,0,0,0,0,0,0,0
Gabarap,0,0,0.239879024376018,0,0,0,0.895666530335486,0,0,0.643733069681532,0,0,0,0,0,0,0.960621163922824,0.652482955810518,0.820299787454575,0,0.689975393279759,0,0.773160104292338,0.829945084373068,0.794587873213568,1.08380489029215
Gap43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36864396137413,0,0,0,1.38552298908375,0,0
Gapdh,0,0,1.1144165882681,1.19702473698915,1.37420801852585,1.35883721454723,1.2183966430523,0.921112742274447,0.727323834894794,1.26640650746057,1.01804744724633,0.279663117767615,0.827861759171364,0,0.767212141550317,1.02875387027177,0,1.45485268710294,1.227108942537,1.52098680949885,0.970487491076534,1.44206670319754,0.307420964129664,1.06060433923628,0,0
Gas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas5,0,0,0.887025770332772,0,0.957129934185992,0.610079151439853,0,0.652279461276769,0,0.770684953204428,0,0.633093286287281,0,0,0,0,0,1.10109553443049,0,0,0.548128013673107,0.7346230227437,0,0,0,0
Gdi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
