,unassigned,Spleen_10,Spleen_8,Spleen_11,Spleen_2,Spleen_1,Spleen_5,Spleen_4,Spleen_7,Spleen_9,Spleen_6,Spleen_3
Cox7b,0,1.10367444253667,0.258547872381849,0,0,0,0,0,0,0.743647629509462,0,0
Cox7c,0,1.3399842661343,0.412514727297459,0,0,0,0.827005398526644,0.684535503277119,0,0,0,0
Cox8a,0,0.799967565537967,0,0.668057161263281,0,0,0.656310355483843,0.68378092347998,0.276944659838828,0.572294547546053,0,1.0614727448222
Crip1,1.06193568866549,0.347029169223977,0.412514727297459,0.532945795119614,1.03248642695184,1.05177870382623,1.75190041528269,0,1.07565272915701,0.71295427999919,0,1.28698909363608
Cst3,0,0,0.38459981797769,0.358792676888565,0,0,1.93711384227837,1.32357736664242,1.72828832292259,1.35794006182381,0,0
Ctsb,0,0.202978445370774,0.589294496112812,0.153982101472987,0,0,1.0485825329284,0,3.20437229116068,1.85889512133823,0,0
Ctsc,0,0,0,0,0,0,0,0,1.22935121617177,0,0,0
Ctsd,0,0.231662835931175,0,0,0,0,0,0,1.73652630757404,0,0,0
Ctsh,0,0,0,0,0,0,0,0,0.276944659838828,1.03897154631998,0,0
Ctss,0,0,0.412514727297459,0,0,0.582050764804147,1.71391463294411,1.35872493576207,1.92399156987723,1.13491310529137,0,0
Ctsw,0,0,0,0,0,0,0,0,0,0,0,1.04814695597574
Ctsz,0,0,0,0,0,0,0,0,0,0,0,0
Cyba,0.855207245656582,0.184204347070146,0.88227465698247,1.76367834149055,0.758104000326795,1.06945818887566,1.42575926207168,1.16813689091689,1.48469025057127,1.18789591210617,0.901102238213882,1.15854287117873
Cytip,0,0,0,0,0,0,0,0,0,0,0,0
Dad1,0,0.531959395106636,0.492960813071508,0.109649927746366,0,0,0,0,0,0.840797675969432,0,0
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0
Ddx5,1.28984953223477,0.762716118061442,0.88227465698247,0.688255083509118,1.23716417140586,1.35091489914291,0.96292667159842,1.36663250105759,1.22068706764134,0.901768132187575,1.17444140435944,1.31619395083458
Dgka,0,0,0,0,0,0,0,0,0,0,0,0
Dynll1,0,0.381269076406243,0.412514727297459,0,0,0,0,0,0,0,0,0
Dynlrb1,0,0.0900703692906509,0,0,0,0,0,0,0.608287896328987,0.26953407500061,0,0
Eef1a1,1.62811614963871,1.94693333482092,1.01746412001023,0.656239635404289,1.97915765468864,1.57317133789519,1.33406680519809,1.53021623836092,1.22569584297314,1.33637440161336,0.96292667159842,1.44074644215863
Eef1b2,0.443418068226214,0.888305371911219,0.38459981797769,0,0.842016550241582,0,0,0.722023363745001,0,0,0,0
Eef1d,0,0.165190402419663,0,0,0,0,0,0,0,0,0,0
Eef1g,0,1.00163858437986,0,0,0,0,0,0,0,0,0,0
Eef2,0,0.798352840155332,0.507555803116047,0.153982101472987,0.217480537086788,0,0,0,0,0,0,0
Eif1,1.33709655591826,1.50506661105323,1.17945938457604,1.22800332724261,1.24853411647879,1.34550912474508,1.15129960502896,1.19678449424365,1.30001646772629,1.03897154631998,1.81315913314775,1.29042316429973
Eif2s2,0,0.68096343329782,0,0,0,0,0,0,0,0,0,0
Eif3f,0,0.511607164336176,0,0,0,0,0,0,0,0.302760472545443,0,0
Eif3h,0,0.0751200331290125,0,0,0,0,0,0,0,0.26953407500061,0,0
Eif3k,0,0.730399986790205,0.423795984967914,0.60822253237391,0,0,0,0,0,0,0,0
Eif4a1,0,0.57054505106813,0,0.153982101472987,0,0,0,0,0,0,0,0
Eif5,0,0.318221018609057,0,0,0,0,0,0,0,0,0,0
Eif5a,0,1.46187892800167,0.407825047361211,0.658894190056145,0,0,0.656310355483843,0.446417131226891,0,0.658984373253508,0,0
Elob,0,0.730399986790205,0.347789872741667,0,0,0,0,0,0,1.08871947742528,0,0
Emp3,0,0,0.412379229988368,0.476454449451172,0,0,0,0,0,0.799644105706646,0,0.825264974281111
Eno1,0,0.280112047089823,0,0.771846077389245,0,0,0.773772248205651,0,0,0,0,0
Evl,0,0,0,0,0,0,0,0,0,0,0,0
Ezr,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,0,0.775882827618817,0,0,1.92007583140281,0.959136294635533,2.15547241425278,0.926452122074261,1.32805116262206,1.41292133694108
Fcer2a,0,0,0,0,0,0,0,0,0,0,0,0
Fcmr,0,0,0,0,0,0.883547503959883,0,0,0,0,0,0
Fis1,0,0.203252817340049,0.224250583800168,0,0,0,0,0,0,0,0,0
Fkbp3,0,0.222026915640677,0,0,0,0,0,0,0,0,0,0
Fth1,1.69381935136981,2.30573533868311,0.950905341674315,0.950930545577023,1.38193314579861,1.84256544411177,1.6154153537351,2.18650974366744,3.61322426966916,2.74193591610779,2.61207314491328,1.39389180954402
Ftl1,1.10930724828891,1.73912184774677,1.66942437668982,1.24163345102685,1.13765366883262,1.17214175368508,2.30000680821491,1.76503180290792,4.22032947955737,1.45010907536748,2.51523709577216,1.03585873827215
Ftl1-ps1,0,0.669958271181894,0.723288929047586,0.685600528857262,0,0,0.96292667159842,0,2.62035583921936,0,1.32805116262206,0
Fxyd5,0,0,0,0,0.952763285970821,0,1.09220669440536,0,0.349601015777479,0.731063538404617,1.2777836670971,1.02927951591186
Gabarap,0,0.374011742788911,0.423795984967914,0.244077707862166,0,0,0.584505739144906,0,0.64350730628052,0,0,0
Gapdh,0,1.10255426076245,0.589759149436447,1.24758868673713,0,0,0.698020893226195,0.627178562925854,0.782375590723962,0.988371405806316,1.2076847949706,0
Gas5,0,1.10203787618019,0.353061363454568,0,0,0,0,0,0,0.623630203496313,0,0
Gimap1,0,0,0,0,0,0,0,0,0,0,0,0
Gimap3,0,0,0,0,0,0,0,0,0,0,0,0
Gimap4,0,0.0486014305154591,0.224250583800168,0.263632029219353,0,0,0,0,0,0,0,0.958208847178894
Gimap6,0,0.0751200331290125,0.38459981797769,0,0,0,0,0,0,0,0,0
Gltscr2,0,0.184238872689567,0,0,0,0,0,0,0,0,0,0
Gm10073,0,0.518209466837125,0,0,0,0,0,0,0,0,0,0
Gm10076,0,0.891618488358309,0.73271000905508,0.153982101472987,0.764678646754835,0,0,0,0,0.572294547546053,0,0
Gm10123,0,0.822534969318792,0,0,0,0,0,0,0,0.302760472545443,0,0
Gm10132,0,0.109118839560554,0,0,0,0,0,0,0,0,0,0
Gm10275,0,0.720513486367706,0,0,0,0,0,0,0,0,0,0
Gm10288,0,0.604166915285583,0.38459981797769,0,0,0,0,0,0,0,0,0
Gm10736,1.33709655591826,1.74121765018755,1.54015971092904,0.153982101472987,1.40770603437759,1.31399422362963,0.999314803394644,1.16756728912984,0.660322441106984,1.37774821980444,0.890613294935676,1.10990805374404
Gm11361,0,1.08038342380199,0.618145210653278,0,0.969830782553067,0,0,0.786850531149567,0,0,0,0
Gm11478,0,0.629379887694854,0.423795984967914,0,0.647946665532068,0,0,0,0,0,0,0
Gm13436,0,0.561700461367404,0,0,0,0,0,0,0,0,0,0
Gm13588,0,0,0,0,0.845216267437382,0,0,0,0,0,0,0
Gm14303,1.39261528578593,1.32032533929531,1.32971634533332,0.572648641524162,1.7336465598019,1.3288003943416,1.22380597443267,1.4313031842504,1.44496211167424,1.22574857697471,0,1.15700511378756
Gm14586,0,0.92631417696902,0.353061363454568,0,0,0,0,0,0,0,0,0
Gm15427,1.72628229639846,1.50506661105323,1.32971634533332,0.244077707862166,1.83784902414489,1.70212858290995,1.43013217428506,1.73696615052622,0.623804253957577,1.17479664911523,0,1.36053558371947
Gm15536,0,0.839961561604862,0,0,0,0,0,0.948685871801321,0,0,0,0
Gm15772,0,0.466420974241958,0,0,0,0,0,0,0,0,0,0
Gm1821,0,0.409192357259853,0.353061363454568,0.685600528857262,0,0,0,0,0,0,1.1269792382506,0
Gm2000,1.1082858023233,1.30765541183329,0.412514727297459,0,1.10574104072571,1.00407294063332,0.714936348735764,0.627178562925854,0,0.26953407500061,0,0
Gm3511,0,0.346696051738383,0.412379229988368,0,0,0,0,0,0,0,0,0
Gm4149,0.569299517545609,0.788802221998594,0,0,1.10523326488899,0.697448105912422,0,0.956126188559938,0,0,0,0
Gm5805,0,0.452701182088429,0.347789872741667,0,0,0,0,0,0,0,0,0
Gm5905,0,0.757199269892546,0.418287714686644,0,0,0,0.509623394269756,0.722023363745001,0,0,0,0
Gm6472,0,0.529814040836161,0,0,0,0,0,0,0,0,0,0
Gm7536,0,0.511607164336176,0,0,0,0,0,0.609969096803843,0,0,0,0
Gm7600,0,0.295318483531442,0,0,0,0,0,0,0,0,0,0
Gm7808,0,0.182533233414243,0,0,0,0,0,0,0,0,0,0
Gm8186,0,0.897278556791514,0,0,0,0,0,0,0,0,0,0
Gm8369,0,0,0,0,0,0,0,0,0,0,0,0
Gm8430,0,0.430845612131978,0,0,0,0,0,0,0,0,0,0
Gm8730,0,0.515309161611571,0,0,0,0,0,0,0,0,0,0
Gm8797,0,0.314431782089488,0.477727063150814,0.771846077389245,0,0,0,0,0.293906290503041,0,0.96292667159842,0
Gm9385,0,0.387901515023174,0,0,0,0,0,0,0,0,0,0
Gm9794,0,0.70910339419144,0.38459981797769,0,0,0,0,0,0,0,0,0
Gm9843,0.939190848420186,0.784438718839957,0.412514727297459,0.552450719278325,1.13229424766299,1.12119773199142,1.18081811919895,1.03160646341933,0,1.00689310592867,0,0.930960712644991
Gmfg,0,0,0,0.532945795119614,0,0,0,0,0,0,1.17444140435944,0
Gnai2,0,0,0,0.581811612731298,0,0,0,0,0,0,0,0
Gnas,0,0.658927721959611,0.636484185263931,0.288868087257448,0,0,0.660146556812485,0,0,0.820054166768584,0,0
Gng5,0,0.199189208851205,0,0.685600528857262,0,0,0.500651015842525,0,0.679498979232014,0,0,0
Gpx1,0,1.62238007753801,0,1.39292024628045,0,0,1.9342501537469,1.14580010090384,1.09420646111627,1.45234470703577,1.33105171164665,0
Grap,0,0,0,0,0,0,0,0,0,0,0,0
Grcc10,0,0,0,0,0,0,0,0,0,0,0,0
Gzma,0,0,0,0,0,0,0,0,0,0,0,3.11050941617134
H2-Aa,1.45334736073661,0.426007627053946,1.00718900586647,0.153982101472987,1.01265436948918,2.41283355673243,0.911170007970083,3.43319257219755,1.33491288119148,2.49573458340625,1.25745815060712,0.855570827435112
H2-Ab1,2.16694220156314,0.616122397734848,1.50232330323648,0.924596074918058,1.42488814320651,2.9152237361525,1.81960188129031,3.93950397134392,1.78016603225386,2.70697907264157,1.87148130451347,1.75998909748786
H2-D1,1.46711621369984,0.577115449084873,1.56209549359409,0.820935529875809,1.70148594089631,1.45699160491229,1.97945859551867,1.75373020002744,1.7854290027099,2.16117443306149,2.08988011252476,2.46069307986539
H2-DMa,0,0.0486014305154591,0,0,0,0,0,0.704768339377338,0,0,0,0
H2-DMb2,0,0.11237990407865,0,0,0,0.479375169716928,0,0,0,0,0,0
H2-Eb1,1.38111818069622,0.415824795876783,0.589294496112812,0.358792676888565,0,2.15473792904773,0.954628465695692,3.57040937226459,1.14968027482342,1.44533553579889,0.890613294935676,1.11549375025575
H2-K1,1.57533109315957,0.327686096371906,1.51089765973657,0.545082475350734,1.82584614867886,1.44701781308511,1.18140144582683,1.63454962197448,1.68529100534631,2.05316306273844,1.2200453747755,1.71902474008508
H2-Oa,0,0,0,0,0,0,0,0.956126188559938,0,0,0,0
H2-Ob,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q6,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q7,0,0,0.552174779528805,0,0.125640987166543,0,0,0,0,1.31954410369071,0,1.10423524278658
H2afj,0,0.329266613198901,0,0.109649927746366,0,0,0,0,0,0,0,0
H2afz,0,1.61343432796524,0,0.676234598200295,0,0,0.540000098160407,0,0,0,0,0.851873715756635
H3f3a,0.935591084719572,1.01540872185174,0.507555803116047,1.31225290903148,0.743501293538631,1.30962428019172,1.26957012471783,1.27571969426096,0.649155916051556,0.875493364580143,1.32805116262206,0
H3f3b,1.3074453541896,1.28745436502434,0.938468603779219,0.901380314372027,1.18668166840807,1.30816994356237,1.44791785771161,1.35246919640059,1.20475313767962,1.85889512133823,1.71313191165489,1.32435694637731
Hba-a1,0,1.23157966343698,0,0,0,0,0,0,0,0,0,0
Hcst,0,0,0,0,0,0,0,0,0,0,0,0
Hint1,0,0.691562208778178,0,0,0,0,0,0,0,0.354197331256563,0,0
Hmgn1,0,0.363928489997823,0,0,0,0,0,0,0,0,0,0
Hn1,0,0.231662835931175,0.407825047361211,0,0,0,0,0,0,0,0,0
Hnrnpa2b1,0,0.881095699871714,0,0,0,0,0,0,0,0,0,0
Hnrnpc,0,0.485088883578117,0,0,0,0,0,0,0,0,0,0
Hnrnpf,0,0.511607164336176,0,0.51572158189776,0,0,0,0,0,0,0,0
Hnrnpk,0,0.930421883464518,0,0.589872854746015,0,0,0.438151463930462,0,0.276944659838828,0,0,0
Hsp90ab1,0,1.04635718554765,0.353061363454568,0,0,0,0,0,0,0,0,0
Hsp90b1,0,0.172897313123745,1.7460478085162,0,0,0,0,0,0,0.743647629509462,0,0
Hspa8,0.927771220322309,1.16780071017243,0,0.51572158189776,0.953512138269953,0,1.20524439630526,0.938468603779219,0,0.896659070391276,1.09717866625364,1.10423524278658
Hspe1,0,1.0245365530277,0,0,0,0,0,0,0,0,0,0
Hvcn1,0,0,0,0,0,0,0,0,0,0,0,0
Id2,0,0,0,0.204810575415578,0,0,0,0,0.745918549650958,0,0,1.03069782968766
Id3,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27,0,0.123721463644472,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,0.61661436927547,0.398059809335154,0,0,1.35715518788554,0,0.314381605825946,0.710320029203768,0,0
Ifi30,0,0.0751200331290125,0,0,0,0,0,0.446417131226891,0,0,0,0
Ifitm3,0,0.0941339777794948,0,0.688255083509118,0,0,2.37300411790891,0.869139241099625,1.09521727453279,0,0,0
Igha,0,0.165190402419663,0.412514727297459,0,0,0,0,0,0,0.590403805951479,0,0
Ighd,0,0,0,0,0,0.889696242622927,0,0,0,0,0,0
Ighm,2.11695675791839,0.531959395106636,5.67227122104785,0.894633354349036,1.42971813358017,2.7148716373942,1.48022513707292,1.20099869688632,1.10761173283556,2.09941382688462,2.02463410413572,1.81542495105997
Iglc1,1.10624881656243,0.165190402419663,2.65427328125712,0.524884553104896,0,1.24689614454341,0,0.446417131226891,0.606842623293364,0.799644105706646,0.96292667159842,0.92318115015922
Iglc2,1.01604368753024,0.184204347070146,2.18001283040814,0.204810575415578,0,1.39593812435772,0,0,0,0.731063538404617,0,0
Iglc3,0,0,0.938468603779219,0,0,1.36875812763978,0,0,0,1.46678511757092,0,0
Iglv1,0,0,2.91896812009671,0,0,0,0,0,0,0,0,0
Il2rg,0,0,0.407825047361211,0,0,0,0,0,0,0,0,0.993596923164293
Irf8,0,0,0,0,0,0,0,0,0,1.59249714583152,0,0
Itm2b,0,0.479929688943445,0.985538857778773,1.28855332031061,0.650654092072747,0,1.42314934952012,1.02462877689554,2.67311494550362,1.48533822558091,1.19439037838551,1.06805946994574
Jak1,0,0.0941339777794948,0,0,0,0,0,0,0,0,0,0
Jchain,0,0.246081132157318,5.00501821884577,0.153982101472987,0,0,0,0,0,0.302760472545443,0,0.958694472986604
Klf2,0,0.138898506692203,0,0,0,0,0,0,0,0,0,0
Krtcap2,0,0.231662835931175,0.589759149436447,0.109649927746366,0,0,0,0,0,0,0,0
Laptm5,0,0,0,0,0,0,0.881639886065187,0.811196385939125,1.1966009309594,0.675067062207433,0,0.991581420882928
Lat,0,0,0,0,0,0,0,0,0,0,0,0
Lck,0,0,0,0,0.732927104461988,0,0,0,0,0,0,0
Lcn2,0,0,0,4.02753333430713,0,0,0,0,0,0,0,0
Lcp1,0,0,0,0.572648641524162,0,0,0,0.958381927849566,0.314381605825946,0,0.88227465698247,0
Ldha,0,0.663362046242571,0,0.390456772989096,0,0,0,0,0,0,0,0
Lgals1,0,0.0637784735631905,0,0,0,0,0,0,0,1.39540331061478,0,1.04862134682006
Limd2,0.976833211739519,0.0751200331290125,0.258547872381849,0.572648641524162,1.15020222401277,0.857297711611187,0.687570865972761,0.811196385939125,0,0,1.0109641305557,0.861061516936146
Lsp1,0,0.0486014305154591,0,0.589872854746015,0,0,1.0194596866938,1.07469151779501,0,0.76439113871031,0.901102238213882,0
Lst1,0,0,0,0.263632029219353,0,0,0.986338278569195,0,1.0067778400373,0,0,0
Ltb,1.08434893049498,0.0486014305154591,0.224250583800168,0,1.16699856462544,1.0939420380207,0,1.008444117513,0,0.572294547546053,0,0
Ly6a,0,0,1.39510581500206,0,0,0,0,0,0,0.84507160479418,0,0
Ly6c2,0,0,0.412514727297459,0.963465334250952,0,0,0.885462701299201,0,0,1.56499341469379,0,0
Ly6d,0.8297952928046,0,0.994950036857502,0,0,1.56458159635357,0,0,0.633113044225054,2.10393477231752,0.88227465698247,0
Ly6e,1.94983047790961,0.903681981560183,1.99201045269252,0.668057161263281,1.50870788361334,2.22752844602199,2.10227564513742,1.48117123344657,2.28552706523671,2.92535855056381,1.34627489602179,1.25057697258441
Lyz2,0.973317642328697,0.292505481900965,0.507555803116047,4.65544785401474,0.540713088203653,0.982751617927268,5.18893431906776,0.817662189321394,0.669512043420215,0.865481665856118,1.98733274740881,0.451548687737757
Map1lc3b,0,0.208825129141703,0.407825047361211,0.153982101472987,0,0,0,0,0,0,0,0
Mdh1,0,0.199189208851205,0.423795984967914,0,0,0,0,0,0,0,0,0
Mif,0,0.670348628639834,0.407825047361211,0,0,0,0,0,0,0,0,0
Minos1,0,0.66952649743997,0,0.204810575415578,0,0,0,0,0,0,0,0
Mir142hg,0,0,0,0.569674932500178,0,0,0,0,0,0,0,0
Mndal,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a1,0,0.0637784735631905,0.258547872381849,0,0,1.02419764814858,0,0,0,0,0,0
Ms4a4b,0,0.199189208851205,0,0,1.32209503033409,0,0,0,0,0,0,1.43281729268257
Ms4a4c,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6b,0,0,0,0,0,0,0,0,0,0,0,0
Msn,0,0,0,0,0,0,0,0,0,0,0,0
Msrb1,0,0.123721463644472,0,0.572648641524162,0,0,0.911170007970083,0,0,0,2.25434133793589,0
mt-Co1,1.43188946677163,1.47299670565119,1.17945938457604,0.685600528857262,1.61886559902859,1.64163258894488,1.23995878638173,1.33633773792257,1.31093854662902,1.84489519305748,0.901102238213882,1.20406051509412
mt-Cytb,1.45699160491229,1.38922915640609,1.39693830835451,0.908536341934876,1.42838880498907,1.67933787486675,1.01349728489557,1.08046425080871,1.37810409595697,1.49805072032664,0,1.28062484755631
mt-Nd2,1.23523665169045,0.902001346761407,0.860000713837777,0.398059809335154,1.16984921678626,1.25099945300486,0.986338278569195,0.958381927849566,1.07589337011023,0.994815835584349,0.947948431282079,1.16702193418964
mt-Nd3,0,0.639026010036852,0.412514727297459,0,0,0,0,0,0.276944659838828,0,0,0
