,unassigned,Neonatal-Calvaria_1,Neonatal-Calvaria_4,Neonatal-Calvaria_5,Neonatal-Calvaria_3,Neonatal-Calvaria_6,Neonatal-Calvaria_9,Neonatal-Calvaria_13,Neonatal-Calvaria_2,Neonatal-Calvaria_8,Neonatal-Calvaria_7,Neonatal-Calvaria_10,Neonatal-Calvaria_11,Neonatal-Calvaria_14,Neonatal-Calvaria_12
Cebpb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebpd,0,0,0,0,0.343431778736426,0,0,0,0,0,0,0,0,0,0
Cfl1,0,0.657019136965504,0.855695840561271,1.15033823057758,0,1.27808547412767,1.38854542606022,1.77338806222569,0,1.59660183739796,0.732397592340229,0,0.919178889438255,1.23679283912191,0.92812491260605
Chad,0,0.907813015252729,0,0,0,0,0,0,0,0,0.298933180940887,0,0,0,0
Chadl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chchd2,0,0.658092140257175,0,0.809932012269127,0,1.07415260964857,0.987920311680517,1.17884923230716,0.650306951455448,0.282158428718785,0,0,0,0.903239529889772,0.859401491777438
Chil1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chil3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clic1,0,0,0,0,0,0,0.867827111123621,0,0,0.695067886532158,0,0,0,0,0
Clic4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnbp,0,0,0,0,0,0,0,0.79647774275205,0,0,0,0,0,0,0
Cnmd,1.37492904866494,2.42000307595607,0,1.37824282710827,2.54018117968949,0,0,0,2.55377029596735,0,2.71877185006804,1.79243631599966,0,0,0
Col11a1,1.32939978853201,1.95975988177565,0.720997034727908,1.10261231456568,1.93117978463859,0,0.56967145155836,0,1.89173111121018,0,2.04646873901186,1.38325886456834,0,0,0
Col11a2,1.14921000215611,1.39340973221241,0,0.695619569639035,1.27837450864909,0,0.665865431716625,0,1.34419656105871,0,1.36018849902447,1.26574713535692,0,0,0
Col12a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col16a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,0,0,2.79300643443476,0,0,0,0,0,0,0,0,0,2.70309736192859,0,0
Col1a2,0,0.753025128360318,3.16302479745006,0,0,0,0,0,0,0,0.814656001880179,0,3.09043954232305,0.369345124533301,0
Col27a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col2a1,3.51874386692717,4.30472687005254,2.32945991671979,2.87616701653785,4.44751917777949,1.79691997637072,1.84080432612899,0.916201684529764,4.30256666307248,2.06595132047756,4.45760833456501,3.75299588431451,1.91197339343095,2.23027154193691,2.13158016278128
Col3a1,0,0,2.03567743025703,0,0,0,0,0,0,0,0,0,3.69268467367883,0,0
Col6a1,0,0,0.685737272608347,0,0,0,0,0,0,0,0,0,0.956190216710139,0,0
Col6a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col6a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,2.09144861044873,2.74966296139028,1.14863973081423,1.87678013549985,2.82570107532834,0.912547876675509,1.04107128682817,0.790701943617778,2.78423941805749,1.16717007293801,2.72399789687204,2.1112027725613,0.925834905062746,0.787027099094331,0.659707447552183
Col9a3,2.03768326783939,2.59007051288917,0.942358238359208,1.84056571472199,2.63374791989392,1.02566417480168,1.11490370630689,0.754442627501226,2.63579584664589,1.04691218295034,2.67991856368308,2.37499411937981,0.656663818133629,0.41768197456103,0.307633486241572
Comp,0,0.912687015462975,0,0,0,0,0,0,0.725568568149375,0,0.785559695828598,0,0,0,0
Cops9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox4i1,0,0,1.00471199457643,0,0,1.14099132518373,0.902111871864631,1.1469465004002,0,0.925114007530873,0.535543236572903,0,0.591148807863858,1.0144352720803,1.12381972303415
Cox6a1,0,0,0,0,0,0.937287765618708,0,0.970904903323092,0,0,0,0,0,0.852445325370736,0
Cox6b1,0,0,0,0,0,0.929495436933511,0,1.1162752630698,0,0.917323714769742,0,0,0,0,0
Cox6c,0,0,0,0,0,0.881287195564162,0,0.668281518493959,0,0,0,0,0,0,0.793908418851304
Cox7a2,0,0,0,0,0,0,0,0.532423670607168,0,0,0,0,0,0,0
Cox7c,0,0,0,0,0,0.758038198532326,0,0,0,0,0,0,0,0.868828227815283,0.919904234712521
Cox8a,0,0,0,0,0,1.03701593477007,0,1.06945221762036,0,0,0,0,0,0.859699854005656,0.86636903102225
Crip1,0,0,0,0,0,0,0,0,0,0,0,0,1.22422155991148,1.75880490666015,0
Crispld2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cspg4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csrnp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst3,0,0,0,0,0,0.91288738332778,0,0,0.749055005801797,0.767330988632225,0.738976882825123,0,0,0,0
Cstb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctgf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cthrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsb,0,0,0,0,0,0,0,0,0,0.957516790224701,0,0,0,0,0
Ctsd,0,0,0,1.01945912939275,0,0,0,0,0,0,0,0,0,0,0
Ctsl,0,0.79647774275205,0,1.0256633667539,0,0,0.84471238163658,0,0,0.982197660286863,0,0,1.10111564445779,0,0.343063534540268
Cxcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920739832905264,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0.755390662958284,0,0,0,0.881289180639484,0,0.789793625650466,0,0,0,0
