,Placenta_1,Placenta_3,Placenta_9,unassigned,Placenta_27,Placenta_6,Placenta_5,Placenta_19,Placenta_23,Placenta_15,Placenta_10,Placenta_11,Placenta_7,Placenta_22,Placenta_13,Placenta_25,Placenta_4,Placenta_2,Placenta_14,Placenta_16,Placenta_8,Placenta_26,Placenta_28,Placenta_12,Placenta_21,Placenta_17,Placenta_18,Placenta_24,Placenta_20
Fkbp9,0,0,0,0,0,0,0,0,0,0,0,0,0.988828244684797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flt1,1.66735831878462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751286392930883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fos,0,0.341931421021821,0.91716405748122,0,0.653146167251944,0,0,0,0,0,0,0.931447457907007,0.912154949607659,0.294950588716816,0,0,1.37195006504949,0,0,0,1.29059296018266,0,0,0,1.26415608382961,0,1.59610577597863,0,0
Foxo4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94542535069049,0,0,0
Fst,0,0,0,0,0,0,0,0,0,0,0,0,1.15596354338539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fstl1,0,0,0,0,0,0,0,0,0,0,0,1.28174097850446,0,1.69684301497706,0.682327712951164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fthl17a,0,0,0,0,0,0,1.17423991257851,0,0,0.772092448308471,0,0,0,0,0,0,0,1.05806895651062,0,0,0,0,0,0,0,0,0,0,0
Ftl1-ps1,0,1.1581093372174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd3,0,0,0,0,0,0.99412945861283,0,0,0,0,0,0,1.01614576911702,0,0,1.57876851006123,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd5,0,0.984842989176367,0,0,0.611628954980551,0,0,0.953103320957484,0,0,0,0,0,0,0,0,1.31824109284066,0,0,0,1.16546149348791,1.0416301751198,0,0,1.5385584687725,0,1.62224719397543,0,0
G0s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,0,0,0,0,0,0,0,0.280738720201665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,0,0,0,0.725098539864419,0,0,0,0.783602719115273,0.849527832985382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0283481881402,0,0,0,0,0,0,0,0,0,0,0,0
Gkn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gkn2,0,0,0,0,0,0,0,0,0,0,0,0,1.95305847000809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glipr1,0,0,0,0,0,0,0,0.500103237444746,0,0,0,0,1.60645028685768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glrx5,0,0,0,0,0,0,1.11397224153931,0,0.778763476002662,1.25416734673995,1.30266102089844,0,0,0,0,0,0,1.16026050390642,0.580569958693093,0,0,0,0,0,0,0,0,0,0
Gm5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9112,0,0,0,0,0,0,0,0,0,0.450141913996221,0.744328546669005,0,0,0,0,0,0,0.975733495085765,0,0,0,0,0,0,0,0,0,0,0
Gng11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742290744026102,0,0,0,0,0,0,0,0.373224312972288,1.31372918723794,0,0,0,0,0
Gngt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpnmb,0,0.681800556365746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx3,0,0,0,0,0,0,0,0,0,0,0,1.15854374031131,1.84379489837339,0,4.73916345394074,2.38479268152162,0,0,2.85865885344168,0,0,0,0,1.02738430338725,0,0,0,0,1.55392717272478
Grina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908512829972024,0,0,0,0
Grn,0,1.33524678821347,1.42488913841791,0,0.58945624643967,0,0,0,0,0,0,0,0,0,0,0.445515607849246,0,0,0,0,0,0,0,0,0,0,0,0,0
Gzmc,0,0,0,0,0,0,0,4.60782080222901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gzmd,0,0,0,0,0,0,0,5.21513111741399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41800911127427
Gzme,0,0,0,0,0,0,0,4.43326582478647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gzmf,0,0,0,0,0,0,0,5.6264923235549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792011433544142,0,0,0,0,0,0,1.57419484121122
Gzmg,0,0,0,0,0,0,0,5.14678480217853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H19,0,0,0,0,0,1.23072628686506,2.3966711539113,0,0,1.71404848587146,1.78732376893419,2.31433068105061,0,2.4685100594249,0,0,0,2.20274218878546,2.16054418377238,0,0,0,0,2.99703861128212,0,0,0,0,0
H2-Aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924337669136398,0,0,0,3.52208471031129,0,0,0,0,0,0,2.26035531617925,1.41800911127427
H2-Ab1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29766300440747,0,0,0,3.49337397561573,0,0,0,0,0,0,1.96208342206852,1.54575647662029
H2-D1,0,1.42857460796764,1.12469117684742,0,0,0,0,0.465190164913018,0,0,0,0,0,0,1.68903272540708,1.17823587268884,1.51908882814268,0,0,0,1.32163952023817,1.32126052931426,0,0,0,0,1.2600326451898,0,0
H2-DMa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35672920891578,0,0,0,0,0,0,0,0
H2-DMb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31148763344723,0,0,0,0,0,0,0,0
H2-Eb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90373890101547,0,0,0,0,0,0,2.05541216896375,0
