,Fetal_Brain_12,Fetal_Brain_4,Fetal_Brain_18,Fetal_Brain_16,Fetal_Brain_17,Fetal_Brain_15,Fetal_Brain_5,Fetal_Brain_13,Fetal_Brain_8,Fetal_Brain_9,Fetal_Brain_14,Fetal_Brain_1,Fetal_Brain_10,unassigned,Fetal_Brain_2,Fetal_Brain_3,Fetal_Brain_6,Fetal_Brain_7,Fetal_Brain_11
Nrep,0,0,0,0.935841205727188,0.653124767144246,0,0.582655594871969,0.87329111475471,0,1.26487925954437,0,1.15537469688222,1.07259290591381,0,1.1311907631394,1.2839514634964,0,0.776796919449739,1.14603268269899
Nsfl1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nsg1,0,0,0,0,0,0,0,0,0,0.613112691580913,0,0,0,0,0.929402677060765,0.850255352581313,0,0,0.724536583671737
Nsg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94733125760611,0.864826127790412,0,0,0.809982822997798
Nudc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nxf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ostc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otub1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pafah1b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pafah1b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827559542123539,0,0,0,0.760343732162736
Paip2,0,0,0,0.870521535949175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantr1,0,1.05528423567565,0,0.693939155456228,0,0,1.01459242625259,0,1.14142101107862,0,0,0,0,0,0,0,0.83681848434413,0.924570025544281,0.610106670263141
Pax6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pbk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pclaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
