,Lung_18,Lung_12,Lung_1,Lung_3,Lung_28,Lung_31,unassigned,Lung_2,Lung_14,Lung_11,Lung_19,Lung_8,Lung_6,Lung_5,Lung_24,Lung_17,Lung_10,Lung_22,Lung_25,Lung_9,Lung_16,Lung_32,Lung_7,Lung_20,Lung_15,Lung_29,Lung_26,Lung_21,Lung_4,Lung_30,Lung_23,Lung_13,Lung_27
Tmsb10,0.549000966120751,0,0,1.53860480864865,0.670894868445351,1.26773841415623,1.43171735309564,1.55467219292482,0,1.49747726861705,0,0,2.18059272454745,2.29293011450006,2.40789813703316,1.27045816447672,1.27672161220911,2.39433134832703,1.12337070602576,2.15202278078789,2.13013017647252,1.78405747240594,1.13469951704807,1.19681208511891,1.51773724745207,1.39288785117968,1.72862227718399,0,2.418071456906,0.596951255986573,1.22340468163758,1.64598666891006,0.765358765896891
Tppp3,1.80858192390378,0,0,0,0,0,0,0,0.925164955891768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06457757880851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trbc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trbc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42570671258169,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27810313901275,0,0,0,0
Trem1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41311412972032,0,0,0,0,0,0,0,0,0,0
Trf,0,0.754220094285226,0,0.474982606409045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399673946213593,0,0,0,0,0,0,0,0,0.565702666381657,0,0,0,0,0,0
Tsc22d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tspan13,0,0,0,0,0,0,0,0,0,0,1.46821254326302,0,0,0,0,0,0,0,0,0,0,0,0,0.258627615595428,0,0,0,0,0,0,0,0,0
Tspan7,0,0,0,0,0,0,0,0,0,0,0.901912893154159,0,0,0,0,1.39860288958082,0,0,0,0,0,0,0,1.22014657372475,0,0,0,0,0,0,0,0,0
