,unassigned,Neonatal-Skin_5,Neonatal-Skin_1,Neonatal-Skin_3,Neonatal-Skin_18,Neonatal-Skin_12,Neonatal-Skin_19,Neonatal-Skin_22,Neonatal-Skin_11,Neonatal-Skin_4,Neonatal-Skin_7,Neonatal-Skin_23,Neonatal-Skin_10,Neonatal-Skin_16,Neonatal-Skin_2,Neonatal-Skin_9,Neonatal-Skin_13,Neonatal-Skin_6,Neonatal-Skin_17,Neonatal-Skin_20,Neonatal-Skin_8,Neonatal-Skin_21,Neonatal-Skin_24,Neonatal-Skin_14,Neonatal-Skin_15
Rpl19,1.3410703906139,1.22353952150748,1.40125187441868,1.11842119270445,1.14194616253265,1.48564737798969,1.02979187117645,0.776297711751012,0.995588280786998,1.27647634179039,1.30613241230227,1.48965203439251,1.53065888845623,1.57434649030222,1.33147142072332,0.963886722942715,0.887980559652672,1.29107147624257,1.47212267490612,1.79762961982478,1.24602727306499,1.88165512337972,0.627614932482954,1.2963840890314,1.33840566482199
Rpl22,0.808103778327294,0.851668132737404,1.20738598631728,0.895355177727855,0.808335492183287,1.36234435577884,0.782769121799175,0.776297711751012,0.962555810297015,1.1848805078727,1.02346128882366,1.00306221576099,1.20525438039164,1.04767778601659,1.29077011247208,1.07762793338408,1.02346070889361,0,1.15260394976243,1.47453447388003,1.07746837543956,1.233602367711,0,1.01522271809571,1.25755340591165
Rpl22l1,0,0.490528170242384,0,0.810312657573167,0.617291692542407,1.1691969351292,0.760848104447805,0,0,1.02573056389169,0.865411631364714,0.928683820776095,0.95924513909438,0.401177448995301,0,0,0.880730512961458,0,0,0.976692591911422,0.781710980054274,0,0,0.366433960298374,0
Rpl27,1.0291550841413,0.961731566643198,1.22363104359641,1.09602581330747,0.82297309898309,1.45631563024171,0.906362854776077,0.668627136389813,0.901694001419021,1.17019555897801,1.10818033196292,0.854646673780636,1.25407151138505,0.953610736154055,1.14528110506682,1.03568908159304,0.880730512961458,0,1.00440848252194,1.48419720333341,1.14913921796936,1.20419155923265,0,0.72675507795081,1.251761602717
Rpl27a,1.18232092915337,1.33168380277943,1.29477602649783,0.938921173941129,1.32330070652686,1.42136642142063,1.12420234394642,1.15276821280299,0.717283815800546,1.25291542631125,1.18900049770183,1.1848576144021,1.10436624044988,1.0107596157245,1.40051907584748,0.952368978874877,0.970598959624148,0,0.935774648344722,1.05917608995431,1.1229488328399,1.3767774041418,0,1.09570126815622,1.25291542631125
Rpl28,1.38387983588678,1.16817509273918,1.40566857727236,1.01264691234287,0.885736699116953,1.45631563024171,0.43143135774819,1.0213587473121,0.933585277976516,1.36626938305858,1.25349573384145,0.98376926641188,1.30131384486207,1.35935952688603,1.47041672168899,1.30982388347868,0.967902461489409,1.48731462570695,1.07996314879961,1.55511584203542,1.22260029802988,1.05061215688046,1.19603648065121,1.19789991419523,1.45631563024171
Rpl29,0,0.421061264188393,0.989920222699367,0.72231219115117,0.764551782663402,1.21490984556443,0.928622778546057,0,0.795117587430907,0.948163249100243,1.02649478466434,0.895276811202008,0.876055711694655,1.12918440042394,1.02686957600936,0,0.708324511310247,0,0,0,1.04981806939946,0.932339515745204,0,0.799749547547158,1.33840566482199
Rpl3,1.39686496701535,0.816970677081066,1.54471936287856,1.26517576955355,0.910489257798411,2.03224588835213,1.26575830480048,0.297193746468345,1.29107147624257,1.4823250382056,1.55568178732346,1.38413955342209,1.36418840789171,1.51533985762222,1.43667712271637,1.66051326927093,1.32655329967874,1.44996700604919,1.7439536072926,1.48877939462136,1.77067961158755,1.88165512337972,0,1.42974297820748,1.88165512337972
Rpl36a,1.36975286663427,0.85201486721992,1.48177288378616,1.06476416617054,0.995588280786998,1.64265971043315,0.927390667450465,1.00281687567568,0.995588280786998,1.48315410865834,1.19871874606681,1.46926569486916,1.3831660481174,1.4500862794005,1.55799085911474,1.23248594283362,0.927390667450465,1.18951735763557,1.29102939949363,1.06997455314116,1.50429009707325,1.89728088192564,0,1.2627894246415,1.72790466101415
Rpl36al,0,0,0,0.488465489439715,0,0,0,0,0,0,0,0.238520966121365,0,0,0,0,0,0,0,0,0,0.941132810293715,0,0,0
Rpl39,1.48398418745347,1.12283870543355,1.89346571467134,1.2469819327718,1.23621571797309,1.92128328108069,1.66051326927093,1.24976580264849,1.62017486161487,1.80428332698499,1.42592174488941,1.79419683563977,1.77868105224181,1.263700249546,1.92502776644862,1.45631563024171,1.29477602649783,1.40566857727236,1.51423257779831,1.40477483282607,1.86817590825705,1.91466858355224,0,1.56967686582718,1.85443468658415
Rpl5,0.754756204190978,0.512451720124345,1.1269654010213,0.67067786461798,0,1.20525438039164,0,0,0.569713786229517,1.04902020242619,0.801226381370925,1.18316961928702,0.743256922983605,0.401177448995301,1.10883684433702,0.737832741394083,0.641483259155821,0,0.871453089428799,0.26838151741179,1.00198381078894,0.932339515745204,0.465238653906827,0.869936883063015,0.987811947742726
Rpl6,1.36557496773627,0.790518969945358,1.46919545217553,1.10994011305148,0.871973147976019,1.57622904721541,1.25291542631125,0.939178766688786,0.950099564033501,1.40788820351543,1.45314131814545,1.43370039640552,1.3200651189791,1.33534626780202,1.5809828964975,1.37395831853668,1.28984164177258,1.21167321758702,1.54444429179483,1.07446844188431,1.40720795252797,1.41759460954561,0.380015022330869,1.21817409022882,1.58768992396299
Rpl7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl9,1.07678793698378,1.31279227824553,1.33179317731814,1.41011709279972,0.862862865354962,1.45472283403175,0.928622778546057,0.756207294559333,0.950099564033501,1.23696454763648,1.32662052500165,0.947976770125202,1.32265223310767,1.39833055231525,1.46111869504807,1.07594930918514,0.967902461489409,0,1.2677292973784,1.34067543406571,1.36219869851518,1.89728088192564,0,0.863979191536377,1.33840566482199
Rps10,0.452796357751077,0.596064562384793,1.1978560112244,0.782993646890642,0,1.41272342286961,0.617024391864297,0,0.579188920280335,0.849815761507912,0.947204816562786,0.950362256837793,1.06928914100654,0,1.3083550351711,1.05141002696586,0.766625370393984,0,0.668858640666879,1.08092460143482,1.22260029802988,1.07427614547151,0,0.742782405861995,1.12788959308882
Rps18,1.47572853930482,1.34185054680028,1.91907258263106,1.56494883087658,1.07427614547151,2.4096037240922,1.48898594658638,1.21945592412687,1.29107147624257,1.92423995752733,1.59788944649748,1.73168664654849,1.76883023988417,1.43130386381089,2.11339503788848,1.58640745667621,1.29477602649783,1.20313071815067,1.53809074757243,2.09038660974386,1.90015875435291,1.50592675971746,0,1.3635056786557,2.04920363281975
Rps25,1.35456643635527,1.06909447282189,1.47572853930482,1.22034923879314,1.32330070652686,1.65839056381545,1.35867225353602,1.00281687567568,1.05541843142237,1.43899986360171,1.41083034793479,1.49676599523499,1.5330323847805,1.25750033972,1.59269062121548,1.47572853930482,0.952044089309081,1.21167321758702,1.3683953217935,1.46154536683509,1.43375971547077,1.21599279259524,0,1.21980158228711,2.00577919279676
Rps27l,0,1.13013312632503,0,0.917955314147152,0.888261866950254,0,0,0.707167997719188,0,0,0,0.556875401728065,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps28,1.2380895979146,1.16721498341346,1.45154853622411,1.08824498148878,1.23621571797309,1.69087737410063,1.02270641399231,0.885147607126535,1.06708819600849,1.44524472057613,1.46031850565142,1.52509689477079,1.35593208185167,0,1.56355434625268,1.15152381127514,0.952044089309081,0,1.38757629313202,1.34505281077149,1.36180822234812,2.06824189202375,0,1.05927074862523,1.58768992396299
