,Bone_Marrow_Mesenchyme_9,Bone_Marrow_Mesenchyme_5,Bone_Marrow_Mesenchyme_1,Bone_Marrow_Mesenchyme_4,Bone_Marrow_Mesenchyme_6,Bone_Marrow_Mesenchyme_18,Bone_Marrow_Mesenchyme_15,Bone_Marrow_Mesenchyme_10,Bone_Marrow_Mesenchyme_14,Bone_Marrow_Mesenchyme_7,Bone_Marrow_Mesenchyme_2,Bone_Marrow_Mesenchyme_11,Bone_Marrow_Mesenchyme_19,Bone_Marrow_Mesenchyme_13,Bone_Marrow_Mesenchyme_12,Bone_Marrow_Mesenchyme_8,Bone_Marrow_Mesenchyme_17,Bone_Marrow_Mesenchyme_3,Bone_Marrow_Mesenchyme_16,unassigned
Col11a2,0,1.24492348144622,0,0,0,0,0,2.00941638453767,0,0,1.45623582763831,0,0,0,0,1.40032454330089,0,0,1.69728085582796,0
Col1a1,2.31031801226913,5.34764407747779,1.61740784905949,2.39973088176587,3.06731449997815,2.12823014610455,3.19049520287497,1.72800561076181,3.05741674709793,2.4965978872875,5.72801180948036,2.64792331328744,1.72924129623456,2.9110492041324,2.43357071401597,5.50165095742134,2.97138379041522,1.83933961344175,1.86903542197881,3.37507939732926
Col1a2,2.64336471510692,5.44557961780222,1.78463039933663,2.79167911551744,3.16328103324479,2.42597900942031,3.45863338963653,2.29964648620316,3.6534091059104,2.73582659371062,6.02940766074246,2.7469933184467,2.19379986463192,3.18325144715605,2.62790319668127,5.75347964745733,2.9442334085482,1.96259777777997,2.19310910803553,3.37507939732926
Col22a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col2a1,0,0,0,0,0,0,0,4.91035880635165,0,0,0,0,0,0,0,0,0,0,4.83767409595297,0
Col3a1,0,0,0,0,0,0,0,0,2.33873675326283,0,0,0,0,0,0,0,0,0,0,0
Col4a1,0,0,0,0,0,0,0,0,0,0,0,1.36245463729191,0,0,0,0,0,0,0,0
Col4a2,0,0,0,0,0,0,0,0,0,0,0,1.33618233070638,0,0,0,0,0,0,0,0
Col5a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col5a2,0,1.67539874689905,0,0,0,0,0,0,0.309520158837217,0,1.9581343076987,0,0,0,0,1.83024198658208,0,0,0,0
Col6a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807472819321496,0
Col9a1,0,0,0,0,0,0,0,2.59698064134025,0,0,0,0,0,0,0,0,0,0,2.43089111959102,0
Col9a2,0,0,0,0,0,0,0,2.73656751890795,0,0,0,0,0,0,0,0,0,0,2.55440667091307,0
Col9a3,0,0,0,0,0,0,0,2.4486735165898,0,0,0,0,0,0,0,0,0,0,2.31262793506415,0
Comp,0,0,0,0,0,0,0,2.62167976914607,0,0,0,0,0,0,0,0,0,0,2.92256330991243,0
Copz2,0,1.35714675775199,0,0,0,0,0,0.813620398377543,0,0,0.964452548943911,0,0,0,0,1.02781092049066,0,0,0,0
Coro1a,0.397200286435586,0,0,0,0,0,0,0,0,0,0,0,0.762758782869593,0,0,0,0,0,0,0
Cotl1,0,0,0,0,0,0,0,0,0,0,0,0,0.635756360610585,0,0,0,0,0,0,0
Cox17,0,0,0.806806009760744,1.10589356911356,0,0.285286192423989,0,0,0,0,0,0,0,0,0,0,0,0.969403308756971,0,0
Cox5a,1.09520489344675,0,1.45037767928257,1.24969302241604,0,1.36567596170642,0.264988239273271,0.783483881227996,0,1.28461205766031,0,0.76950699911268,1.35237640236441,0,0,0.47635453027922,1.35320536798588,1.22491463016463,0.830386204313322,0
Cox6b2,0,0,0.816031885584799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox7b,1.09699643957436,0.845988924973963,1.68320850677847,1.43211578959218,0.776665410380678,1.3164023751975,1.21673164864936,1.08263646868377,1.24923606531423,1.22869517963482,1.07012238579357,1.25676484905205,1.35101676423664,1.14457767716535,0.773189849189911,1.0503079309492,1.43830639000255,1.57916780248285,1.06299417488718,0
Cpa3,3.01358892512547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpe,0,1.8646007363555,0,0,0,0,0,0.967647516635534,0,0,1.74555350397236,0,0,0,0,1.79268321675696,0,0,2.10784948375714,0
Cpz,0,0,0,0,0,0,0,0,0,0,1.04775763180738,0,0,0,0,1.11162065499899,0,0,0,0
Creb3l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creg1,0,0,0.93661949149035,0,0,0.824677231679589,0,0,0,0,0,0,0,0,0,0,0,0.771222563182053,0,0
Crip1,1.71969083053385,0,0.549246059345528,0,0,0.129647475760254,0,0.314121085268676,2.69622418650157,1.59522071615279,0,0,0,0,0,0,3.23967027920479,0,0,0
Crip2,0,0,0,0,0,0,0,0,0,0,0,1.13427064115163,0,0,0,0,0,0,0,0
Cryab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst3,1.36630091371913,2.06693974143137,0.397419832579896,0.468660569269099,1.11047026551992,0.571011992949447,1.61294321760339,1.82126894469376,1.8444164951944,0.883324026812262,2.23416866011276,1.28893720309789,1.07925861587101,1.01479645640312,1.25023752006556,2.31717410943133,1.97875456173136,0,3.38860409488304,1.56346539171582
Cthrc1,0,1.71418154951062,0,0,0,0,0,0,0,0,1.53020831670036,0,0,0,0,1.53794454391702,0,0,0,0
Ctla2a,0,0,0,0,0,1.56950079864769,0,0,0,0,0,0.825470562659825,0,0,0,0,0,0,0,0
Ctsb,0,0,0,0,0,0,0,0,1.1736572493563,0,0,1.03818319855424,0.770424789497161,1.19156871408348,0,0,0,0,0.627262739998111,0
Ctse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13697392968288,0,0
Ctsg,1.98204575051046,0,0,0,0,0,0,0,0,0,0,0,3.22916675716624,0,0,0,0,0,0,0
Ctsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsl,0,0,0,0,0,0,0,0,1.23549192019938,0,0.391300149364813,0,0,2.22785475154842,0,0.835130183117836,0,0,0,0
Cxcl12,0,0,0,0,0,0,3.80600111189703,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyba,0.416946368986026,0,0,0,0.36797980170242,0.676102036357076,0,0,0,0,0,0,1.08475700060524,0,0.216581234154881,0,0,0,0,0
Cycs,0,0,0.633531481952625,1.25264923905082,0,0,0,0,0,0,0,0,0.737511756608661,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0,0,0,1.5983948065525,0,0,0,0,0,0,0,1.83250683962656,0,0,1.41586713912106,0
Dap,0,0,0,0,0,0,0,0.923571622219951,0,0,0.783859867692902,0,0,0,0,0.932008405005978,0,0,0.811351055142743,0
Dcn,0,3.28868324512695,0,0.545947396659974,0.566505348272971,0.257759041543847,0.847516413808359,0,3.9411353329753,0,3.43181319681911,0,0,0,0,3.35440209897219,0.178654268226588,0,0.869966696774145,0
Ddx39,0,0,0.724165790984279,0.902676692429107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756130122571908,0,0
Dnajb1,0,0,0,0,0,0,0,0.60062298364361,0,0,0,0,0,0,0,0.459601124026022,0,0,0.980793139944038,0
