,Trophoblast-Stem-Cell_4,Trophoblast-Stem-Cell_2,unassigned,Trophoblast-Stem-Cell_1,Trophoblast-Stem-Cell_3,Trophoblast-Stem-Cell_5
Cfl1,1.60840086466825,1.55147060878403,1.44442982758157,1.44154051310185,2.12254578485108,1.1114269780797
Chchd10,0,0,0,0,0,0
Chchd2,1.67955613762849,1.41562947862975,1.2120916043306,1.24014383643791,1.2499412740532,0
Cks1b,0,0.707386049384589,0,0,0,0
Cks2,0,0.121505834631625,0,0,0,0
Cldn3,0,0.513021990762233,0,0,0,1.00033844250059
Cldn4,0.459824969311566,0,0,0,0,0
Cldn6,0,0,0,0,0,0
Clic1,0.619125493009529,0,0,0,1.19922208055066,1.00033844250059
Clta,0.873304507802812,1.05054779915455,0.851255106110768,0.845645042727912,0.576706627800957,0
Cnbp,0.760577768763398,0.840913251048996,0.991320824927861,1.04090192085586,0.731494521643299,1.07192137739718
Coa3,0.418720021667444,0,0,0,0,0
Cops9,0.404190258956464,0.377102412759938,0,0,0.340475198377347,0
Cox5a,1.33944223410179,1.1692971270106,1.2120916043306,1.21134621553003,1.00864320011245,1.1114269780797
Cox5b,0.883729840637187,0.572022069944681,0,0,0.402164871408564,0
Cox6a1,1.43139054134075,1.27509032162374,1.07938987882379,1.12369075629677,1.18472767521237,1.00033844250059
Cox6b1,1.67560015975083,1.35672052752717,1.11752376559829,1.14734457830351,1.27671307337251,1.39761952750672
Cox6c,1.4951593396416,1.76701544306372,1.44397837582527,1.46191966325748,1.33664326510799,1.85065060840883
Cox7a2,1.25239491020767,1.29167954566371,1.25081738974984,1.17836361568223,1.08861427209137,1.37379046520457
Cox7a2l,0,0.291487698847336,0,0,0,0
Cox7b,1.31392621731352,1.16102371396595,0,0.979111560934514,1.12353175386883,1.2037110864002
Cox7c,0.89966223555852,1.0168335838869,0,0,0.895574474319641,0
Cox8a,0.93390035637511,0.902775523014424,0,0,0.808528818916742,1.00033844250059
Crip2,0.402176219497315,0,0,0,0,0
Csnk2b,0.48551616084113,0.373742411823144,0,0,0,0
Cst3,0.404124685169773,0.302136706175444,0,0,0.386441229347827,0
Ctsb,0.205871421449697,0,0,0,0,0
Ctsd,0,0,0,0,0,0
Ctsl,0.96825215087775,0.560812539283499,0,0.390739314406061,1.09272290468019,0
Cuta,0,0,0,0,0,0
Cyb5a,0,0.383372897884768,0,0,0,0
Cyc1,0,0.404927417963618,0,0,0,0
D8Ertd738e,0.429503419008972,0,0,0,0,0
Dad1,0.709610356819718,0.468859041086837,0,0,0.592516135571379,0
Dbi,1.21541852147984,0.705738799757362,0,0,0.617881496545422,0
Dctpp1,0,0.74084801393316,0,0.613592494938631,0,1.22277920628509
Dcxr,0,0,0,0,0,0
Ddx39,0,0,0,0,0,0
Ddx5,0.79360530003753,0.639967194594336,0,0,0.749221207703149,0
Dut,0,0.661795240239602,0,0,0,0
Dynll1,1.08111171248605,1.2154978923355,1.2855447125043,1.24486314498249,1.28452410408497,1.21260534898698
Dynlrb1,0.642525012221155,0.425238793417978,0,0,0.65435152828037,1.00033844250059
Edf1,0.429503419008972,0,0,0,0.402100604339503,0
Eef1a1,1.4558174664012,1.51938185322121,1.4663248480555,1.43028277367871,1.46576199932434,1.37379046520457
Eef1b2,1.47821046204451,1.70360079429902,1.37198893187363,1.34241373408252,1.66621685298758,1.73169806241448
Eef1d,0.418720021667444,0.497632906151862,0,0,0.439394100743393,0
Eef1g,0.920685908033146,1.09287335294663,1.07196803437281,1.08416886253016,0.978039159956472,0
Eef2,0.80224511145812,0.884894613245317,1.28808592087925,1.1576609063795,0.801480757515751,1.2037110864002
Eif1,1.79735343705706,1.66873099159836,1.51877840172365,1.64680153942849,1.52948565715683,2.09400967325363
Eif1a,0.404124685169773,0,0,0,0,0
Eif2s1,0.423617587189655,0.33341852142331,0,0,0,0
Eif2s2,1.23799882216168,1.36363744147248,1.19116679936788,1.23662918618429,0.918485755688423,1.2037110864002
Eif3d,0.382366239954619,0,0,0,0,0
Eif3f,0,0,0,0,0,0
Eif3g,0.508773632483343,0.301993517745508,0,0,0,0
Eif3h,0.532574040750937,0.575982914811062,0,0,0.430363175568907,0
Eif3i,0.461360062714442,0.527063938694067,0,0,0,0
Eif3k,0.611785816172875,0.897662316677386,0.889807078148767,1.06590546648783,0.740852723092916,0
Eif3l,0,0,0,0,0,0
Eif3m,0.453894284866856,0.457587971128158,0,0,0,0
Eif4a1,0.779134844692044,0.662113356977134,0,0.741452483776931,0.493020689066902,1.10126705672415
Eif4a3,0.698758951557354,0.720755279559908,0,0.469338347461321,0.339133049108884,1.37379046520457
Eif4ebp1,0.438962515154408,0.864580877565386,0,0,0.647997394658351,0
Eif4g2,0,0,0,0,0,1.00033844250059
Eif5,0.170107803639288,0,0,0,0,0
Eif5a,1.19952250308295,1.44879749119289,1.37819336328386,1.32188532359321,1.43679987365162,1.1114269780797
Eif6,0,0,0,0,0,0
Elob,1.21957626840146,1.01955323215483,1.13640507259555,1.15411619250065,1.1641344329841,0
Elof1,0,0,0,0,0,0
Emc6,0,0,0,0,0,1.00033844250059
Emp3,0,0,0,0,0.629811555314824,0
Eno1,0.281081249023725,0.391456759954151,0,0,0.753983514053499,0
Erh,0,0,0,0,0,0
Esd,0.438962515154408,0,0,0,0.882386274507103,0
Ezr,0,0,0,0,0,0
Fabp3,1.41550464826661,0.781440684476193,0,1.07408734574194,0,1.21260534898698
Fabp5,0,0,0,0,0,0
Fau,1.31303763155203,1.41297054965484,1.50706745448794,1.52196263724302,1.33434990170981,1.58541373974749
Fbl,0,0,0,0,0,0
Fis1,0,0,0,0,0,0
Fkbp1a,0.825450244482886,0.610518303442863,0,0,0.933791849262847,0
Fkbp3,0.887958093397621,1.157152914436,0.991320824927861,1.13331963966537,0.66553600325751,1.07192137739718
Fkbp4,0,0,0,0,0,0
Gabarap,0.0900566678078231,0,0,0,0.603863523136867,0
Gabarapl1,0,0,0,0,0,0
Gabarapl2,0,0,0,0,0,0
Galk1,0.501779054085865,0.494685045182006,0,0,0,0
Gas5,0.670025465452786,0.714240547922599,0,0,0.568706304194238,0
Gdi2,0,0,0,0,0,0
Glrx3,0.597031684096203,0.468699710392842,0,0,0.475323134260248,0
Gm10039,0.443410157720789,0.589968019371676,0,0,0,0
Gm10736,0.170107803639288,0.468540488901437,0,0,0.482141536985085,0
Gm11942,0.530011908600347,0.659081342064822,0,0,0.413653212335311,1.10126705672415
Gm15459,0.967169411239898,1.06052328615618,1.1081748426947,1.17154985016493,0.836882450539097,0
Gm15772,0.975146921164008,1.08772213941254,0,0.519410771172592,0.646164884593741,0
Gm1673,0,0,0,0,0,1.1114269780797
Gm2000,0,0.352366821850669,0,0,0,1.10126705672415
Gm8730,0.825450244482886,0.932819484241916,0,0,0,1.00033844250059
Gm9794,0.397213080188413,0,0,0,0,0
Gm9843,0,0,0,0,0,0
Gnas,0.401859141974501,0,0,0,0.885572541473071,0
Gng2,0,0,0,0,0,0
Gng5,0.799670767518328,0.543731028611147,0,0,0.631847299860302,0
Gpi1,0,0,0,0,0,0
Gpx1,1.82974729337954,1.56825705035969,1.41374811724075,1.39610415820647,1.34235589618271,1.68008238663135
Gpx3,0,0,0,0,0,0
Gpx4,1.0071601934783,0.407254144623293,0,0,0.449463039193301,0
Gsto1,0.478649994706891,1.15842371727217,1.12471503590856,1.30332134613129,1.00373615941485,1.39761952750672
H2afz,0,0.671381690428658,0,0,0,0
H3f3b,1.55033070380697,1.52516417027975,1.41064520754691,1.37397327190438,1.24738628820713,1.68008238663135
Hat1,0.803107323074843,0.96547211239658,0,0.447249876320694,0,0
Higd1a,0.3968960026656,0,0,0,0,0
Hint1,0.933201513831963,0.941590877893141,1.22794825964219,1.23662918618429,1.18982820146781,1.1114269780797
Hmgn1,1.3373940404807,1.33790826912762,1.08418096803392,1.28975952323835,1.06060086416301,1.21260534898698
Hnrnpa2b1,0,0,0,0,0,0
