,unassigned,Testis_8,Testis_5,Testis_14,Testis_11,Testis_17,Testis_3,Testis_6,Testis_10,Testis_15,Testis_16,Testis_7,Testis_13,Testis_12,Testis_9,Testis_19,Testis_18,Testis_4,Testis_1,Testis_2
Fam71e1,1.02459326264282,0,1.7747318220883,2.3393017490917,0.501414977012441,1.31539030905226,0.717548165214911,1.99606745072594,1.40497027558331,0.871075195595788,1.27920985742323,1.42514792392566,1.05882744512674,1.19391141919418,1.22166865190609,1.03623580046199,0.944424860914393,0,1.22602072251229,1.44372754090247
Fam71f1,0,0,0.779691307339167,1.31887798783085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam71f2,0,0,0.624532784823131,1.03264912654218,0,0,0,0.82126685974841,1.02678636156546,0,0,0,0,0,0,0,0,0,0,0
Fam98c,0,0.941002361466209,0,0,0.864616556741753,0.616187734081473,0.548551152902066,0,0,0,0,0,0,0,0,0,0,0.812143041873073,0,0
Fbp1,0,1.43920967137248,0,0,1.34327165403111,0.97608617171893,0.96049030447353,0,0,0,0,0,0,0,0,0,0,0.996086170316891,0,0.642112559716896
Fhl5,0,0,0.967459560471749,0.730679693441702,0,0.750933300574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp1a,0,1.06815459157026,0,0,0.92226254224705,0.443456226406352,0.868684165505385,0,0,0,0,0,0,0,0.638462123140794,0,0,1.02172502129835,0,0
Fmn1,0,0,0.831733216204025,1.03684975834282,0,0,0,0.759258927580443,0,0,0,0,0,0,0,0,0,0,0,0
Fndc11,0,0,0,0,0.557913829683654,1.32284407094911,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01698136943104
Fth1,0,0,0,0,0,0,0.853301736359426,0,0,1.15684247116809,1.06140101928724,0,1.60318494040233,0,0,0.563772980288332,0,0,0,0
Fyb,0,0,0,0,0.380948567488389,1.08706356072735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885356842112442
Gabarapl1,0.674032284894744,0,1.77124604993803,2.48271707311323,0,0.882006637112279,0.624793055264941,1.93809480840623,1.26917818724154,0.96049030447353,1.04715346640353,1.35917839174931,0.980184427940911,0.923849742897917,1.07979079913971,1.08516814817255,1.03574517970084,0,0.929493274080986,0.997549378929652
Galntl5,0,0,0.530706610018535,1.21272078639198,0,0.723703186162391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gapdhs,0,0,1.13951096567284,1.57447073220383,0,0.869423263765736,0,1.44720911461423,2.01160504891705,0,0,0.627058958097295,0,0.765238213923219,0.825689173977414,0.778872229869968,1.05780129817698,0,0,0
Ggnbp1,1.62597173008373,2.2238051077112,1.05882744512674,0,2.13624328576005,1.57415482124583,1.78179434101333,1.06321214338309,1.29315595306869,1.33525725917326,1.32280915385804,1.42998702910686,1.3093996624003,1.59512784875039,1.34625037082972,1.30101617348772,1.76309954561466,1.94859653361769,1.64551477892473,1.52978575734383
Ggnbp2,0,1.17730955414825,0,0,1.07130202184847,0.913849073041658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gk2,0,1.40301583924184,0,0,1.44432280870051,1.03578613324569,0.636292036996323,0,0,0,0,0,0,0,0,0,0,0.865462402444861,0,0.62340690091026
Gkap1,0,1.9293936666568,0,0,1.7102751063586,1.07478830654578,1.03525504305896,0,0,0.843888852773462,0.280470756492919,0.83468706648973,0,1.15746104487137,0.628110399387938,0.851336558550774,1.32775849422102,1.29255101809089,1.0347653897919,0.790199202276642
Glrx2,0,0,0.347496033182556,0.824463698358196,0,0,0,0.510485748918183,0.753321251900079,0,0,0,0,0,0,0,0,0,0,0
Glrx3,0,1.12414017194153,0.684165530302747,0.829078609983738,1.07130202184847,0.804043464572232,0.871075195595788,0.70234751059049,0,0,0,0,0,0,0,0.584085575320254,0,0.804349650743265,0,0
Glul,0,0,0,1.21294848587224,0,0,0,0.601568639345547,0.717349997502868,0,0,0,0,0,0,0,0,0,0,0
Gm11213,0,0,0.591022270738587,0,0,0.796845717499486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676983091784016
Gm11837,1.95560335349282,2.53226929344308,1.48950296087784,0,2.47104807763794,2.17490276377885,2.1482810295414,1.39822590582319,1.4995241091336,1.65048174270166,1.84491477443792,2.12436304720468,1.71123463778168,2.11730906002218,1.81177944742509,1.66626322698485,1.97780098332967,2.45755769402387,2.00058812048687,2.15900737302422
Gm16541,0,0,0.683069250412252,0.798703565153615,0,0.897501659151799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880076184160755
Gm2762,0,1.17657778527318,0.306447113208804,0,0.983254173276579,0.701502367800859,0.92949323140405,0,0,0,0,0,0,0.774272613865077,0,0,0,1.1213984091333,0,0.69916574864586
Gm3448,0,1.31790394298814,0,0,1.31141260065848,0.932641959644242,0.869707235043802,0,0,0,0,0,0,0,0,0,0,0.983933249825949,0,0.681511367777284
Gm498,0,0,0,0.748302494509107,0,0,0,0,0.532254035797938,0,0,0,0,0,0,0,0,0,0,0
Gm6760,0,0,0.870903992803603,1.2876831196063,0,0,0,1.04691025441904,1.11511570641323,0,0,0,0,0,0,0,0,0,0,0
Gm9059,0,0,0.775958185787288,0.815988848230193,0,0.258465627265015,0,0.951153393701045,0,0,0,0,0,0,0,0,0,0,0,0
Gm9999,1.84236082559476,0,2.36107938106692,2.46399894775331,0.758602715642154,1.78416297157072,1.23252183842308,2.38789710806809,2.86028360358208,1.56573986340094,1.63894267373919,2.02927803747659,1.51863392584333,1.60256173837708,1.77031720782551,1.7907783216701,1.37504836293451,0.803903011211126,1.59806148844567,2.0167916557287
Gng5,0,0.743506555860059,0.899946780454603,0,0.958190433401039,1.08572280032621,1.22236274514929,0.710825570084306,0,1.01368816158637,1.01934733368018,1.15314559782646,1.19070513416101,1.09830553809493,1.28227727016177,1.04715346640353,0,1.12212492038032,1.01345383806314,1.31100945801971
Gpd2,0,0,0.731286193638966,1.43911573758077,0,0.884820097315969,0,0.823699933014535,0,0,0,0,0,0,0,0,0,0,0,0
Gsg1,2.08322165090768,0.699930880984894,2.57433973540785,3.11271298802269,1.20931611603022,1.85654882682087,1.48990089057764,3.02936649933445,3.40353592067116,1.94800872250592,2.09704489359952,2.37638584583301,1.95077115059182,2.14224224844638,2.16705304059481,2.07016457464299,2.30501989723328,1.1402500975284,2.18663834930416,2.09076950940024
Gstm1,0,0,0,0,0,0,0,0,0,0.567320120999758,0,0,2.68099017400263,0,0,0,0,0,0,0
Gstm2,0,0,0,0,0,0,0,0,0,0,0,0,1.45037194461853,0,0,0,0,0,0,0
Gstt4,0,0,1.05346440241571,1.71750069011445,0.627058958097295,1.38421475578356,0,1.18783231331136,0,0,0,0.879726448069453,0,0,0,0.641929030474048,0,0,0,1.05677748532816
Gtf2a1l,0,1.14010224149669,0,0,1.07130202184847,0.803171489067071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gtf2a2,0,0.908829327658366,0.548684703624965,0,0.995287339178586,1.12593655321834,0.86360577608393,0,0,0,0,0,0,0,0.536041497964866,0.670906002057637,0,0.871504644006609,0,0.98811990786826
Gtsf1l,0,0,1.20223417711176,0,0.418548610088747,1.3181808082676,0,0,0,0,0,0,0,0,0,0.601083083564269,0,0,0,1.26038666319044
Gykl1,0,0.995889530231694,0.68479148810698,0.344698639011398,1.19457256225815,1.18279242262923,0,0,0,0,0,0,0,0,0,0,0.671307683916686,0,0,0.708683873083695
H1fnt,0,0,1.66423026830009,2.45527078100324,0,1.02751618257457,0,1.69673168214878,0.921368769511909,0,0.607411175433265,1.02124837499743,0,0,0.769462665500243,0.932834767654238,0,0,0.622631397446669,0.692249919492685
H2afz,0,0.95683735025364,0,0,0.76655324677431,0,0.774810856024834,0,0,0,0,0,0,0,0,0,0,0,0,0
H2al2a,0,0,1.5813947651581,2.13067978727917,0,0,0,1.78892039968258,1.30699895433351,0,0.937594778546212,1.30022372729591,0.698723165555847,0,0.781604127462036,0.869024913099906,0,0,0,0
H3f3b,1.33358304288484,0.711054971837631,0.862771003071557,0,1.07077610410924,1.85941649627004,2.02346394684661,0.848244286974326,0,1.40895607807375,1.47312054216504,1.33191331340036,1.45246943739512,1.44970422637644,1.9990499781386,1.43682176386488,1.0303801401996,1.1449246649331,1.5416954085342,1.83457837759928
Hagh,0,1.3181541199721,0,0,1.27206255260041,0.914854296824451,0.894666511246939,0,0,0,0,0,0,0,0,0,0,1.13473300576033,0,0.790479689571784
Hdgfl1,0,1.06295265821193,0,0,1.05944371544211,0.104474200597804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hils1,1.23393726741442,0,2.30020735797323,2.18313525339108,0.676166344013582,1.87281252270922,0.796417436758235,1.37915914226637,0,1.12095861993744,1.16966409175977,1.23856085374935,1.10584357019261,1.39961535578007,1.17827255324938,1.28923658069058,0.848730761275919,0,1.41938816516813,1.74634456614685
Hint1,0,0.865461586753075,0.524828937518373,0,0.697206474028488,0.72044426320225,1.34199937893589,0,0,0.937794203646515,0.970233302776283,0.881829173397294,1.13727262747098,0.955901948974496,1.01698136943104,0.866306616764397,0,1.09997118684721,0.816288440589006,0.782977451360161
Hk1,0,0,0,1.12385943068956,0.340489508636005,0.69817979769656,0,0.802014223401017,1.05806075357123,0,0,0,0,0,0,0,0,0,0,0
Hmgb4,1.29883945354324,0,2.45887556914009,3.43243446685394,0,1.80155163859131,0.813600211069968,2.32293121967163,0.746828472694047,0.993935225809683,1.39132199418872,1.65147917990365,1.21616593991318,1.29235551872077,1.38132813516474,1.32637970842858,1.394074667655,0,1.42322217045136,1.60131746485266
Hook1,0,0,0,1.04415218651667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hrasls,0,1.02154689364075,0.585454610999218,0,0.995287339178586,0.800437631468546,0.555988082378168,0,0,0,0,0,0,0,0,0,0,0.745305602172269,0,0.69916574864586
Hsd3b1,0,0,0,0,0,0,0,0,0,0,0,0,1.08735297440107,0,0,0,0,0,0,0
Hsp90aa1,0.604555281888188,1.88767402409925,0,0,1.70955627245992,1.12665909419119,1.43486178480279,0.518207589546679,0,1.0702507259315,0.280470756492919,0,0.789999022865062,1.26187082508031,1.1198026923853,0.881127114490869,1.45170838077088,1.18052857019526,1.34497219077328,0.771059170114642
Hspa2,0,0.94564160202011,0,0,0.902703222494554,0.443101767373,0.622026978301928,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypm,0,0,0.672314587789773,0.896116729828422,0,0,0,0.812858959839588,0,0,0,0,0,0,0,0,0,0,0,0
Ift172,0,0,0.7794179223879,1.08032602360531,0,0,0,0.936602510526813,0.804478321221479,0,0,0,0,0,0,0,0,0,0,0
Ift43,0,0.903533579209183,0,0,1.06502643074675,0.914854296824451,0.685891754379217,0,0,0,0,0,0,0,0,0,0,0.740119063712763,0,0.856597863198622
Insl3,0,0,0,0,0,0,0,0,0,0,0,0,3.97050528682026,0,0,0,0,0,0,0
Insl6,0,1.18994553707956,0.52666374150134,0,1.09692152963949,0.852392582757589,0.9090162672181,0,0,0,0,0.82324195303385,0.758749281602026,0,0.610377664017839,0.641929030474048,0,1.27236687455628,0,0.959652664714295
Iqcf1,0,0,1.33149657984849,1.73378771937395,0,0.631299809468363,0,0.985030929004516,0,0,0,0,0,0,0,0,0,0,0,0
Iqcf3,0.723233624606809,0,1.77668770535709,2.5076422819838,0,1.27115382752939,0.300211551752846,1.88466071084084,1.91767367170929,0.78740550788423,0.896843660073708,1.29627689075782,0.918122639743325,0.948082674580102,1.0835490667014,0.947674802302034,1.19922231812396,0,1.04665200342216,1.11864926447832
Irgc1,0,0,1.66749419018758,1.92964097282186,0.650294839648875,1.36674255996059,0,1.41320358600542,1.61766202016799,0.561246725436796,1.09886016671398,1.0386961922234,0.809970633610188,0.985459687278532,0.967671937754221,1.03378753041232,1.00763071805899,0,0.984576455162891,1.09032882539288
Isca1,0,0.272219804238803,0.764451775611072,1.10052758031269,0.370323136031238,0.403374489960499,0,0.887666398274772,1.18747919407903,0,0,0,0,0,0,0,0,0,0,0
Izumo2,0,0,1.05219683809778,1.32610431867785,0,1.09637023382849,0,1.00016993247253,0,0,0,0,0,0,0,0,0,0,0,1.07925612923381
Kif2b,0,0,0.785824567518319,0,0.334599730726107,1.10936974825565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhl10,0,0,0,0.781604127462036,0.407639079972916,0.892478501562719,0,0,0.742888446711888,0,0,0,0,0,0,0,0,0,0,0
Klk1b8,0,0,1.20784704199325,1.75391605070073,0,0,0,1.46488320705475,0.882181213463113,0,0,1.06554646055366,0,0,0,0,0,0,0,0
Krt88,0,0,0,0,0.428923121884991,0.922332645655835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larp7,0,1.68169224475865,0,0,1.54207681437005,1.03233166103556,0.938792647665599,0,0,0,0,0,0,0.81929683302383,0.564761643646148,0.714112173906268,1.29079404160239,1.03525721825038,0.903441386685522,0
Lcn2,0,0,0,0,0,0,0,0,0,0,0,0,2.99539453057401,0,0,0,0,0,0,0
Ldha,1.13473104737123,1.43533498892395,1.0023351232997,0.308789938146782,1.23927545559689,1.06248871182329,1.50862831777231,0.90603425868372,0.781531096112773,1.24070728674945,1.17891553818343,1.25742944156082,1.11549085170055,1.38766990841788,1.05985515252362,1.12912082252466,1.36530310667852,1.58564035017558,1.39499483341494,1.2120382303999
