,unassigned,Uterus_19,Uterus_8,Uterus_5,Uterus_3,Uterus_7,Uterus_6,Uterus_11,Uterus_13,Uterus_9,Uterus_18,Uterus_12,Uterus_1,Uterus_16,Uterus_10,Uterus_17,Uterus_4,Uterus_14,Uterus_2,Uterus_15
Pfn1,0,0,1.64156487762255,1.02889551441581,0.795983280638735,0,1.36594012386353,1.21689790694452,0,1.88769792735663,0,1.4702057304672,0.748551299386734,1.50160830150001,1.18273505766693,0,0,0.88365381907957,0,0
Phlda1,0,0,1.9222640375889,0.836493870239941,0.736084909797552,0,0,0,0,0,0,0,0.848815682256359,0,0,0,0,0,0,0
Pim1,0,1.07769585296613,0.415892620313003,1.03631713474678,0.973258104397633,0,0,0,0.261851614385778,0,0,1.22715101457934,0,0,1.09039348245303,0,0,0,0,0
Pla2g7,0,0,0,0,0,0,0,0,0.235495240433372,0,0,0,0,0,0,0,0,0,0,0
Plac8,0,0,0,0,0,0,0,0,0,0,0,1.33876593962109,0,0,0,0,0,0,0,0
Plbd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04593786455231,0,0,0,0,0
Plek,0,0,0,0,0,0,0,0,0,0,0,0.889064917861338,0,0,0,0,0,0,0,0
Plin2,0,0,0,0,0,0,0.454105511912321,0,0,0,0,1.13318138073096,0,0,0,0,0,0,0,0
Plk2,0,0,0,0.525972496738722,0.508307885255934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plpp3,0,0,0,0.833494572581222,0.624818571158127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pltp,0,0,0,0,0,0,0.960684350710891,0,0,0,0,0,0,0,0,0,0,0,0,0
Plvap,0,0,0,0,0,1.34304356830171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,0,0.579520949084362,2.36250892589635,1.4440643679948,1.41729178211844,0,0.908486411773773,1.19161523855766,0,1.58499720396834,0.89088767510063,1.42360971346951,1.34147095501442,1.39894127694729,1.07318542121429,0,0,1.48158134560483,0,0
Prdx1,0,0.671827847363364,1.62305026265526,1.24823844601322,0.993049681343023,0,1.21560855795804,0.898727534474093,0,0,0.835039593752954,1.14911614302558,1.01659463516365,0.433615311100635,0,0.822464959952377,0,1.86798866512302,0,0
Prelp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prss23,0,0,0,2.08621526762622,1.72875470952382,0,0,1.24600665842009,0,0,0,0,1.5151228114057,0,0,0,0,0,1.39769787750471,0
Psap,0,0,0,0.619856608306534,0.648609076049347,0,1.7086809630056,0,0,0,0,2.30388703983668,0,0,1.61091774191418,0,0,0,0,0
Psma7,0,0.523200033178452,0.901860077512341,0,0,0,0,0,0,0,0.837757919046121,0,0,0,0,0,0,1.01123217243479,0,0
Psmb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptms,0.114095352788042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptpn18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptprb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptprc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rac2,0,0,0,0,0,0,0,0,0,1.03506168133763,0,0,0,0,0,0,0,0,0,0
Raly,0,0.657021074241734,0.653496169959688,1.5368366384736,1.71000894615515,0,0,1.47115542519411,0,0,0.835039593752954,0,1.64915672734564,0,0,0,0,0,0,0
Ramp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp2,0,0,0,0,1.15017576948154,0.768388345699813,0,0,0,0,0,0,1.10749401381778,0,0,0,0,0,0,0
Ramp3,0,0,0,0,1.35093313409988,0,0,1.03454891555941,0,0,0,0,1.46160729421833,0,0,0,0,0,0,0
Rarres2,0,0.439761142792078,0,0.776057938803239,0.798799765185484,0,0,0.962607315213396,0,0,2.00969248466202,0,0,0,0,0,0,0,1.41793078136514,0
Rbp1,0,0,0,0.416237595467706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825516710983361,1.55563823122822,0
Rbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rcn3,0,0.240682306710713,0,1.10543460267638,0.888242407385509,0,0,0.31049474521321,0,0,0,0,0.985632814112241,0,0,0,0,0,0,0
Retnlg,0,0,0,0,0,0,0,0,2.43597945762407,0,0,0,0,0,0,0,0,0,0,0
Rgcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs1,0,0,0,0,0,0,0,0,0,1.31743983506311,0,0,0,0,0.852838020430089,0,0,0,0,0
Rgs16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0,1.3536858134365,0,0,0,0,0,0,0,0,0,0
Rhob,0,0,0,0,0.443582271427707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rn7sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase4,0,0,0,0.928054126232324,1.22844069708952,0,0,1.09482452345518,0,0,0.835039593752954,0,1.13973769478209,0,0,0,1.67748354555554,0.196532344246248,1.72884670425862,0
Rpl15,0,0.671827847363364,1.50635552798671,1.34373649508757,1.39364937195615,0,0,1.55804422892593,0,1.33473540888452,0.788685957511816,0.759803455895893,1.3109291275408,0.433615311100635,0,0,0,0.825238898111495,0,0
Rpl35,1.41312454758323,1.361578841357,2.17650571205793,2.02060447504014,2.10519763425761,1.36921752583031,1.25589297972804,2.22129701938241,1.17160746601272,2.07204269458294,1.64915672734564,1.59428913127326,2.13944866891912,1.25734671045513,1.58949945126234,1.1693248588324,1.3637743912342,1.35453134692494,1.02192398341177,1.30696869938331
Rpl4,0,1.26980715985028,1.91611322924443,1.82847014225111,2.04944162498358,1.57977608128447,1.03737532081215,1.79406669534086,1.26918652381938,1.96434977513993,1.38019954449217,1.36884275484027,2.04677044073031,1.27257765929089,1.74120164689242,1.33938749313631,1.54281199396528,1.84929081880456,1.49703685352433,1.49902288428755
Rps27l,0.489926717490808,0.991379040359491,1.17683542532977,0.295121530667481,0.590077713222803,0,0,0.316311228080868,0,0,0,0,0,1.33962159883752,0,0,0.831187569514902,1.29330654101561,0,0
Rps6,0,0.741115189709871,1.62291873310533,1.498320412059,1.59100854671942,0,0,1.42832825579214,0,1.75832448076723,0,1.23125929783976,1.63887219392993,0,1.07973624666341,0,0,0.362333218117344,0,0
Rps6-ps4,0,0,0.911721462977887,0.848831411012106,0.955288603174547,0,0,0,0,1.05055528226146,0,0,0.92874231802249,0,0,0,0,0,0,0
Rsrp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a10,0,0,1.25498709155899,1.51852488389244,1.14468324373128,0,0,1.1759897751793,0,1.2568030461333,1.37467744407055,0,1.05214484940102,0,0,1.15775562547608,0,0.600137453795885,0,0
S100a11,0,0,1.59768617876477,1.37817054318102,1.05906199422385,0,0,1.14617430658042,1.32366774806626,1.16786038439396,0.978598562095473,0,1.00567243051062,0,1.0218549977648,1.7636636838004,0,1.2453999599989,0,0
S100a6,0,0.941539949477369,0.706010739211663,1.68860272049884,1.38316421620166,0,0,1.76176705161282,0,1.00410311380962,1.9173550848832,0.923713506958781,1.31491527552961,0,0,0,0,0,0,0
S100a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat1,0,0,1.16466804480558,0.487507340332285,0,0,0.981832143061829,0,0,0,0,1.3557832261937,0,0,0,0,0,0,0,0
Sdcbp,0,0,0.630652977091433,0.133362798245791,0,0,1.07776223086713,0,0,0,0,1.19948783777584,0,0,0,0,0,0,0,0
Sec62,0,0.240682306710713,0,0.628804488352283,0.711265566476099,0,0,0,0,0,0,0,0,0,0,0,0,0.772379631406665,0,0
Selenop,0,0,0,0,0,0,2.01533489575,0,0,0,0,0,0,0,0,2.10273256943006,0,0,1.48653893743996,0
Selp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selplg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serf2,0,0.245545336703552,0.956055575471495,1.27053231007687,1.33112245912477,0,0,1.55804422892593,0,1.08739214475796,0,0.799402601083573,1.24600395039122,0,0,0,0,0.480356531420002,0,0
Serinc3,0,0.410825205368761,0,0,0,0,0.926818722871361,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpine1,0,0,0,0.763609432637697,0.555309392949801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
