,unassigned,Muscle_9,Muscle_7,Muscle_2,Muscle_12,Muscle_3,Muscle_5,Muscle_1,Muscle_13,Muscle_4,Muscle_6,Muscle_8,Muscle_11,Muscle_15,Muscle_10,Muscle_14,Muscle_16,Muscle_17
Plac8,0,0,1.82181298247051,0,0,1.29506390873968,0,0,0,0,0,0,0,0,0,0.677763248993217,0,0
Plaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plbd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546489135173093,0,0
Plk3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plpp3,0,0,0,0,0,0,0,0,0,0,0,0,0.829103021493618,0,0,0,0,0
Pltp,0,0,0,0,1.6516418105546,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,0,1.77478833158102,1.55163298813164,0,0.882099701622205,1.51883430441721,1.7747185286735,0,1.17104531466989,0,0,0,0.799984773828982,0,0,0,0,0
Ppp1r27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36453700942893,0,0,0,0
Prdx2,0,1.47748183584505,0,0,0,0,0,2.70909892471663,0,0,0,0,0,0,0,0,0,0
Prdx5,0,0,1.38779472574996,1.77625635011753,0,1.20719902766737,0,0,0,1.58388604667605,0,0,0,0,0,0,0,0
Prelp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04421458558117
Prg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkcdbp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prss34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prtn3,0,0,2.5533056143646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psap,0,0,0,0,1.56234088297287,1.95103839029017,0,0,0,0,0,0,0.829103021493618,0,0,1.80622498538092,0,0
Ptma,0,1.82472208886193,1.60141171009053,0,0,1.39524652688703,2.78566157224517,0,1.70775495730296,0,0.758288442628834,0,0.918424704854205,0,1.44911758785941,0,0,0
Ptms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptp4a3,0,0,0,0,0,0,0,0,0,0,0,1.37885302132946,0,0,0,0,0,0
Ptprcap,0,0,0,0,0,0,1.40800710809637,0,0,0,0,0,0,0,0,0,1.13142926561179,0
Pvalb,0,0,0,0,0,0,0,0,0,0,0,3.70633482215601,0,0,0,0,0,0
Rac2,0,0,1.21602827390924,1.57393074999794,0,0.977841512751929,1.2321359768598,0,1.14149172479221,1.65464637792852,0,0,0,0,0,0.533237196147664,1.70335464374438,0.672605077972439
Ramp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rarres2,0,0,0,0,0,0,0,0,0,0,0,0,1.05181484706362,0,0,0,0,0
Retnla,0,0,0,0,5.9068335222345,0,0,0,0,0,0,0,0,0,0,0,0,0
Retnlg,0,0.312383121834198,0,1.3699919484387,0.659176458134462,0,0,0,0,5.37906523898334,0,0,0,0,0,1.07972633132076,1.48456460335994,1.69816982531788
Rhd,0,0.537744866682106,0,0,0,0,0,1.45818668127225,0,0,0,0,0,0,0,0,0,0
Rnase2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase4,0,0,0,0,0,0,0,0,0,0,0,0,1.38479310867942,0,0,0,0,0
Rpl10,0,2.11511187547957,1.60141171009053,0,1.02877834647189,1.97680200863068,1.46661276547483,0,1.65391256013768,0,2.14272288102447,0.749861792417175,2.07816238259122,1.34247106068532,0,2.26727806801775,1.75766906366781,0
