,Liver_15,Liver_16,unassigned,Liver_6,Liver_1,Liver_2,Liver_19,Liver_9,Liver_7,Liver_3,Liver_5,Liver_14,Liver_10,Liver_4,Liver_13,Liver_17,Liver_12,Liver_8,Liver_20,Liver_11,Liver_18
Litaf,0,0,0,1.04857803124845,0,0.699496006759986,0,0,0.8413483686127,0,0,0,0,0,0,0,0,0,0.870167064652612,0,0
Lmnb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13280104725226,0,0
Lpl,0,0,0,0,0,0.738617270358613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsp1,0,0,0,0,0,0,0,0,0,0.475023524290287,0,0,0,0,0,0,0,0,0,0,0
Ltbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95445532564046,0,0,0,1.07213428808454,0,0
Ly6e,1.41982273671149,1.20690335068089,1.38217261854358,1.2648147809093,1.13039909766764,1.92496830903971,1.55651003559864,0.467723232971366,1.37650798782042,1.39324133584891,1.35980934458707,1.03905976905644,1.33293381959988,1.42414325262793,2.02887574209781,2.00733470685325,1.41896202678299,0,0,2.3256303024853,0.957830995437279
Lyve1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0.699297882436017,0.552765906568317,1.93746396714123,1.84187081624644,1.31514419455325,2.62220983387489,0,0.91185104115253,3.92229081694116,1.2083202534931,1.16205892019257,1.31502852730457,1.24616689355282,2.13309158616758,1.43861202422081,0,1.37089302457182,0,3.56921057195247,0,1.45887572416491
Maf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746851814115918,0,0.957485527882239,0,1.33669357102469,0
Map1lc3b,0,0,0,0,0,0,0.344251358552082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcksl1,0,0,0,0.564105125976702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552767677145669
Marco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mat1a,0,1.22087415491998,0,0,0,0,0,1.74586759915417,0,0,0,0,0,0,0,0,0,1.40365945801975,0,0,0
Mcl1,0,0,0.537183062243536,0.738945501383379,0,1.04338104314389,0,0,0.949308251107203,0.75917670370987,0,0,0,0,0.436656041070226,0,0.889387480975026,0,0.390851927538461,0,0
Mgst1,0,2.33611592770856,0,0,0,0,1.28867962796584,1.12512274499308,0,0,0,0,0,0,0,1.23358216068723,0,1.33669357102469,0,1.3969718571325,0
Mif,0,0,0,0,0,0,0,0.620895655583081,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmrn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mndal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpc2,0,0.461621861038188,0,0,0,0,0,0.91799491248399,0,0,0,0,0,0,0,0,0,1.3903525090321,0,0,0
Mpeg1,0,0,0,0,0,0.905457450968299,0,0,0.924224970732041,0.691331264239055,0,0,0,0,1.2789775133892,0,0,0,0,0,0
Mrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
