,unassigned,Bladder_9,Bladder_4,Bladder_1,Bladder_12,Bladder_3,Bladder_5,Bladder_2,Bladder_7,Bladder_8,Bladder_13,Bladder_6,Bladder_11,Bladder_14,Bladder_10,Bladder_15,Bladder_16
Ftl1,2.34000955899554,3.20167576728548,3.24742681174329,2.06363131091518,2.4017796859618,3.1917462832785,2.357956919306,2.7743661669815,0,1.75957247685659,3.46573501676146,3.03666824655638,3.71386172052547,1.54597266504893,1.58094905709341,1.96023533219685,1.59946108739998
Fxyd1,0,0,0,1.33281405348267,0,0,1.00478194345348,1.52220356735078,1.7998558397047,0,0,0,0,0,0,0,1.74531161557202
Fxyd3,1.45300648530359,2.45888472431416,2.46938267841925,0,0,2.46024157608837,0,0,0,0,0,2.41579040111301,0,0,2.36648513923312,0,0
Fxyd5,0,0,0,0.786411217325565,1.39959361291048,0,0,1.06410918308434,0,1.49098968504005,1.59421724387555,0,0,1.44453287813412,0,0,0
Fxyd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fzd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,0,0,0,0,0,0,0.813030762108612,0,0,0,0,0,0,0,1.63911031521763
Gadd45g,0,0,0,0,0,0,1.5222572828148,1.3705426268201,1.67514804551085,1.43429161880416,0,0,0,0.378202762640598,0,0,0
Gas1,0,0,0,1.26468858563767,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas6,0,0,0,0,0,0,1.39436988455703,0,0,0,0,0,0,0,0,0,0
Gbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01088757703281
Gm23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32453536144699,0,0
Gm2a,0,0,0,0,1.78796824982489,0,0,0,0,0,0.516118254419227,0,0,0,0,0,0
Gm9843,0.704152877978555,1.68644858743049,1.55995451818941,0,1.93699383828226,1.49572880223983,0,0,0,0,1.28564627586407,1.00619955877445,0,0,0,1.37494001163467,0
Gngt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx3,0,0,0,0,0,0,1.48022674300449,0,0,0,0,0,0,0,0,0,0
Gpx7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grem2,0,0,0,0,0,0,0.340931752467384,0,0,0,0,0,0,0,0,0,0
Gsdmc2,0,1.05028035938358,0.873705944116948,0,0,1.83602352068158,0,0,0,0,0,0,0,0,0,0,0
Gsn,2.41804144205278,1.94765142801243,2.03787834717471,5.75391628118352,1.45953046906183,1.59356455142912,3.06621470516801,5.48258062412588,1.93411149632492,1.13057614897721,1.83423231221664,2.16262294608313,1.80747598198272,1.62857862649554,2.40599911057988,1.53970646211543,1.44207188670626
Gsta4,2.46944836324006,4.27020116008375,4.34648027674507,0.638494253989881,0.474849747322114,4.29080901041523,0.807332722822633,0,0,0,1.27159327059738,4.28521214119283,0,0,3.92155956695004,1.85352159241128,1.59247768791607
Gstm2-ps1,0,1.45326055200975,1.30041128059995,0,0,0.818031744012578,0,0,0,0,0,0,0,0,0,0,0
Gsto1,1.79473908656753,2.70887104125615,2.82017429345759,0,0,3.28980871967999,0,0,0,0,0.782697939077477,2.76502616139277,0,0.378202762640598,2.31475315465795,0,0
Gstt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gucy1a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gypc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Aa,0,0,0,0,5.06792783289794,0,0,0,0,0,4.40127366168969,0,2.56680659186712,0,0,0,0
H2-Ab1,0,0,0,0,5.60784960041334,0,0,0,0,0,4.47331904531331,0,2.2151335860412,0,0,0,0
H2-D1,0.35546125791102,1.07611521898306,0.893223017512324,0.8695807487358,2.50914288782623,0.597107213975147,0.862824502014533,0,0,2.49043504747917,2.97704304725772,0,2.74637852061849,2.67617596140338,0,2.4333700832376,0
H2-DMa,0,0,0,0,1.76177676264119,0,0,0,0,0,1.31305193202918,0,0,0,0,0,0
H2-Eb1,0,0,0,0,5.34549239365911,0,0,0,0,0,4.44528466587406,0,1.87326197476816,0,0,0,0
H2-K1,0.589160813182814,1.06017924278291,0.807971434793978,0,2.33115185436468,0.604321336923942,0.352311623608781,0,0,2.53870389165836,2.53380965027581,0,2.08855044620741,2.86471691198691,0,2.98405889829776,0
H2-Q7,0,0,0,0,0,0,0,0,0,0,0.637981180225774,0,0,0,0,1.77479100670393,0
H2afj,0,1.55123942333414,1.42378364275257,0,0,1.29585398477367,0,0,0,0,0,1.36246228616198,0,0,1.42064261421499,0,0
H3f3b,1.62671620732154,1.7181152604952,1.6883081812274,1.10297320076361,2.00442207495963,2.40223030595799,1.4925785478835,1.3781116334269,1.71095385680266,1.99753554692725,2.2410570145165,1.5437022410022,1.84743797396677,1.5048275818556,1.1101791876185,1.53184896106186,1.74531161557202
Hba-a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hba-a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bs,0,0.293287946950876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hes1,0,0.930347453395376,0.848855941928921,0,0,1.26139745149308,0,0,1.12313289162096,0,0,0,0,0,1.23214424406548,0,0
Hilpda,0,0.790822376692142,0.585046876312034,0,0,1.27939090871733,0,0,0,0,0,0,0,0,0,0,0
Hsd11b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa1a,0.34500016822757,0.365037986680979,0,1.60739845151355,2.44758261113375,0,2.66990515636368,2.56890985301077,0,1.9712458376785,2.24628298511869,0,2.40647510246023,2.12848233436205,0,0,2.1651188397585
Hspa1b,0,0,0,0,0,0,0,0,0,0,0,0,0.373812415017518,0,0,0,0
Hspa5,0,0.583064777170819,0.448311389029438,1.54215925832304,0.632893253883568,0,1.02024255360676,1.21315401846197,0,0,0,0,0,0,0,0,0
