,unassigned,Neonatal-Heart_1,Neonatal-Heart_2,Neonatal-Heart_4,Neonatal-Heart_15,Neonatal-Heart_17,Neonatal-Heart_3,Neonatal-Heart_8,Neonatal-Heart_6,Neonatal-Heart_13,Neonatal-Heart_11,Neonatal-Heart_18,Neonatal-Heart_14,Neonatal-Heart_5,Neonatal-Heart_12,Neonatal-Heart_9,Neonatal-Heart_16,Neonatal-Heart_7,Neonatal-Heart_10
Arpc2,0,0,0,0,0,0,0,0,1.09090758929209,1.16149078950023,0,0.764070608248382,0.278896890808595,0,0,1.10689715590147,0,0,0
Arpc3,0,0,0,0.560226541149366,0,0.339903755156791,0,0,0,0.584901020369532,0,0.764070608248382,0,0,0,0,0,0,0
Arpp19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspn,0,0,1.01480190836422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atox1,0,0,0,0,0,0,0,0,0,0,0,0.51600779888988,0,0,0,0,0,0,0
Atp2a2,0,0,0,0,0,0,0,1.1819312991339,0,0,0,0,0,0,1.046101502812,0,0,0,0
Atp5a1,0,1.25519986422695,0,0,0,0,0,1.21239756045281,0,0,0,0,0.906014563281123,0,1.16006370455314,0,0.666408855269026,0,0
Atp5b,1.05987740075971,1.78304308889285,0.998577167874106,0.586088566950826,0,0.735432448855228,0.757994568562872,1.96459587714278,1.00303216855504,0.685076701385867,0.822418261124395,0,0.93563954089351,0.926417575309662,1.54339683251493,0.82064135791232,1.15424235976501,1.34795851826708,1.12050775731057
Atp5c1,0,1.27709339440393,0,0,0,0.180772107118994,0,1.30719592187357,0,0,0,0,0.651038394779821,0,0.979752418944152,0,0,0.937167086530443,0.972700289719457
Atp5d,0.521350726645174,1.18129764353337,0,0,0,0.325198814073813,0,1.19727558480839,0,0,0,0.785604684651291,0.59661251405541,0,0.881828089922389,0,1.14354647136873,0.853883466880954,0
Atp5e,0,0.917404570070376,0,0,0,0,0,0.691886165428612,0,0.919640785821101,0,0,0,0,0.706189171548182,0,0,0,0
