,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000028833,0,0,1.40069744550665,0,0,0,0,0
ENSMUSG00000029126,0,0,1.49318343726182,0,0,0,0,0
ENSMUSG00000029223,0,0,1.61337866953677,0,0,0,0,0
ENSMUSG00000029231,0,0,0,0,0,0,0,0
ENSMUSG00000029309,0,1.6037119552595,0,0,0,0.994056287813623,3.70712852935693,0
ENSMUSG00000029373,0,0,0,0,0,0,0,0
ENSMUSG00000029467,0,0,1.51455129257916,0,0,0.847337112422568,0,1.08845767220211
ENSMUSG00000029484,0,0,0,0,0,0,0,0
ENSMUSG00000029516,0,0,1.46620945087571,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029621,0,0,0,2.00798481575856,0,1.51312191342918,0,0
ENSMUSG00000029622,0,1.51737400546515,0,1.20668616924614,1.84821785687073,0.918010338526736,0,0
ENSMUSG00000029648,0,2.62211185519735,0,0,0,0,0,0
ENSMUSG00000029723,0,0,0,1.89609743174171,0,1.53810642943403,1.91489040652704,0
ENSMUSG00000029769,0,0,0.652010582601582,0,0,0,0,0
ENSMUSG00000029810,0,0,0,0,0,0,0,0
ENSMUSG00000029838,0,1.88787921532316,0,2.4243134048508,0,2.21748927678968,2.35653410704401,0
ENSMUSG00000030209,0,0,0.903800164817259,0,0,0,0,0
ENSMUSG00000030235,0,1.435424356302,0,0,0,0,0,0
ENSMUSG00000030237,0,1.59031868250991,0,0,0,0,0,0
ENSMUSG00000030302,0,0,0.733169189726214,0,0,0,0,0
ENSMUSG00000030307,0,0,0,0,0,0.456192629801664,3.53578522539902,0
ENSMUSG00000030310,0,0,0,0,0,0.494290013143477,2.60214713796826,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,0,0.899718993958439,0,0,0,1.12897723011698
ENSMUSG00000030413,0,1.59960799571846,0,0,0,0,0,0
ENSMUSG00000030428,0,0,0,0,0,0.961403265111192,2.30219144175893,0
ENSMUSG00000030495,0,0,0,0,0,0,1.57805865457539,0
ENSMUSG00000030500,0,0,0.784257192691839,0,0,0,0,0
ENSMUSG00000030560,0,0,0,0,1.02054493555,0,0,0
ENSMUSG00000030579,0,0,0,0,3.06680186374109,0,0,0
ENSMUSG00000030605,0,0,0,0,0,0,0,0
ENSMUSG00000030638,0,0,0,0.589790720258411,0,0,0,0
ENSMUSG00000030701,0,0,0,1.0735961792783,0,0.78535819006366,0,0.565215931461809
