,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000026701,0,0,0,0,0,1.57070847070085,0,1.15105314513266
ENSMUSG00000026728,0,0,0,0,0,0,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026814,0,0,0,0,0,0,0,0
ENSMUSG00000026830,0.900600225465012,0,0,0,0,0,0,0
ENSMUSG00000026833,0,0,0,0,0,0,0,0
ENSMUSG00000026879,0,0,0,0,0,0,0,0
ENSMUSG00000026888,0.887401879256256,0,0.28575930535809,0,0,0,0,0
ENSMUSG00000027199,1.11354455986521,0,0.295255389200202,0,0,0,1.46814561172662,0
ENSMUSG00000027210,0,0,0,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,0,1.1327672421417,0.365578988365907,0,0,0,0,0
ENSMUSG00000027375,2.73572917293891,0,1.60702087398845,0,0,0,0,0
ENSMUSG00000027447,0,0,1.82426935704119,1.81221909308835,0,4.59365795335916,6.83615665492214,1.56084439036646
ENSMUSG00000027523,0,1.2534361470769,0.951566668088046,1.6089022061353,0,0,0,0.918501602230183
ENSMUSG00000027562,1.79435152180565,0,0.804488279619312,0,0,0,0,0
ENSMUSG00000027712,0,0,0,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,0,0,0,0.73135176118013
ENSMUSG00000027848,0,0,0,0,0,0,0,0
ENSMUSG00000027858,1.72227372729487,0,1.15197227882853,0,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028161,0,1.39333870591396,0.838665677208132,0,0,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028266,0,0,0,0,0,0,0,0
ENSMUSG00000028412,0,0,0,0,0,0,0,0
ENSMUSG00000028445,0,0,0,0,0,0,0,0
ENSMUSG00000028517,0,0,0,0,0,1.98198219922408,0,0
ENSMUSG00000028581,0,0,0,0,0,0,0,0
ENSMUSG00000028639,0.744983959625342,0,0.585661826561779,1.7155854499822,0,0,0,0
ENSMUSG00000028645,0,0,0,0,0,0,0,0
ENSMUSG00000028691,0,0,0,0,0,0,0,0
ENSMUSG00000028832,0,0,0,0,0,0,0,0
ENSMUSG00000029231,0,0,0,0,0,0,0,0
ENSMUSG00000029245,0,0.640803694685643,0,0,0,0,0,0
ENSMUSG00000029309,0,0,0,1.10769977522759,0,2.93692477658558,0,0
ENSMUSG00000029343,0,0,0,0,0,0,0,0
ENSMUSG00000029373,0,0,0,0,0,0,0,0
ENSMUSG00000029484,0,0,0,0,0,0,0,0
ENSMUSG00000029563,0,0,0,0,0,0,0,0
ENSMUSG00000029622,0,0,0.439726154087338,1.02070433100141,0,0,1.3608506113271,0
ENSMUSG00000029648,0,0,0,1.30756417956434,0,0,0,0
ENSMUSG00000029723,1.15875565123345,0,0.850021056732503,0,0,1.35785884156838,0,0
ENSMUSG00000029810,0,0,0,0,0,0,0,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,1.61529347453032,0,1.20204080699551,1.51781382911493,0,2.11812445412619,0,0
ENSMUSG00000029919,0,0,0,0,0,0,0,0
ENSMUSG00000030124,0,0,0,0,0,0,0,0
ENSMUSG00000030209,0,0.647141737144634,0,0,0,0,0,0
ENSMUSG00000030220,0,0,0,0,0,0,0,0
ENSMUSG00000030235,0,0,0,0,0,0,0,0
ENSMUSG00000030237,0,0,0,0,0,0,0,0
ENSMUSG00000030246,0,0,0,0,0,0,0,0
ENSMUSG00000030307,0,0,0,0,0,0.630747446864097,0,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,0,0,0,0,0,0
ENSMUSG00000030413,0,0,0,0,0,0,0,0
ENSMUSG00000030495,0,0,0,0,0,0,0,0
ENSMUSG00000030560,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,0,0,0,0,0,1.92116844384799,0
ENSMUSG00000030605,0,0,0,0,0,1.44290832976768,0,0
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030737,0,0,0,0,0,0,0,0
ENSMUSG00000030786,0,0,0,0,0,0,0,0
ENSMUSG00000030793,0,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,0,0,0,1.7259457507259,0
ENSMUSG00000031144,0,0.930657774541988,0,0,0,0,0,0
ENSMUSG00000031239,0,0,0,1.48191764122412,0,0,0,0
ENSMUSG00000031342,0.958446901823419,0,0.842813104098828,0,0,1.37294881775979,0,0
ENSMUSG00000031425,7.16290975560854,0,6.20521186375777,0,0,0,0,0
ENSMUSG00000031447,1.1057643962599,0,0.751707126138863,0,0,1.13045214117146,1.27725330168146,0
ENSMUSG00000031517,0,1.05523183888408,0.68400688943403,0,0,1.20520421693615,0,0
ENSMUSG00000031591,0,0,0,0,0,0,0,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031760,0,0,0.51082979673022,0,0,2.38535443378105,0,3.09825438013401
ENSMUSG00000031762,0,0,0,0,0,1.82598718550807,0,0
ENSMUSG00000031765,0,0,0.953748443388147,0,0,3.54193799568236,0,2.95072257691369
ENSMUSG00000031775,0,0,0,0,0,0,0,0
ENSMUSG00000031799,0,0,0,0,0,0,0,0
ENSMUSG00000031980,0,0,0,0,0,0,0,0
ENSMUSG00000031983,0,0,0,0,0,0,0,0
ENSMUSG00000032014,0,0,0,0,0,0,0,0
ENSMUSG00000032060,3.15245242886106,0,1.84498685483321,0,0,0,0,0
ENSMUSG00000032085,0,0,0,0,0,0,0,0
ENSMUSG00000032118,1.4030941960101,0,0.543181193655909,0,0,0,0,0
ENSMUSG00000032281,0,0,0,0,0,0,0,0
ENSMUSG00000032359,0,0,0,0,0,0,0,0
ENSMUSG00000032434,0,0,0,0,0,0,0,0
ENSMUSG00000032436,0,0,0,0,0,0,0,0
ENSMUSG00000032482,0,0,0,0,0,1.91568452102132,0,0
ENSMUSG00000032503,0,0.65963722627944,0,0,0,0,0,0
ENSMUSG00000032517,2.5776096930739,0,1.79642440149525,0,0,0,0,0
ENSMUSG00000032532,0,0,0,0,0,0,0,0
ENSMUSG00000032554,1.63913196300282,0,0.142221397254371,0,0,0,1.50919085274898,0
ENSMUSG00000032667,0,0,0,0,0,0,0,0
ENSMUSG00000032698,0,0,0,0,0,0,0,0
ENSMUSG00000032766,0,0,0,1.31266210921226,0,0,0,0
