,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000027438,0,0,0,0,0,0.998585304100909,0,0
ENSMUSG00000027447,3.75396987087049,2.94017611133853,8.13965359042744,1.19752113482943,0.694458168964301,1.27567113570801,5.76736831771325,2.20771886558708
ENSMUSG00000027500,0.810737514734313,0,0,0,0,1.53256473691542,0,0
ENSMUSG00000027562,1.72614354705084,0,0,3.11178221870315,0,0,1.98503018258009,0
ENSMUSG00000027574,0,0,0,0,0,0,1.10154397958853,0
ENSMUSG00000027581,1.18641317779784,0,0,0,0,1.91265162874404,0,0
ENSMUSG00000027797,0.543218267798333,0,0,0,0,1.20849371909688,1.12345587830335,0
ENSMUSG00000027800,0,1.39934003031211,0,0,0,0,0,1.97494539605061
ENSMUSG00000027805,1.23631731495058,0,0,0,0,1.39760750072348,0.978772261084664,0
ENSMUSG00000027848,0,0,1.14825633564919,0,0,0,0,0
ENSMUSG00000027858,0,0,0,2.01604335281167,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,1.90900147217622,0
ENSMUSG00000028161,1.72036002206845,0,0,0.522282247121463,0,2.30197188704545,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028266,0,0,0,0,0,0.856172785751668,0,1.31702299321947
ENSMUSG00000028399,0.842165689443111,0,0,1.09034344392522,0,0.870442565019411,0,0
ENSMUSG00000028445,0,0,0,0,0,0,1.40129772977757,0
ENSMUSG00000028517,0,0,0,0,0,0,3.09383198771696,0.725942817648104
ENSMUSG00000028581,0,0,2.11471539152748,0,0,0,0,0
ENSMUSG00000028645,0,1.51836424648218,0,0,0,0,0,1.28600797591719
ENSMUSG00000028655,0,0,0,0,0,0,0,0
ENSMUSG00000028691,1.18401224666472,1.29130563319268,0,1.46560775922806,0,0,1.67668754374406,0.951947797902749
ENSMUSG00000028785,0,0,0,0,0,0.666178645402279,0,0
ENSMUSG00000028832,0,0,0,0,0,0,0,0
ENSMUSG00000029245,0,0,0,0,0,0.868957674659035,0,0
