,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000028434,0,0,0,0,0,0,0,0
ENSMUSG00000028484,0,0,0,0,0,0,0,0
ENSMUSG00000028488,0,0,0,0,0,0,0,0
ENSMUSG00000028517,0,0,0,0,0,0,1.38056839327126,0
ENSMUSG00000028546,0,0,0,0,0,0,0,0
ENSMUSG00000028639,0,0.943747134512119,0,1.10658834802042,0.13304998664851,0.758078899138816,0,0
ENSMUSG00000028773,0,0,0,0,0,0,0,0
ENSMUSG00000028795,0,0,0,0,0,0,0,0
ENSMUSG00000028832,0,0,0,0,0,0,0,0
ENSMUSG00000028847,0,0,0,0,0,0,0,0
ENSMUSG00000028945,0,0,0,0,0,0,0,0
ENSMUSG00000029054,0,0,0,0,0,0,0,0
ENSMUSG00000029059,0,0,0,0,0,0,0,0
ENSMUSG00000029120,0,0,0,0,0.158216873957637,0,0,0
ENSMUSG00000029121,0,0,0,0,0,0,0,0
ENSMUSG00000029126,0,0,0,0,0,0,0,0
ENSMUSG00000029189,0,0,0,0,0,0,0,0
ENSMUSG00000029309,0,0,0,0.96480595126967,0.287896798217959,0,3.03934651934976,1.35133343906985
ENSMUSG00000029359,0,0,0,0,0,0,0,0
ENSMUSG00000029471,0,0,0,0,0,0,0,0
ENSMUSG00000029559,0,0,0,0,0,0,0,0
ENSMUSG00000029580,0,1.03853882625356,0,0.819991437308575,0.158216873957637,0.766673381172234,0,0.601372739355025
ENSMUSG00000029608,0,0,0,0,0,0,0,0
ENSMUSG00000029648,0,0,0,1.05305457107782,0,0,0,0
ENSMUSG00000029723,0,0,0,0,0.245339052184011,1.01350029790588,1.27601981790199,0
ENSMUSG00000029838,0,0,0,0.507317416390215,0.661291033355691,1.17701355841482,1.53425905546017,0
ENSMUSG00000030172,0,0,0,0,0,0,0,0
ENSMUSG00000030246,0,0,0,0,0,0,0.687714715799465,0
ENSMUSG00000030302,0,0,0,0,0,0,0,0
ENSMUSG00000030310,0,0,0,0,0.371599703999221,0,0.511079362216333,0
ENSMUSG00000030317,0,0,0,0,0,0,1.97447555478456,0
ENSMUSG00000030342,0,0,0,0,0,0,0.59008684488982,0.852538115640871
ENSMUSG00000030352,0,0,0,0,0,0,0,0
ENSMUSG00000030413,0,0,0,0.694021700898187,0,0,0,0
ENSMUSG00000030428,0,0,0,0,0,0,1.26543364587051,0.544191240830683
ENSMUSG00000030465,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,2.04446422139857,0,0,0,0,0,0
ENSMUSG00000030647,0,0,0,0,0.166718158381519,0.297603861245823,0,0
ENSMUSG00000030695,0,0,1.14893596713315,0,0.665959310296336,0,0.550812398136759,0.730577112751978
ENSMUSG00000030744,0,1.67487002124396,0,1.33141709360802,0,0.864926462829736,0,0.688902103909115
ENSMUSG00000030774,0,0,0,0,0,0,0,0
ENSMUSG00000030806,0,0,0,0,0,0,0,0
ENSMUSG00000031144,0,0,0,0,0,0,0,0
