,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000025468,0,0,0,0,0,0,0,0
ENSMUSG00000025492,0,0,0,1.31005053235509,0,0,0,0
ENSMUSG00000025576,0,0,0,0,0,0,0,0
ENSMUSG00000025666,0,0,0,0,0,0,0,0
ENSMUSG00000025867,0,0,0,0,0,0,0,0
ENSMUSG00000025889,0,0,0.944436487221476,0,0,0,0,0
ENSMUSG00000026109,1.36756263439615,0,0,0,0,0,0,0
ENSMUSG00000026185,0,0,0,0,0,0,0,0
ENSMUSG00000026223,0,0.919281694441999,0.966012449585741,0,1.07136797384624,1.59888674328581,1.04818454562025,0
ENSMUSG00000026238,1.9179194103325,1.17730592442417,1.35377177195546,2.32393346843959,0,2.17245772198852,1.14738241658762,0
ENSMUSG00000026249,0,0.766322767008079,0,0,1.50700015361165,0,0,0
ENSMUSG00000026385,2.15247985943564,1.81866132337479,0,0.6200413989499,3.29096057549296,5.4459512512404,0,0
ENSMUSG00000026421,0.833561643372471,0,0,0,0,0,0,0
ENSMUSG00000026424,0,0.828247661521086,0,0,1.09607894850701,0,0,0
ENSMUSG00000026473,0.674303773005132,2.03314244820723,0,1.14314915151183,3.2003810973379,0,1.68962172397853,0
ENSMUSG00000026566,0,0,0,0.483117400683447,0,0,0,0
ENSMUSG00000026575,0,0,0,0,0,0,0,0
ENSMUSG00000026576,0,0.825268472185559,2.0037457361682,0,0,0,0,0
ENSMUSG00000026678,0,0,0,1.47599031472703,0,0,0,0
ENSMUSG00000026701,0,0.87349338406873,0,0,1.6650042494497,1.59888674328581,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026797,0,0,0,0,0,0,0,0
ENSMUSG00000026825,0,0,0,0,0,0,0,0
ENSMUSG00000026830,0.890140270580057,0,0,0,0,0,0,0
ENSMUSG00000026833,0,0,0,0,0,0,0,0
ENSMUSG00000026872,0.64840834246525,0.461197511507424,0,0,0,0,0,0
ENSMUSG00000026879,1.13871619590851,0,0,0,0,0,0,0
ENSMUSG00000026888,0.463507584007353,0,0,0,0,0,0,0
ENSMUSG00000026921,0,0,0,1.73905185619286,0,0,0,0
ENSMUSG00000026930,0,0,0,0,0,0,0,0
ENSMUSG00000026959,0,0,0,0,0,0,0,0
ENSMUSG00000027004,0,0,0,0,0,0,0,0
ENSMUSG00000027168,0,0,0,0,0,0,0,0
ENSMUSG00000027199,1.43065956797781,0.46489940250233,0,0,0,0,1.75783916110564,0
ENSMUSG00000027210,0,0.487144638139728,1.9863135377572,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0.953330700605417,0,0,0
ENSMUSG00000027273,0,0,1.41203432990174,0,0,0,0,0
ENSMUSG00000027347,0,0,0,0,0,0,0,0
ENSMUSG00000027375,2.75811926913734,0,0,0,0,0,0,0
