,Vascular,Blood,Neurons,Excluded,Oligos,Astrocytes,Ependymal,Immune
ENSMUSG00000025203,0,0,0,1.85409929096678,2.1216241971808,1.76397887628654,2.01460833549429,0
ENSMUSG00000025232,0,0,0,0,0,0,0,1.12616724186956
ENSMUSG00000025283,0,0,0,0,0,0,0,0
ENSMUSG00000025351,0,0,0,0,0,1.4058907522355,0.885982372563835,0
ENSMUSG00000025372,0,0,0,0,0,0,0,0
ENSMUSG00000025468,0,0,0.748786770102397,0,0,0,0,0
ENSMUSG00000025492,1.48061055393032,0,0,0,0,0,0.887575454397479,0
ENSMUSG00000025503,0,0,0,0,1.08786334100968,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0,0
ENSMUSG00000025867,0,0,0.734710070986461,0,0,0,0,0
ENSMUSG00000025889,0,0,1.42074913990305,0.451422881689732,0,0,0,0
ENSMUSG00000026109,0,0,0,0.496894281949204,1.49604264721762,0,0,0
ENSMUSG00000026193,0,0,0,0,0,0,0,0
ENSMUSG00000026223,0,0,1.44269731364804,1.11181227901001,0,1.19048873458165,2.71884348880624,0
ENSMUSG00000026238,1.94025065842868,0,0,0.977830378118661,1.70458135820483,0,1.69672885796924,0
ENSMUSG00000026249,0,0,0,0.276942551532048,0,1.54109531263368,0.871009042481562,0
ENSMUSG00000026344,0,0,0,0,0,0,0,0
ENSMUSG00000026358,0,0,0,0,0,0,0,0
ENSMUSG00000026385,0,0,0,1.25207636401553,1.93219136467833,2.55606508939973,5.31678800003986,0
ENSMUSG00000026421,0,0,0,0.594976786040414,0.831841540137433,0,0,0
ENSMUSG00000026424,0,0,0,0,0,1.7279729298261,0.563932389892378,0
ENSMUSG00000026442,0,0,0,0,0,0,0,0
ENSMUSG00000026473,0.785948690257654,0,0,1.28002337099694,0.686073954783641,2.96559002721421,0,1.7968967500313
ENSMUSG00000026566,0.835582890052916,0,0,0,0,0,0,0
ENSMUSG00000026576,0,0,1.88964528574519,1.12551290822161,0,0,0,0
ENSMUSG00000026678,1.71165358220691,0,0,0,0,0,0,0
ENSMUSG00000026701,0,0,0,0,0,1.74576815533528,1.59059638626349,0
ENSMUSG00000026728,0,0,0,0,0,0,1.05418123236064,0
ENSMUSG00000026787,0,0,1.00422747540336,0,0,0,0,0
ENSMUSG00000026814,0.567538884020081,0,0,0,0,0,0,0
ENSMUSG00000026830,0,0,0,0,1.25153063573243,0,0,0
ENSMUSG00000026833,0,0,0,0,0,0,0,0
ENSMUSG00000026879,0,0,0,0,1.04430128401317,0,0,0
ENSMUSG00000026888,0,0,0,0,1.20038817156402,0,0,0
ENSMUSG00000026921,1.70308954781393,0,0,0,0,0,0,0
ENSMUSG00000027199,0,0,0,0.433482746276257,1.39067963673711,0,0,1.66874686171298
ENSMUSG00000027210,0,0,0.501091141845842,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,0,0,1.24125690122162,0.5116861301891,0,0,0,0
ENSMUSG00000027375,0,0,0,1.63153519906846,3.04087470161668,0,0,0
ENSMUSG00000027400,0,0,0,0,0,0,0,0
ENSMUSG00000027447,2.32978409259947,0,0.666493102305297,2.72986534328634,0.819577533342115,5.50385104659255,1.89279021160788,7.55718024030943
ENSMUSG00000027500,0,0,0,0,0,0,0,0
ENSMUSG00000027523,1.85495870375818,0,1.06464660865393,1.12945093441221,0.890779411853253,0,1.41540381854244,1.2094477094558
ENSMUSG00000027562,0,0,0,1.23911676790856,2.39334361816867,0.795173863519877,0,0
ENSMUSG00000027574,0,0,0,0,0,0,0.437484358165555,0
ENSMUSG00000027581,0,0,0.98322401133644,0,0,0,0,0
ENSMUSG00000027800,0.485886555399969,0,0,0,0,0,1.28519555661622,0
ENSMUSG00000027848,0,0,0,0,0,0,0,0
ENSMUSG00000027858,0,0,0,0.682173151753292,1.63834157321887,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028161,0,0,1.87563931234571,1.23680710546789,0,0,0,0
ENSMUSG00000028194,0,0,0,0,0,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028266,0,0,0,0,0,0,0.789068893819014,0
ENSMUSG00000028445,0,0,0,0,0,1.15026796353007,0,0
ENSMUSG00000028517,0,0,0,0.744404165909255,0,2.53153164129057,0,0
ENSMUSG00000028581,0,0,0,0,0,0,0,1.26198666975377
ENSMUSG00000028639,1.9052617240129,0,0.377867433957141,0.845931831700026,1.26868673946083,0,0.486824167081836,1.27263018095026
ENSMUSG00000028645,0.767350822800897,0,0,0,0,0,0.437484358165555,0
ENSMUSG00000028785,0,0,0,0,0,0,0,0
ENSMUSG00000028833,0,0,0.828365219615255,0.505613177048372,0,0,0,0
ENSMUSG00000029126,0,0,1.11291106178201,0,0,0,0,0
ENSMUSG00000029231,0,0,0,0,0,0,0,0
ENSMUSG00000029245,0,0,0.685603496927051,0,0,0,0,0
ENSMUSG00000029309,1.62431159153321,0,0,0.935308794152326,0,2.98737465018569,0.50026241598483,0
ENSMUSG00000029343,0,0,0,0,0,0,0,0
ENSMUSG00000029373,0,0,0,0,0,0,0,0
ENSMUSG00000029484,0,0,0,0,0,0,0,0
ENSMUSG00000029563,0,0,0,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029621,0,0,0,0.886512744164178,1.48217739768697,0,0,0
ENSMUSG00000029622,1.30246573964574,0,0,0,0.859276041573052,0,0,1.52756432788288
ENSMUSG00000029648,2.23123322804507,0,0,0,0,0,0,0
ENSMUSG00000029723,0,0,0,1.04542063096716,1.60445548600361,1.66976496719734,0.722468805849227,0
ENSMUSG00000029810,0,0,0,0,0,0,0,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,1.67795971315239,0,0,1.60859822206925,2.07536401098511,2.62943153498653,0,0
ENSMUSG00000029919,0,0,0,0,0,0,0,0
ENSMUSG00000030067,0,0,0,0,0,0,0,0
ENSMUSG00000030209,0,0,0.975452897169446,0.415098864796487,0,0,0,0
ENSMUSG00000030220,0,0,0,0,0,0,0,0
ENSMUSG00000030235,1.02493021369341,0,0,0,0,0,0,0
ENSMUSG00000030237,1.04542063096716,0,0,0,0,0,0,0
ENSMUSG00000030246,0,0,0.32280352171142,0.651882969813313,0,1.62575066057023,0,0
ENSMUSG00000030272,0,0,0,0,0,0,0,1.49006599595307
ENSMUSG00000030307,0,0,0,0,0,1.38795195241267,0,0
ENSMUSG00000030310,0,0,0,0.626156893333261,0,1.2653272738512,0,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,0,0,0.6094218878379,0,1.06135872825693,0
ENSMUSG00000030413,1.47128450385124,0,0,0,0,0,0,0
ENSMUSG00000030428,0,0,0,0.794326047311368,0,1.74915053928261,0.883076985942526,0
ENSMUSG00000030495,0,0,0,0,0,0,0,0
ENSMUSG00000030560,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,0,0,0,0,0,0,2.5190395655923
ENSMUSG00000030605,0,0,0,0,0,1.63395886474939,0,0
ENSMUSG00000030701,0,0,0,0,0.502923420983414,0,0.951911009940335,0
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030793,0,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,0,0,0,0,2.14297219651385
ENSMUSG00000030905,0,0,0,0,0,0,0,0
ENSMUSG00000031144,0,0,0.777547744963502,0,0,0,0,0
ENSMUSG00000031239,1.93384435674397,0,0,0,0,0,0,0
ENSMUSG00000031342,0,0,0,1.21471423526709,1.5012647814782,1.72140367741147,0.831143866337699,0
ENSMUSG00000031425,0,0,0,6.25678416183243,7.36196977775438,0,0,0
ENSMUSG00000031447,0,0,0,0.981746881983682,1.44479649062253,1.1988921769538,0.826523257673978,1.40799283476258
ENSMUSG00000031517,0,0,1.0755289694919,0.816093467225179,0,1.47826702293028,0,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031760,0,0,0.585897130193608,0.732730100647944,0,2.49191490032839,3.27739871859935,0
ENSMUSG00000031762,0,0,0,0.437673761130665,0,2.34603280157888,1.67693048949632,0
ENSMUSG00000031765,1.31719005816465,0,0,1.85409929096678,0.849440325444974,3.96301188153228,3.591895939225,0
ENSMUSG00000031775,0,0,0,0,1.29245348691353,0,0,0
ENSMUSG00000031778,0,0,0.50451698019857,0,0,0,0,0
ENSMUSG00000031906,0,0,0,0,0,0,0,0
ENSMUSG00000031980,0,0,0,0,0,0,0,0
ENSMUSG00000032060,0,0,0,2.00530812497565,3.61832468255795,0,0,0
ENSMUSG00000032118,0,0,0,0.886114904101548,1.73737586549159,0,0.864282368866897,0
ENSMUSG00000032181,0,0,0,0,0,1.44702637942026,0,0
ENSMUSG00000032281,0,0,0,0,0,1.15761888227079,0,0
ENSMUSG00000032359,0.540123057157761,0,0,0,0,0,0,1.1336392759309
ENSMUSG00000032368,0,0,0,0,0,0,0,0
ENSMUSG00000032434,0,0,0,0,0,0,0,0.80223980326111
ENSMUSG00000032482,0,0,0,0.673143932135315,0,2.51682492755833,0,0
ENSMUSG00000032503,0,0,2.15360978630324,0.784294897060513,0,0,0,0
ENSMUSG00000032517,0,0,0,2.04115357951754,3.17621397288405,0,0,0
ENSMUSG00000032532,0,0,0,0,0,0,0,0
ENSMUSG00000032554,0,0,0,0.556241173361907,2.13848308972685,0,0,1.39685933092963
ENSMUSG00000032766,2.04540290825757,0,0,0,0.997970367545686,0,0,0
ENSMUSG00000032854,0,0,0,0.474838583528232,1.47128450385124,0,0,0
ENSMUSG00000032936,0,0,0,0,0,0,0,0
ENSMUSG00000032966,1.35739022230952,0,2.0998245808687,1.67878410262018,1.82281918213173,0,0,0
ENSMUSG00000033061,0,0,0,0,0,0,0,0
ENSMUSG00000033192,0,0,0,0,0,0,0,1.2094477094558
ENSMUSG00000033208,0,0,0,0,0,0,0.722468805849227,0
ENSMUSG00000033579,0,0,0,0,1.06425840162657,0,0,0
ENSMUSG00000033981,0,0,1.52704104355233,1.1996396813005,0,0.997744363337678,0,0
ENSMUSG00000034353,0,0,0,0,0,0,1.4913366535934,0
ENSMUSG00000034708,0,0,0,0,0,0,0,0
ENSMUSG00000034891,0,0,0.797301602779567,0,0,0,0,0
ENSMUSG00000034892,1.73570821953088,1.92537757408702,1.28073909486095,0.929419199041807,0.929126732517118,0,1.52048091918696,2.29102730562137
ENSMUSG00000035104,0,0,0,0,0,0,0,0
