,Excluded,Vascular,Oligos,Neurons,Immune,Astrocytes,Blood
ENSMUSG00000026833,2.02388813437719,0,0,2.60670164621457,0,0,0
ENSMUSG00000026879,0,0,2.25108760958982,0,0,0,0
ENSMUSG00000026888,0,0,1.55460886809403,0,0,0,0
ENSMUSG00000026921,0,2.59711930728651,0,0,0,0,0
ENSMUSG00000027131,0,0,0,0.617077372225223,0,0,0
ENSMUSG00000027199,0,0,2.09630626527497,0,2.23094237515449,0,0
ENSMUSG00000027215,0,0,0,0,0,0,0
ENSMUSG00000027221,0.909773441700427,0,0,1.16832280610801,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0
ENSMUSG00000027270,0,0,0,0,0,0,0
ENSMUSG00000027273,2.15129999891126,0,0,2.97341044723675,0,0,0
ENSMUSG00000027350,0.862601893254229,0,0,1.48006966251555,0,0,0
ENSMUSG00000027375,0,0,4.16908135535426,0,0,0,0
ENSMUSG00000027419,0.617436480688323,0,0,1.2021750797658,0,0,0
ENSMUSG00000027422,0,0,0,0,0,0,0
ENSMUSG00000027438,0.834539876953977,0,0,1.28354063794902,0,0,0
ENSMUSG00000027447,4.4590956240267,3.15186888794854,1.24686221009575,1.39948045272325,8.33731894084016,6.19117892659184,0
ENSMUSG00000027500,1.10391339898609,0,0,1.90992365543626,0,0,0
ENSMUSG00000027562,0.79064185691907,0,3.47855060482155,0,0,2.26525575880307,0
ENSMUSG00000027574,0,0,0,0,0,1.67334551390129,0
ENSMUSG00000027581,1.59157570555436,0,0,2.37449382415243,0,0,0
ENSMUSG00000027602,1.53279717160772,1.41148095543216,1.31889838365135,1.89260327143439,0,0,0
ENSMUSG00000027797,1.21295877309564,0,0,1.4883276666953,0,0,0
ENSMUSG00000027800,0,1.58089092674088,0,0,0,0,0
ENSMUSG00000027805,1.18337627612518,0,0,1.68726763464352,0,0,0
ENSMUSG00000027858,0,0,2.43265030399543,0,0,0,0
ENSMUSG00000028081,0.8454544353794,1.86436297860278,1.01704056034156,0,1.66931633895078,0,0
ENSMUSG00000028128,0,0,0,0,0,1.7622549455327,0
ENSMUSG00000028161,2.2050734277762,0,0.980158036008903,2.70615909394391,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0
ENSMUSG00000028266,1.17917658249968,0,0,1.65177793817622,0,0,0
ENSMUSG00000028399,1.19972178184541,0,1.67109729558561,1.26835615229696,0,0,0
ENSMUSG00000028412,0,0,1.32297887280122,0,0,0,0
ENSMUSG00000028445,0,0,0,0,0,1.77424470069283,0
ENSMUSG00000028517,0,0,0,0,0,3.23825219590851,0
ENSMUSG00000028581,0,0,0,0,1.99599716484775,0,0
ENSMUSG00000028645,0,1.9234275998686,0,0,0,0,0
ENSMUSG00000028655,0,0,0,0,0,0,0
ENSMUSG00000029126,0.901629435116882,0,0,1.40778784294217,0,0,0
ENSMUSG00000029223,0.849709714908539,0,0,1.31895605747644,0,0,0
ENSMUSG00000029245,1.03383608062974,0,0,1.57084217683127,0,0,0
ENSMUSG00000029309,1.79929431467428,2.08954190653477,0,0.975501185312496,0,3.77509214844047,0
ENSMUSG00000029471,1.04247034694522,0,0,1.38527377910852,0,0,0
ENSMUSG00000029484,0,1.24824190215902,0,0,0,0,0
ENSMUSG00000029622,0,1.9540486723325,1.31107431603328,0,2.00951859997049,0,0
ENSMUSG00000029648,0,3.17652288022208,0,0,0,0,0
ENSMUSG00000029723,0.920423912631118,0,2.48672451007439,0,0,2.58839850998425,0
ENSMUSG00000029761,0,0,0,0,0,0,0
ENSMUSG00000029810,0,0,0,0,1.33977299336103,0,0
ENSMUSG00000029819,0,0,0,0,0,0,0
ENSMUSG00000029838,2.34852214890513,2.60099607820997,2.71740000846726,1.61711909562907,0,3.75377936383813,0
ENSMUSG00000030122,1.11872673078661,0,0,1.54801220310938,0,0,0
ENSMUSG00000030209,1.76863746289434,0,0,2.52522125486439,0,0,0
ENSMUSG00000030235,0,1.90826586949751,0,0,0,1.6482138292853,0
ENSMUSG00000030237,0,1.77044817267012,0,0,0,0,0
ENSMUSG00000030246,1.21824504657547,0,0,1.15694539973858,1.64345900997916,2.82476919902758,0
ENSMUSG00000030302,1.56442908575854,0,0,1.95494197243024,0,0,0
ENSMUSG00000030307,0,0,0,0,0,1.63457604291073,0
ENSMUSG00000030310,0,0,0,0,0,1.95790396795465,0
ENSMUSG00000030317,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,1.79946558481397,0,0,0,0
ENSMUSG00000030413,0,2.40051341311678,0,0,0,0,0
ENSMUSG00000030495,0,0,0,0,0,1.80788066704118,0
ENSMUSG00000030560,0,0,0,0,1.48389611013037,0,0
ENSMUSG00000030579,0,0,0,0,3.5283456517105,0,0
ENSMUSG00000030605,0,0,0,0,0,3.33070860795953,0
ENSMUSG00000030695,1.78328755484008,1.38204868957685,1.48967624692942,2.10796968619068,1.59407775985523,2.31581122385684,0
ENSMUSG00000030701,0,0,1.21286371258528,0,0,0,0
ENSMUSG00000030717,0,0,0,0,0,0,0
ENSMUSG00000030729,0.895744472305101,0,0,1.33781636924258,0,0,0
ENSMUSG00000030844,0,0,0,0,2.94265307564975,0,0
ENSMUSG00000031144,1.72828601912031,0,0,2.1691818630581,0,0,0
ENSMUSG00000031239,0,3.43308164445985,0,0,0,0,0
ENSMUSG00000031425,0,0,8.31453878829151,0,0,0,0
ENSMUSG00000031517,2.09369096368403,0,0,2.42063696661079,0,2.4510589281997,0
ENSMUSG00000031604,0,0,0,0,0,1.6903822601399,0
ENSMUSG00000031610,0,0,0,0,0,1.65725467037424,0
ENSMUSG00000031708,1.71975081885904,0,2.13711745968815,1.96003532539647,0,1.81760706946562,0
ENSMUSG00000031760,1.97559028798935,0,0,1.76740605504425,0,3.93372476570336,0
ENSMUSG00000031762,0,0,0,0,0,3.09711876460481,0
ENSMUSG00000031765,1.71207271639397,2.32786755680578,0.99964300096092,0,0,5.16049649210905,0
ENSMUSG00000031775,0,0,2.29004862789154,0,0,0,0
ENSMUSG00000031778,1.37986502152924,0,0,1.7612124123129,0,0,0
ENSMUSG00000031840,1.52435671310619,0,0,2.15362231252649,0,0,0
ENSMUSG00000032011,1.14744907574678,0,0,1.71130924356519,0,0,0
ENSMUSG00000032014,0,0,0,0,0,0,0
ENSMUSG00000032060,1.04387708063745,0,4.46491707443397,0,0,0,0
ENSMUSG00000032181,0.614361654739501,0,0,0,0,2.40690276177433,0
ENSMUSG00000032281,0,0,0,0,0,1.98310950966989,0
ENSMUSG00000032336,0.767329485529242,0,0,1.060799154642,0,0,0
ENSMUSG00000032349,0,0,0,0,0,0,0
ENSMUSG00000032359,0,0.950798368299218,0,0,1.1113712573939,0,0
ENSMUSG00000032482,1.51383113826841,0,0,1.07229094135901,0,3.39871807902654,0
ENSMUSG00000032503,1.64919555819506,0,0,2.37905866250946,0,0,0
ENSMUSG00000032517,0,0,4.22605477500307,0,0,0,0
ENSMUSG00000032532,1.84100788133438,0,0,3.2403671361418,0,0,0
ENSMUSG00000032549,1.02015238766267,0,0,1.45899256029656,0,0,0
ENSMUSG00000032554,0,0,3.36316860622236,0,1.94150452208603,0,0
ENSMUSG00000032562,0.524175943244262,2.13091694336229,0,0,0,0,0
ENSMUSG00000032667,0,0,0,0,0,0,0
ENSMUSG00000032698,0,1.40838532922202,0,0,0,0,0
ENSMUSG00000032766,0,2.72866771207239,1.68889924784753,0,0,0,0
ENSMUSG00000032854,0,0,2.19438924966463,0,0,0,0
ENSMUSG00000032902,0,1.10909108087635,0,0,0,0,0
ENSMUSG00000032966,1.84064822367475,1.88119072644195,2.46330108527935,2.13546071086211,0,0,0
ENSMUSG00000033061,0,0,0,0,0,0,0
ENSMUSG00000033161,1.43501906460535,0,0,1.91433504037453,0,0,0
ENSMUSG00000033192,0,0,0,0,1.7477275371087,0,0
ENSMUSG00000033208,0,0,0.780380241051231,0,0,1.34469300362819,0
ENSMUSG00000033307,1.38895336546552,0,1.56217971909442,1.75350220716621,0,0,0
ENSMUSG00000033579,0,0,1.81915560211622,0,0,0,0
ENSMUSG00000033768,1.14744907574678,0,0,1.55664772838307,0,0,0
ENSMUSG00000033953,0.799915142899339,0,0,1.31933115174252,0,0,0
ENSMUSG00000033981,1.97876243148519,0,0,2.34691423944729,0,1.8299319314498,0
ENSMUSG00000034187,0.939367421705426,0,0,1.40026707963648,0,0,0
ENSMUSG00000034891,1.7757351107063,0,0,2.68029612683065,0,0,0
ENSMUSG00000035104,0,0,0,0,0,1.47763464654655,0
