,Oligos,Excluded,Neurons,Immune,Blood,Vascular,Astrocytes,Ependymal
ENSMUSG00000036634,2.31630371736413,1.56625447999,0,0,0,0,0,0
ENSMUSG00000036887,0,0,0,3.08443893330297,0,0,0,0
ENSMUSG00000036896,0,0,0,2.97089117261489,0,0,0,0
ENSMUSG00000036905,0,0,0,2.92913867822975,0,0,0,0
ENSMUSG00000036908,0,0,0,0,0,0,0,0
ENSMUSG00000037031,0,0,0,0,0,0,0,0
ENSMUSG00000037166,0.900347834668034,0,0,0,0,0,0,0
ENSMUSG00000037242,0,0,0,0,0,0,0,0
ENSMUSG00000037625,3.30149189732229,2.48042769494681,0,0,0,0,0,0
ENSMUSG00000037706,2.95206923552379,2.16541228230558,0.641496900140196,3.43356218362339,0,2.08672607824705,3.08661477530124,0.234775757649397
ENSMUSG00000037727,0,0,0,0,0,0,0,0
ENSMUSG00000037771,0,0,0,0,0,0,0,0
ENSMUSG00000037852,0,0.739241727569637,0.698571285577498,0,0,0,2.80625302549044,0.837856772146341
ENSMUSG00000038173,0,0,0,0,0,0,0,0
ENSMUSG00000038370,0,0,0,0,0,0,0,0
ENSMUSG00000038543,0,0,0,0,0,0.585244591213802,0,0
ENSMUSG00000038642,0,0,0,3.7118017948739,0,0,0,0
ENSMUSG00000038668,0,0,0,0,0,0,0,0
ENSMUSG00000038690,0,1.10048905861734,1.62337727885851,0,0,1.02197259546097,0,0
ENSMUSG00000038695,0.950165367566263,0.428527952713797,0,0,0,0,0,0
ENSMUSG00000038717,0,0,0,0,0,0,0,0
ENSMUSG00000038811,0,0,0,0,0,0,0,0
ENSMUSG00000039167,0,0,0,0,0,0,0,0
ENSMUSG00000039278,0,1.23022180240818,2.07535964868522,0,0,0,0,0
ENSMUSG00000039533,0,0,0,0,0,0,1.94690938661935,0
ENSMUSG00000039830,0,0,0,0,0,0,0,0
ENSMUSG00000039904,0,0,0,0,0,0,0,0
ENSMUSG00000040010,0,0,0,0,0,0.811618370408064,0,0
ENSMUSG00000040055,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,0,0,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040564,0,0,0,0,0,0,0,0
ENSMUSG00000040584,0,0,0,0,0,0,0,0
ENSMUSG00000040747,0,0,0,0,0,0,0,0
ENSMUSG00000040759,0,0,0,0,0,0,0,0
ENSMUSG00000040785,0,1.50442944182104,2.17045509327841,0,0,0,0,0
ENSMUSG00000040856,0,0,0,0,0,0,0,0
ENSMUSG00000041309,0,0,0,0,0,0,0,0
ENSMUSG00000041329,0,0.388455285562079,0,0,0,0,2.28557425027175,0
ENSMUSG00000041378,0,0,0,0,0,2.80441749949614,0,0
ENSMUSG00000041515,0,0,0,0,0,0,0,0
ENSMUSG00000041571,1.44456251569153,1.7243370637203,2.1567496162866,0,0,1.32322666575134,0,1.27273116268144
ENSMUSG00000041607,4.24321549520795,3.0079917558477,0,0,0,0,0,0
ENSMUSG00000041841,1.68686091681917,2.17495589637695,2.69096995700804,2.96157059811932,0,2.8372559170212,1.25183491308258,1.99424418774698
ENSMUSG00000041889,0.941372951282372,0.382407012498399,0,0,0,0,0,0
ENSMUSG00000042099,0,0,0,0,0,0,0,0
ENSMUSG00000042116,0,0,0,0,0,1.00273395262958,0,0
ENSMUSG00000042312,0,0,0,0,0,0,0,0
ENSMUSG00000042745,0,0,0,0,0,0,0,0
ENSMUSG00000042750,0,1.10920069315013,2.14919408898317,0,0,0,0,0
ENSMUSG00000043388,0,0.428041623939883,0.984154000885103,0,0,0,0,0
ENSMUSG00000043419,0,0,1.07927669121449,0,0,0,0,0
ENSMUSG00000043496,0,0,0,0,0,0,0,0
ENSMUSG00000043953,0,0,0,0,0,0,0,0
ENSMUSG00000044080,0,0,0,0,0,0,0,0
ENSMUSG00000044258,0,0,0,0,0,0,0,0
ENSMUSG00000044349,0,1.52152879053833,2.21276565527263,0,0,0,0,0
ENSMUSG00000044424,0,0,0,0,0,0,0,0
ENSMUSG00000044708,0,0.270628473212382,0,0,0,0,1.19341832276522,0
ENSMUSG00000044786,0,0,0,0,0,0,0,0
ENSMUSG00000044811,0,0,0,0,0,0,0,0
ENSMUSG00000044894,1.26398924448169,1.50969405133737,1.9762852745131,0,0,1.66768598953851,0,1.04795385890623
ENSMUSG00000045092,0,0,0,0,0,0,0,0
