,Oligos,Excluded,Neurons,Astrocytes,Blood,Vascular,Immune,Ependymal
ENSMUSG00000030302,0,0.854985094526082,1.30451080209,0,0,0,0,0
ENSMUSG00000030307,0,0,0,0,0,0,0,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,1.43112900789873,0.477217595684396,0,1.19310872597689,0,0,0.973184620456319,1.68755964691723
ENSMUSG00000030413,0,0,0,0,0,1.98115731618592,0,0
ENSMUSG00000030495,0,0,0,1.29305245557137,0,0,0,0
ENSMUSG00000030560,0,0,0,0,0,0,0.859749294412012,0
ENSMUSG00000030579,0,0,0,0,0,0,3.37394795887079,0
ENSMUSG00000030605,0,0,0,2.17160665467255,0,0,0,0
ENSMUSG00000030695,1.28165507988865,1.53887585998958,2.15954844101874,1.8370045911198,0,1.40298492424647,0,1.3521582251312
ENSMUSG00000030701,1.28510499784881,0.700355044765936,0,0,0,0,0,1.42039193230924
ENSMUSG00000030793,0,0,0,0,0,0,1.10414240501682,0
ENSMUSG00000030844,0,0,0,0,0,0,2.78796249814789,0
ENSMUSG00000030854,0,0.46400073503752,1.30130416449873,0,0,0,0,0
ENSMUSG00000030905,0,0,0,0,0,0,0,0
ENSMUSG00000031239,0,0,0,0,0,2.93836592940492,0,0
ENSMUSG00000031342,2.35640748560078,2.0924323521423,1.62505408248712,2.1711682441649,0,0,0,0.809785003847908
ENSMUSG00000031425,7.90857534190101,6.80386578256457,0.726739850238367,0,0,0,0,0.742994606197299
ENSMUSG00000031447,2.1218276187668,1.57008983448269,0,1.67243989209398,0,1.01314637880981,1.90461514786291,1.24776340229634
ENSMUSG00000031502,0,0,0,0,0,1.32922919101849,0,0
ENSMUSG00000031517,0,1.07580375592367,1.37964095316108,1.8293197764303,0,0,0,0
ENSMUSG00000031610,0.445148807847707,0,0,1.61171596849896,0,0,0,0
ENSMUSG00000031708,1.89416960814785,1.08073316934766,1.39798276430602,1.37599006044399,0,0,0,0
ENSMUSG00000031760,0,1.44792749652415,0,3.51674599649284,0,0,0,4.40736179926103
ENSMUSG00000031762,0,0.518734720501165,0,2.7811777297798,0,0,0,2.38656167184226
ENSMUSG00000031765,0,1.84453878391827,0,4.68571605326463,0,1.92258229846695,0,4.44041002013051
ENSMUSG00000031775,2.07613528908004,0.882775316038647,0,0,0,0,0,0
ENSMUSG00000031778,0,0.736972261305788,1.48785927458162,0,0,0,0,0
ENSMUSG00000031785,0,0,0,0,0,0,0,0
ENSMUSG00000031840,0,0.692844246093173,1.42419205240921,0,0,0,0,0
ENSMUSG00000032011,0,0.589770020015595,1.0310203991109,0,0,0,0,0
ENSMUSG00000032014,0,0,0,0,0,0,0,0
ENSMUSG00000032060,4.1147539458616,2.88847490354764,0,0,0,0,0,0
ENSMUSG00000032118,2.17629555235809,1.42427310126822,0,0,0,0,0,0.831202145436346
ENSMUSG00000032181,0,0,0,2.09660912292096,0,0,0,0.557256864322432
ENSMUSG00000032281,0,0,0,1.67354092708412,0,0,0,0
ENSMUSG00000032336,0,0.492641016494858,1.26993644919073,0,0,0,0,0
ENSMUSG00000032359,0,0,0,0,0,0.880725611391757,0,0.498228306257083
ENSMUSG00000032434,0,0,0,0,0,0,1.48473693542312,0
ENSMUSG00000032482,0,0.857939722777408,0,3.07004780063045,0,0,0,0
ENSMUSG00000032503,0,2.27487924719929,3.6965022598085,0,0,0,0,0
ENSMUSG00000032517,4.36983636616107,3.12008811350148,0,0,0,0,0,0
ENSMUSG00000032554,3.07058013012852,1.63240939451991,0,0,0,0,1.92962068543103,0
ENSMUSG00000032562,0.622801290456409,0.745613168259749,0,0,0,1.68392591342171,0,1.25783663865325
ENSMUSG00000032766,1.33347358258197,0.614263938775958,0,0,0,2.16694373804702,0,0
ENSMUSG00000032854,1.94654079337531,1.05934376505498,0,0,0,0,0,0
ENSMUSG00000032936,0,0.704383794936523,1.4928561683839,0,0,0,0,0
ENSMUSG00000032966,2.27243266029218,1.91344363565265,2.42321695739995,0,0,1.57022232140385,0,0
ENSMUSG00000033059,0,0,0,0,0,0,0,1.14772267181299
ENSMUSG00000033192,0,0,0,0,0,0,1.70551377033203,0
ENSMUSG00000033208,0.82258694025699,0.535246525222461,0,0,0,0,0,1.49104632970974
ENSMUSG00000033579,1.81153363324951,0.703314090078277,0,0,0,0,0,0
ENSMUSG00000033981,0,1.32877449915621,1.89953924191694,0,0,0,0,0
ENSMUSG00000034353,0,0.66412858258181,1.08739053629895,0,0,0,0,2.30218121049215
ENSMUSG00000034708,0,0,0,0,0,0,1.60564095362852,0
ENSMUSG00000034891,0,0,0.82357006575061,0,0,0,0,0
ENSMUSG00000035104,0,0,0,0,0,0,0,0
ENSMUSG00000035551,0,0,0,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,1.76498465737929,0,0,0,2.05811741958284
ENSMUSG00000035864,0,0.665596186425504,1.10969504872863,0,0,0,0,0
ENSMUSG00000036256,0,0,0,0,0,3.3857563646874,0,0
ENSMUSG00000036353,0,0,0,0,0,0,4.00432926145275,0
ENSMUSG00000036362,0,0,0,0,0,0,0,0
ENSMUSG00000036402,1.41434638109489,0.834031885160483,0,1.17954423440541,0,0,0,0
ENSMUSG00000036438,1.44942237687976,2.26901075632921,4.0315431029317,0,0,1.87202323317182,2.4510119066794,2.25327719119154
ENSMUSG00000036480,0,0,0,0,0,0,0,0
ENSMUSG00000036503,1.41315779592759,0.748277839938814,0,0,0,0,0,0
ENSMUSG00000036564,0,1.33402606034148,2.25385826299916,0,0,0,0,0
ENSMUSG00000036570,0,0,0,1.61854132318636,0,0,0,1.26652942826736
ENSMUSG00000036634,2.7744351159579,1.62456452956919,0,0,0,0,0,0
ENSMUSG00000036887,0,0,0,0,0,0,4.67120599355795,0
ENSMUSG00000036896,0,0,0,0,0,0,3.87204543991623,0
ENSMUSG00000036905,0,0,0,0,0,0,4.06466572431883,0
ENSMUSG00000036908,0,0,0,0,0,0,1.80714798997455,0
ENSMUSG00000037031,0.88800587967814,0,0,0,0,0,0,0
ENSMUSG00000037060,0,0,0,0,0,0,0,0
ENSMUSG00000037166,2.46025439308186,1.06873734641484,0,0,0,0,0,0
ENSMUSG00000037428,0,0,0.676625636317286,0,0,0,0,0
ENSMUSG00000037624,0,1.05221205053662,1.69672889657818,0,0,0,0,1.00378989170565
ENSMUSG00000037625,3.99615392227573,2.9320145734689,0,0,0,0,0,0
ENSMUSG00000037706,3.61868530007975,2.37834568849988,0.738158422316832,3.02620214052529,0,2.59232241637504,3.48505145565888,1.51248611499041
ENSMUSG00000037771,0,0,0.980888182070097,0,0,0,0,0
ENSMUSG00000037852,0,1.17982087511575,0.961974814892513,3.23367241256499,0,0,0,2.49140408890902
ENSMUSG00000037960,0.988241136099278,0.21297205416823,0,0,0,0,0,0
ENSMUSG00000038128,0,0.615756793949554,1.08404782756741,0,0,0,0,0
ENSMUSG00000038370,0,0.70377965541244,1.58902723664935,0,0,0.90759922678696,0,1.4551555895012
ENSMUSG00000038530,0,0.147990287953099,0.992563392162579,0,0,0,0,0
ENSMUSG00000038642,0,0,0,0,0,0,4.39948493094442,0
ENSMUSG00000038668,0.941418362789878,0,0,0,0,0,0,0
ENSMUSG00000038695,2.03463974859971,0.887457648036024,0,0,0,0,0,0
ENSMUSG00000039278,0.953685948526614,1.51657437032192,2.48684868368803,0,0,0,0,0
ENSMUSG00000039323,0,0,0,0,0,0,0,0
ENSMUSG00000039533,0,0.712589658871872,0,2.01778837643098,0,0,0,0
ENSMUSG00000039904,0.699035540081675,0,0,0,0,0,0,0
ENSMUSG00000040010,0,0,0,0,0,0.972434607431833,0,0
ENSMUSG00000040055,0,0,0,0,0,0,0,0
ENSMUSG00000040204,0,0,0,0,0,0,0,0
ENSMUSG00000040229,0,0,0,0,0,0,2.05162816187275,0
ENSMUSG00000040280,0,0,0,0,0,0,0,0
ENSMUSG00000040659,0,0,0,0,0,0,0,0
ENSMUSG00000040747,0,0,0,0,0,0,1.28885320490462,0
ENSMUSG00000040759,1.54630630503762,0.865206678152653,0,0,0,0,0,0
ENSMUSG00000040785,0,1.39310789714587,2.0751839411537,0,0,0,0,0
ENSMUSG00000041309,1.2317280339885,0.458623773725986,0,0,0,0,0,0
