,Neurons,Excluded,Vascular,Immune,Oligos,Ependymal,Astrocytes,Blood
ENSMUSG00000031871,0,0,1.01759385426575,0,0,0,0,0
ENSMUSG00000031980,0,0,0,0,0,0,2.33645370569068,0
ENSMUSG00000032011,1.94676967554605,0,0,0,0,0,0,0
ENSMUSG00000032035,0,0,0.922688899929795,0,0,0,0,0
ENSMUSG00000032060,0,2.66946219603513,0,0,3.39642290581024,0,0,0
ENSMUSG00000032076,0.676783020370088,0,0,0,0,0,0,0
ENSMUSG00000032118,0,1.36454629820093,0,0,1.62183046334456,0.939719022880246,0,0
ENSMUSG00000032181,0,0,0,0,0,0,1.52314604722882,0
ENSMUSG00000032281,0,0,0,0,0,0,2.06949345925593,0
ENSMUSG00000032294,2.02638294746842,0.812889882735823,0.538718518534766,0,0,1.54925767585308,0,0
ENSMUSG00000032336,1.30057845004429,0,0,0,0,0,0,0
ENSMUSG00000032359,0,0,0.621160575600704,0,0,0,0,0
ENSMUSG00000032368,0,0,0,0,0,0,0,0
ENSMUSG00000032517,1.71524905180362,4.07860898102731,1.66003486029205,1.50649032113653,4.68065530498863,1.923243634241,0,0.619853213330941
ENSMUSG00000032554,0,2.32992842233322,0,1.88563493087534,2.63199998620854,0,0,0
ENSMUSG00000032679,0,0,0,0,0,0,0,0
ENSMUSG00000032698,0,0,1.26409075766149,0,0,0,0,0
ENSMUSG00000032702,0,0,0,0,0,0,0,0
ENSMUSG00000032766,0,1.17444386812809,2.14021215936339,0,1.3505947540685,0,0,0
ENSMUSG00000032854,0,3.50439059388211,0,0,3.8971770644098,0,0,0
ENSMUSG00000032902,0,0,1.05409574640705,0,0,0,0,0
ENSMUSG00000033208,0,1.35228846836886,0,0,1.61000067968805,2.1085333629286,1.84469762077021,0
ENSMUSG00000033419,1.62915471274687,0,0,0,0,0,0,0
ENSMUSG00000033579,0,2.20931304667475,0,0,2.58365756591668,0,0,0
ENSMUSG00000033615,1.5261655163827,0,0,0,0,0,0,0
ENSMUSG00000033904,0,0.779384439042919,0,0,0.969214190990857,0,0,0
ENSMUSG00000033960,0,0,1.69559860758267,0,0,0,0,0
ENSMUSG00000033981,1.69166068972265,0.360516104678434,0,0,0,0,0,0
ENSMUSG00000033998,0,0,0,0,0,0,0,0
ENSMUSG00000034000,0,0,0,0,0,0,0,0
ENSMUSG00000034187,2.27081252240906,0,0,0,0,0,0,0
ENSMUSG00000034336,1.6605932036142,0,0,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,0,1.46962328874814,1.88008204276601,0
ENSMUSG00000034858,0,0,0,0,0,0,0,0
ENSMUSG00000034891,2.19180534469069,0,0,0,0,0,0,0
ENSMUSG00000035093,0,1.89924116487154,0,0,2.20890417394028,0,0,0
ENSMUSG00000035566,0.613961126306013,0,0,0,0,0,0,0
ENSMUSG00000035640,1.62116833147209,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,2.01563972117835,1.74387933531781,0
ENSMUSG00000035864,2.23500683994175,0,0,0,0,0,0,0
ENSMUSG00000036158,0,0,0,0,0,0,0,0
ENSMUSG00000036256,0,0,2.38275957160653,0,0,0,0,0
ENSMUSG00000036353,0,0,0,2.09145639619077,0,0,0,0
ENSMUSG00000036564,2.49119527143702,0,0,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0
