d0	d2	d4	d7
Ect2l	1.13783349782213	0	0	2.15103258219935
Edf1	1.9912620165671	2.34238835739428	2.21673611113323	1.92971014466004
Efcc1	2.17336105851016	2.7303857666901	0	1.75078542080962
Ehd1	1.66861059939845	1.60213112157851	2.16754189803711	2.42890756610363
Eif2s2	3.52572101301015	3.48538241835862	3.46984652807008	2.52598356580787
Eif3b	2.62863437059546	2.91737757600442	2.92326346481349	2.49558056164657
Eif3d	2.57986369821723	2.8398991524782	2.66046529698957	2.18398203109838
Eif4b	2.24898424293151	2.20729818153835	2.45754191940365	2.20692212065733
Eif4g2	2.52845803004625	2.03400268379416	2.17146087455868	2.775571092771
Elp5	1.88494366987455	1.6446351139483	0	1.10700921262613
Enah	1.82544611260846	1.47794037196948	0	1.85135787789315
Epm2aip1	1.94636833242993	0	0	2.15681826323352
Erdr1	2.78907861225593	4.090815324865	4.6572940959314	3.50529984316454
Esd	1.22033205950464	0	2.12606786734256	2.48955184063466
Evi5	1.67857201551008	0	0	2.16539376129349
Exosc2	2.8062072823559	4.79890249272354	3.37619653384318	2.34711744726306
F830016B08Rik	1.51447589444103	2.89320752978738	2.59179030001548	1.2177860546434
Fabp3	1.33887473900653	0	0	1.11482866384857
Fabp5	1.31963786979851	1.53095213301276	0	0.612902997367175
Fam126b	1.94300120192025	1.47794037196948	0	1.53501327775744
Fam129b	1.03409360063694	0	0	2.02947343558028
Fam229b	1.67077574064077	0	0	2.63440081732978
Fam25c	1.68673594250822	0	0	0
Fasn	2.04655982858604	2.38312909722691	0	1.78791060209229
Fat3	1.94047327057463	0	0	2.15156307372371
Fbl	2.36311044289596	2.92161773804693	2.17322988511493	1.43266693823311
Fbxl17	1.68662577522729	0	0	1.94735869239472
Fcer2a	1.90375546441056	2.34793580588607	0	1.23541222162193
Fem1b	1.35922659481716	0	0	2.06341921489406
Flna	1.82837777739712	1.91197042807139	2.58621738876126	3.14523056819716
Flnb	1.74515302709899	1.49775896712872	3.69602025465332	3.20108260338155
Flnc	1.10893459204677	0	0	3.0625191690298
Fn1	1.88490830900334	1.93402878253427	0	3.06964666312289
Fndc7	1.96846865912941	1.93133310365699	0	1.38805214254162
