bipolar	unknown	amacrine	muller	rods	cones
Ptpra	0	0	0	0.787045864440328	0	0
Ptprd	0.743646264276605	0	0	0	0	0
Ptprr	0	0	0	0	0	0
Ptprz1	0	0	0	0	0	0
Pura	0	0	0	0	0	0
Purb	1.17783311020309	0.879912095071794	0.950946702765453	0	0	1.18515472701805
Pwwp2a	0	0	0	0	0	0
Qpct	1.1083531906991	0	0	0	0	0
Rabep1	0	0	0	0	0	0
Ralbp1	0	0	0	0	0	0
Rax	0	0	0	0.781520655665849	0	0
Rbbp6	0	0	0	0	0	0
Rbm25	0.97006648109806	1.03701151465323	0.856617384426263	0	0	0.178450770690625
Rd3l	0	0	0	0	0	0
Rdh10	0	0	0	0.978196194970951	0	0
Rdx	0	0	0	0	0	0
Rev3l	0	0	0	0	0	0
Rexo2	0	0	0	0	0	0
Rgs16	0	0	0	0	0	0
Rgs2	0	0	0	0	0	0
Rho	0	0	0	0	5.2894499030156	0
Rims2	0	0	0	0	0	0
Rlbp1	0	0	0	3.16588236695974	0	0
Rnd3	0	0	0	0	0	0
Rnf152	0	0	0	0	0	0
Rnpc3	0.742191747953952	0.276027904541733	0	0	0	0
Rock2	0	0	0	0	0	0
Rogdi	0	0	0	0	0	0
Rom1	0	0	0	0	2.86585730885704	1.13197801175778
Rora	0	0	0	0	0	0
Rorb	0	0	0	0	0	0
Rpa1	0	0	0	0	0	0
Rpgrip1	0	0	0	0	2.38009127977613	1.90242278478252
Rph3a	0	0	0	0	0	0
Rrbp1	0	0	0	0	0	0
Rrp1	0	0	0.905351652148446	0	0	0
Rsbn1l	0	0	0	0	0	0
Rsf1	0	0	0	0	0	0
Rsl1d1	0	0	0	0	0	0
Rsrc2	0.625105888214179	0	0.427160812410439	0	1.21533563523492	0
Rtf1	0	0	0	0	0	0
Rtn4	0	0.92045328278464	0	2.45690714350898	0.824109478750484	0.972567893767534
Rufy3	0	0	0	0	0	0
Runx1t1	0	0	0	0	0	0
Sag	0	0	0	0	4.84482964531768	3.50878075485295
Samsn1	0	0	0	0	0	0
Sat1	0	0	0	1.07392646804343	0	0
Scaf11	0	0	0	0	0	0
Scd2	0	0	0	1.16144781840282	0	0
Scg2	1.27213075904409	0.636570476717024	0	0	0	0
Scg3	0.57405585945622	0	0	0	0	1.46297162273609
Scgn	0	0	0	0	0	0
Sebox	0	0	0	0	0	0
Senp6	0	0	0	0	0	0
Sept7	0	0	0.91220693070161	0.60877085052675	0	0
Serbp1	1.08573432760523	0.742336908835186	1.2483261856556	0	0	0.915475745613257
Sf3b1	0	0	0	0	0	0
Six3	0	0	0	0	0	0
Six3os1	0	0	0	1.33193749102842	0	0
Slc1a3	0	0	0	2.36173039029395	0	0
Slc24a3	0	0	0	0	0	0
Slc6a6	0.705003105751982	0.875000016867381	0	0	1.30504842313787	1.0895835206609
Slit2	0	0	0	0	0	0
Slitrk2	0	0	0	0.879912095071794	0	0
Slitrk6	0	0	0	0	0	0
Slk	0	0	0	0	0	0
Slmap	0	0	0	1.04694827392175	0	0
Sltm	0	0	0	0	0	0
Smarca2	0	0	0	0	0	0
Smc1a	0	0	0	0	0	0
Smc3	0	0	0	0	0	0
Smc5	0	0	0	0	0	0
Snap25	1.66456076131157	1.11235906562964	1.60730636425946	0	1.17557009370195	1.32376867539248
Sncb	1.05528198726237	0	1.32341620634141	0	0	0
Snhg11	0	0	2.39148350992932	0	0	0
Snw1	0	0	0	0	0	0
Sox2	0	0	0	0	0	0
Sox4	0	0	0	0	0	0
Spag9	0	0	0	0	0	0
Sparc	0	0	0	2.7826406864209	0	0
Spc25	0	0	0	2.35371268679989	0	0
Sphkap	0	0	0	0	0	0
Spon1	0	0	0	1.08366817918547	0	0
Srpk2	0	0	0	0	0	0
Srrm1	0	0	0.500972264346946	0	0	0
Srrm3	0	0	0	0	0	0
Ssb	0	0	0.403294455924102	0	0	0
St13	0	0	0.487836910112756	0	0	0.450071396625594
St18	0	0	0	0	0	0
Strbp	0	0	0	0	0	0
Strip2	0	0	0	0	0	0
Supt16	0	0	0	0	0	0
Syne1	0	0	0	0	0	0
Synpr	0	0	0.535280946854233	1.04576894196118	0	0
Syt1	1.72878070439785	1.28653993785365	2.59048071591277	0	1.04518031493455	1.34438613038899
Syt4	0	0	0	0	0	0
Tax1bp1	0	0.87378081453811	0.970472974234364	0.865741392686713	2.45192769057004	1.90988228370083
Tceal5	0	0	0	0	0	0
Tceal6	0	0	0	0	0	0
Tcf4	0	0.445919897452308	0	1.02500481901768	0	0
Tgfb2	0	0	0	1.15852012562647	0	0
Thoc2	0	0	0	0	0	0
Thoc7	0	0	0	0	0	0
Thsd7a	0	0	0	0	0	0
Timp3	0	0	0	1.22923170834318	0	0
Tm9sf3	0	0	0	0	0	0
Tmem215	0	0	0	0	0	0
Tmsb10	0.603104128802188	0	0	0	0	1.12050800249874
Tmsb4x	0	0	0	0	0	0
Tnnt1	0	0	0	0	0	0
Tnrc6a	0	0	0	0	0	0
Top1	0	0	0	0	0	0
Top2b	0	0	0	0	0	0
Tpbg	0	0	0	0	0	0
