,Vip,L4,L2/3,L2,Pvalb,Ndnf,L5a,SMC,Glia,L5,Endothelial,Sst,L6b,Sncg,Igtp,L5b,L6a,L6
2900011O08Rik,7.07948401092149,7.93775633012233,7.14832404248008,6.56498780095989,7.70770423315678,6.51963625284321,8.00770008725868,0,0,8.19032663027759,0,7.87587147209838,8.87418218980342,5.4446008137115,7.20219892368362,7.5853381536437,8.02364347910317,7.35297033824593
2900055J20Rik,5.6374942087683,7.18834157601082,7.3144246353943,7.87245942172319,5.46303385531749,7.4480749964418,5.39951292418296,0,0,5.66137481677603,0,5.75407684194921,0,7.01636259876089,6.75755148857197,5.23074100262691,4.97085365434048,6.21140163741847
2900064A13Rik,4.61800015758231,6.15137177625395,6.27519333390221,6.01591677210689,6.00382707811148,6.1168637576909,6.2137360959228,0.286881147788162,0.27500704749987,6.12338677427958,0,6.51553798704263,7.04515898212384,6.04461269295798,6.32955102261611,5.95116812883891,6.31397137105902,6.14098310487842
3230401D17Rik,0.214124805352847,5.57440430902258,5.48960715674871,5.51096191927738,5.88557436437143,2.20789285164133,5.87749887278353,6.6906964439777,0.250961573533219,5.54724558189728,0,5.52453406310209,5.27351588970212,5.35543919724869,3.82990520831066,5.25134038278862,5.3387809438947,2.8094144442359
6330403K07Rik,6.58548752511743,6.92623668441333,6.27724089833207,6.75234719236697,0,5.40905143853856,7.00427665587793,0,0,6.58140490191761,0,7.61746712438416,6.39231742277876,5.15987133677839,2.70452911463677,4.56985560833095,5.93404464711225,6.63792898100901
A030009H04Rik,6.84208826178008,6.74133214878799,6.17392693199981,6.13873256972024,7.25209770303744,6.81134257974037,6.45975946661982,0,0,7.10060678132438,0,7.039675270804,6.08788710093312,6.96058121135347,6.14679220802558,6.60836572316364,6.02635744696384,5.63023071585969
Acn9,0,0,5.19021976366016,4.20398416585599,6.16751850373522,5.10977842907866,0.298658315564515,0,0,5.67223409435486,0,4.81242139176081,4.22496636500027,5.90809234081827,2.71212514304202,5.45746296464855,5.30815697511476,4.42894634476948
Acot13,7.36543495849587,6.6891593577313,6.45516280124451,7.07521171134824,7.82794601683085,7.72683121703249,7.15613365191544,0,0,7.29236732739508,0,7.43904042359511,6.83022996724067,7.45475167159569,8.32307719166453,7.81499895293562,7.54573675349338,7.33628338786443
Acot7,9.05609555644401,8.56002706511451,8.48183978620739,8.46278853378522,9.52352275185476,8.78270341704807,8.41743061254603,0,0.389566811762726,8.98615409585856,0,9.48852301507493,9.32048467801769,9.78327656816806,8.43298549720939,8.96592854695318,8.84902971682,9.19059016984487
Acyp1,0,5.51569983828404,4.86492897228979,5.17951105027151,5.99729240763651,4.90977310414164,6.08703845676695,0,0,6.00382026364095,0,5.03518399661834,5.17951105027151,4.74846123300404,2.94691650004366,6.10810622368613,5.39266088071179,5.17312743348066
Acyp2,0,3.28835856219366,3.854993016757,5.17990909001493,6.14363830992204,4.99367436175059,4.40803246613065,0,0,1.89850648891807,0,5.5996101638642,5.19258872156664,5.66334461936609,6.41212652357005,4.69543711040537,4.40190347160796,1.33342373372519
Adh5,6.39372954753855,5.34837407519116,5.64385618977472,5.94789988624827,6.46221595459776,6.45434042475248,6.08193608171943,0,1,5.53417502013887,0,5.95570801628022,6.09529152021173,6.99954908734095,6.84497739845085,5.96162332828694,6.00337736020232,5.4988890869768
Ahsa1,7.15182309416639,7.17022553160503,7.13617087466725,6.76619759730084,7.39128655811118,6.94356974983897,6.91109233158713,0,0.214124805352847,6.84673344362944,0,7.29204125153295,7.28955784835356,7.08087081175972,6.70891327254341,7.01569380710515,7.26416107128808,7.17512534965772
AI413582,6.79154601559649,6.73579292798531,6.05006629830629,5.94040169796984,6.50271248596606,7.13010717865883,6.7894684369412,0,0,6.51876795189091,0,7.34937833636614,7.28688114778816,7.32831589166607,6.78152245739631,6.98766194202704,7.30533218051152,6.73768676140986
AI462493,0,5.12515513132229,4.75968848842729,3.76341157447001,5.73281187208294,3.83086375675176,5.59604063267114,0,0,5.79558845930248,0,5.16891641388213,5.38715571766298,5.32840565895857,5.23891327754541,4.73660487531425,4.9560566524124,4.79701297783614
Aimp2,5.08534511416574,5.61235249875266,5.64443315240625,5.90400231628369,5.89965902637744,5.53200519379057,5.90857275875175,0,0,5.93245143187075,0,5.51221719003137,6.36194377373524,5.90086680798075,3.12052728509108,6.01680828768655,6.00629802390037,6.07382023329167
Aip,6.59327883039978,6.4995270242151,6.70418032292583,6.6796208433757,6.42961596420174,6.46237957184102,6.23476954003063,0,0,5.85176026688635,0,6.65307044366885,6.31360865703049,6.90171165388988,5.57742196273461,6.29075613839667,6.67214243285383,6.61765111942733
Aldoc,7.64831783415587,0,0,0.150559676575381,6.31976242766925,0.176322772640463,7.10915157917052,0,6.77201759068921,3.57040772937915,0,0.15702920442913,0,4.75381844317354,0,0.111031312388744,0,0.176322772640463
Anapc13,5.70827057734991,5.13627342985058,5.01122725542325,5.63836350589786,6.56163163037584,5.95442898437188,4.91073266190291,6.25493411860649,0.604071323668861,4.87637981415153,0,5.84235029410986,5.10643207781693,5.85049941375812,6.83282454263406,5.2364926183813,5.15258906928713,4.65477921695952
Ap1s1,5.9380185277749,6.82094479188069,7.40488609628182,7.20828313841252,6.35120427725799,6.19869058566892,6.47897180503294,0,0,6.5371248304116,0,6.54024310294436,6.90532682878751,6.02147972741045,4.4478339876996,7.26463025566923,6.77505054148317,7.12060077384517
Apex1,0.755354396339752,5.28540221886225,5.54411440220947,5.62964804418744,5.09296850932414,6.41903318547102,5.65162578392064,0,0,5.68477915341852,0,5.60641302279855,5.22032995487956,5.98913900736823,6.71964358712821,5.3526172989585,5.53884852074424,5.71863561627134
Apoo,6.8323426347995,7.09813738532479,7.64140152114521,7.96572657570626,8.0036022366802,7.02458563827827,6.90086680798075,0,0,7.59481716399292,0,7.20939216836719,6.90508609876177,6.88959522220401,8.0173497322093,7.91354767750997,6.78319470337615,7.52661660616232
Aprt,5.76402068237917,5.76473892302338,5.98093926608551,5.69292928642903,5.92291140625819,5.95698592461258,5.77741971551583,0,0,5.74099237529366,0,6.12642453437299,6.30560578958543,5.57228336665041,6.61814493731471,5.97796675761948,6.1149916133336,6.46793154602629
Araf,8.87683622548854,7.87719209262611,7.88746434483348,8.32827100592518,8.85664339492053,8.89787570086754,7.87221314397577,0,5.32228872357088,8.24176647340439,0,8.97340605762565,8.44161626940656,8.61364214922563,8.93870841313355,8.37890172241241,8.33561366481602,7.84899843040002
Arl1,6.35719827094909,6.72955277045397,7.00831656373499,6.71479501111816,6.28281043957256,6.04657836662033,6.48735771531155,0,0,7.14756732308919,0,5.9731508680304,6.66647256884207,5.52262076104208,5.95490336846885,6.59618975614441,6.64587455030903,6.41987593042219
Arl2,6.94987633280229,6.1108225740478,6.07253459972295,5.83668159332712,7.27435485560099,6.80555042521086,6.42525787199921,0,0,7.23602398414173,0,7.00672840373351,6.98413359454098,7.11623997946937,6.71065827108143,6.70002349607515,6.40105015932136,6.35860724911781
Arl3,5.559154293686,5.58556349845569,5.5677279633048,5.94930146832828,6.44344089114443,5.78607355157855,5.07553263116736,0,0,5.14098274276517,0,6.35303720747985,5.94836723158468,5.7001622501066,6.67487094434498,5.91719303692495,5.41142624572647,5.18903382439002
Arl6,0.394968934490097,4.10685079645022,5.41345868800798,5.9902741833186,5.34020617991171,5.21256933885081,5.28946563095822,0.214124805352847,0,5.6713774208577,0,5.75795867970281,6.18050594379476,5.92362461136832,6.05641656579144,6.17132694023331,5.83945576522463,5.72655877910497
Arpc3,1.22445047557256,6.08427691053149,6.35438163211332,5.67383905599044,5.30706416225537,5.91528186586766,6.34766565630097,0,0,6.21990297799497,0,5.89348208804973,6.9159988517389,4.23878685958712,2.86018438383667,6.48751850606578,7.10150300916717,6.48784003382305
Arpp21,4.58495623899675,8.77056479197169,9.14898493138752,8.4550394746513,0,0.863938450423971,7.68109782563066,0,0,7.76875758672477,0,0,7.04242546536971,4.00988458893184,0.0634864281288828,7.53223902426315,7.10171310018849,7.53908124477339
Asns,7.92533575341935,7.67525138605026,7.38474058729238,7.5677279633048,8.6601742120694,7.69041709553247,7.71101301008434,0,0,7.67687218892913,0,8.05652771122196,7.76208300356767,9.14113642268876,8.36043302833859,7.95750837730385,7.60903095131119,7.59700965983467
