,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
JUNB,2.00637582948719,2.3310113247995,2.82200215555242,2.3310113247995,2.5968095554523,2.00637582948719,3.20871142412489,2.3310113247995,3.48549800542213,3.01747376435913
JUP,1.00141187054396,3.48549800542213,3.94461184479151,1.00141187054396,3.01747376435913,1.00141187054396,2.46692418995315,1.00141187054396,2.00637582948719,2.00637582948719
KCNMA1,2.00637582948719,0,0,1.58873426750377,0,2.00637582948719,0,1.00141187054396,0,1.58873426750377
KCTD12,3.73230829087369,1.00141187054396,0,1.58873426750377,0,0,0,1.58873426750377,2.3310113247995,2.5968095554523
KIAA1244,4.21651357227149,1.58873426750377,1.00141187054396,4.13108414072177,2.3310113247995,3.01747376435913,1.79755504849548,2.82200215555242,0,4.21651357227149
KIAA1324,3.61392337716269,1.00141187054396,0,2.5968095554523,2.3310113247995,3.01747376435913,1.00141187054396,2.5968095554523,1.00141187054396,3.01747376435913
KIAA1377,2.5968095554523,0,0,1.58873426750377,0,1.00141187054396,0.500705935271981,2.3310113247995,0,0
KIAA1522,0,2.82200215555242,0,0,3.01747376435913,0,2.82200215555242,0,0,0
KIF1A,2.3310113247995,0,0,2.3310113247995,2.00637582948719,2.82200215555242,0.500705935271981,1.58873426750377,0,1.00141187054396
KIF5C,1.58873426750377,0,0,1.58873426750377,0,2.5968095554523,0.500705935271981,1.00141187054396,0,1.58873426750377
KLF13,0,2.00637582948719,2.5968095554523,0,2.00637582948719,1.58873426750377,1.00141187054396,0,3.26768011764991,1.00141187054396
KLF6,1.58873426750377,3.94461184479151,2.5968095554523,0,4.13108414072177,1.00141187054396,3.82130440495776,1.00141187054396,3.67311583401819,1.58873426750377
KLHL41,2.3310113247995,0,0,0,0,0,0,0,0,0
KRT18,0,4.297494697513,0,1.00141187054396,3.48549800542213,1.00141187054396,2.8146998709211,0,0,2.3310113247995
KRT19,0,3.73230829087369,0,0,0,0,1.50873688217957,0,0,1.00141187054396
KRT7,0,4.297494697513,0,0,3.61392337716269,0,2.41418899251981,0,0,0
KRT8,1.00141187054396,4.37448516703409,0,1.00141187054396,3.61392337716269,1.00141187054396,3.51925786391195,1.00141187054396,0,2.3310113247995
LAD1,0,3.01747376435913,0,0,2.00637582948719,0,2.00637582948719,0,0,0
LAMB1,1.00141187054396,2.3310113247995,3.1902461228973,0,1.00141187054396,0,0,0,4.79993032820056,0
LAMC1,1.00141187054396,3.01747376435913,2.5968095554523,0,2.3310113247995,1.00141187054396,0,0,4.4478756194429,1.00141187054396
