,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
IPO5,5.50971184569776,1.24164332246753,7.19930685027066,9.97189890491913,0,10.3471138160654,7.37122222673602,9.96694485642777,10.4196039839409
IRF4,0,10.0459871414057,0,0,0,0,0,11.4840516317918,0
ITGA6,0,0,0,7.81287505231411,0,9.16783746903308,0,0,8.79440014729896
ITGB1,11.3031734375458,0,4.16809922221255,9.2273632201811,10.9798002054601,8.84428634513688,7.32340654439357,3.06225962187333,9.21497071718783
ITM2A,0,0,0,0,0,6.21991480586834,3.69802944567964,7.33134114994794,7.071458599888
ITPR2,0,3.11910797139741,0,0,0,6.86506320045879,0,8.89987229753365,7.60595104945892
IVNS1ABP,1.58143214411658,0,4.93693387152631,8.61555997346384,0,8.25845389072017,7.72212023917323,7.64370811508,9.08938154347276
KIAA1524,0,0,7.50572190766566,8.55201509139822,0,7.54391556991695,6.55743286525325,6.3116376926591,8.09917021160494
KIAA1551,0,2.64620836882125,0,7.6229161059944,0,9.0474981326343,6.0371994004699,7.46639830285073,9.30831356252929
KIF15,0,0,3.6120987067325,6.15076323255771,0,6.71710925277033,6.50592583232294,7.09281774928996,7.7173904560104
KIF20B,0,0,6.87599528030291,8.66142715332697,0,9.05859434449538,7.8055831687796,8.21213291374277,8.92030359855234
KIF22,0,0,3.84341093023929,8.61692530970573,0,7.53365416211667,7.57042304510689,6.74354701190006,8.00926431191424
KIF23,0,0,5.75600744135056,9.36418413270203,0,7.65035007979694,5.90360948620655,6.67048743517333,8.823272877489
KIF2C,0,0,0,8.3018777518463,0,5.71050241027389,8.02338866777412,7.39133325354566,7.41144730103377
KNSTRN,0,0,4.14051599173486,9.0520078459425,0,7.06277420520418,6.68987222396488,6.46828772873971,7.86695977343053
KPNA2,8.99800243963228,5.83176596894396,9.85423903724209,12.4350754600287,0,10.4417617967917,9.95543233393006,10.8470312405568,11.8458940183282
KRT18,9.33757305652279,0,0,10.355058113005,0,8.74519804912591,8.61725780803518,0,7.68305729508958
KRT8,8.66522467503312,0,0,10.9554105315166,0,6.70199156567348,8.64694097878237,0,6.6731694744813
KYNU,11.6305873841628,0,0,0,0,0,0,7.6859031710612,0
LAP3,0,3.69325145066472,2.48144745482924,8.17868093489653,0,6.56668116251576,8.02492254983717,9.48994589804265,7.95092950587148
LAPTM5,0,7.7394006705704,0,0,0,0,8.34867653574838,9.50945989598044,0
LAS1L,1.56398389861823,0,6.12851869202313,7.73407774860529,0,6.60421634304699,7.92587142151538,7.86356051131535,7.47321797200833
LCP1,0,10.8111216912288,0,0,2.21271861970881,0,8.95128693798818,13.3145938984878,0
LECT1,0,0,0,0,0,8.6115691952708,0,0,8.85188332071642
LGALS1,5.25662254679614,7.39927975551717,0,9.0326461835242,12.2879238425542,0,7.66677202648055,8.81322823491563,0.40037528300385
LIN28B,0,0,2.09367320212846,0,0,8.48807768684152,6.81708926621361,0,8.31669342704799
LINC00678,0,0,0,0,0,8.08845949200628,0,0,9.30062263796332
LIPA,0,0,0,5.40301446734587,0,4.83346522825416,0,6.81785887155837,8.30081951606937
LITAF,9.15492610310635,4.05395841601975,0,7.98496295347637,2.39485609508284,9.39871950911105,0,9.9107729787315,9.56668558890753
LPHN2,0,0,5.47166017334988,0,0,6.64122650249701,0,0,7.75614354435032
LRRC16A,6.23281196926425,0,3.61084362901577,7.54005037083034,0,8.50759075390349,0,7.05462808173807,8.61968493422434
LRRC8A,0,0,0,6.75841111023317,0,9.32783361958781,6.34177607265869,5.31992738260562,8.84639337588684
